fy,category,unit,item,value,value_type,set_on,expires,source,source_file,source_ref,status,in_model
2026,contract_cola,Teachers,cost-of-living adjustment to the salary scale,4.0,percent,,"June 30, 2027","Lunenburg school employee contracts — Teachers, term FY25–FY27",contracts/CONTRACTS.md,Teachers | FY25–FY27 | 2.5% · 4.0% · 3.5%,recorded,no
2027,contract_cola,Custodians,cost-of-living adjustment to the salary scale,3.5,percent,,"June 30, 2029","Lunenburg school employee contracts — Custodians, term FY27–FY29",contracts/CONTRACTS.md,Custodians | FY27–FY29 | 3.5% · 2.5% · 2.5%,recorded,no
2027,contract_cola,Paraprofessionals,cost-of-living adjustment to the salary scale,2.0,percent,,"June 30, 2028","Lunenburg school employee contracts — Paraprofessionals, term FY26–FY28",contracts/CONTRACTS.md,Paraprofessionals | FY26–FY28 | 3.0% · 2.0% · 2.0%,recorded,deliberately not used — the line has never matched the agreement
2027,contract_cola,Teachers,cost-of-living adjustment to the salary scale,3.5,percent,,"June 30, 2027","Lunenburg school employee contracts — Teachers, term FY25–FY27",contracts/CONTRACTS.md,Teachers | FY25–FY27 | 2.5% · 4.0% · 3.5%,recorded,"shown, not used — the projection uses a measured trend"
2028,contract_cola,Custodians,cost-of-living adjustment to the salary scale,2.5,percent,,"June 30, 2029","Lunenburg school employee contracts — Custodians, term FY27–FY29",contracts/CONTRACTS.md,Custodians | FY27–FY29 | 3.5% · 2.5% · 2.5%,recorded,no
2028,contract_cola,Paraprofessionals,cost-of-living adjustment to the salary scale,2.0,percent,,"June 30, 2028","Lunenburg school employee contracts — Paraprofessionals, term FY26–FY28",contracts/CONTRACTS.md,Paraprofessionals | FY26–FY28 | 3.0% · 2.0% · 2.0%,recorded,deliberately not used
2029,contract_cola,Custodians,cost-of-living adjustment to the salary scale,2.5,percent,,"June 30, 2029","Lunenburg school employee contracts — Custodians, term FY27–FY29",contracts/CONTRACTS.md,Custodians | FY27–FY29 | 3.5% · 2.5% · 2.5%,recorded,no
2026,facilities_fee,Facilities,increase on prior schedule,50,percent,2025-02-26,,"School Committee minutes, 26 February 2025 — moved, seconded, approved",minutes/text/school-committee/2025-02-26-minutes-7076.txt,Facilities Proposal to increase fees by 50%,not_published,no
,other_fee,Lunenburg Public Schools,Afterschool Activity Fee,,dollars,,,RevTrak payment portal navigation (lunenburg.revtrak.net) — the portal renders in JavaScript and serves no amounts to a plain fetch,,https://lunenburg.revtrak.net/r2#/v/bus-fees,not_published,no
,other_fee,Lunenburg Public Schools,Chromebook Repair Fee,,dollars,,,RevTrak payment portal navigation (lunenburg.revtrak.net) — the portal renders in JavaScript and serves no amounts to a plain fetch,,https://lunenburg.revtrak.net/r2#/v/bus-fees,not_published,no
,other_fee,Lunenburg Public Schools,Extended Day & ELC,,dollars,,,RevTrak payment portal navigation (lunenburg.revtrak.net) — the portal renders in JavaScript and serves no amounts to a plain fetch,,https://lunenburg.revtrak.net/r2#/v/bus-fees,not_published,no
,other_fee,Lunenburg Public Schools,Field Trips,,dollars,,,RevTrak payment portal navigation (lunenburg.revtrak.net) — the portal renders in JavaScript and serves no amounts to a plain fetch,,https://lunenburg.revtrak.net/r2#/v/bus-fees,not_published,no
,other_fee,Lunenburg Public Schools,LHS Parking Permit,,dollars,,,RevTrak payment portal navigation (lunenburg.revtrak.net) — the portal renders in JavaScript and serves no amounts to a plain fetch,,https://lunenburg.revtrak.net/r2#/v/bus-fees,not_published,no
,other_fee,Lunenburg Public Schools,Primary Preschool Program,,dollars,,,RevTrak payment portal navigation (lunenburg.revtrak.net) — the portal renders in JavaScript and serves no amounts to a plain fetch,,https://lunenburg.revtrak.net/r2#/v/bus-fees,not_published,no
