dept,object,org,code,readable,basis,note
423,513000,,SNOW REMOV,Snow removal wages,department context,Department 423 is SNOW REMOVAL; object 513000 is wages
423,531029,,SUPP SNOW,Snow supplies,department context,Department 423 is SNOW REMOVAL
425,521011,,ELEC CHGS,Electricity charges,plain reading,
610,521011,,ELEC CHGS,Electricity charges,plain reading,
710,590001,,SER LOAN P,Serial loan principal,department name,Department 710 is PRINCIPAL SERIAL LOANS
751,590002,,SER LOAN I,Serial loan interest,department name,Department 751 is INTEREST SERIAL LOANS
820,560001,,COUNTY RET,County retirement assessment,department context,Department 820 is the regional retirement assessment
825,560005,,REG TRANS,Regional transit assessment,department context,Department 825 is STATE ASSESSMENTS. The SAME CODE means school busing in department 300
913,570008,,UNEMPLOY C,Unemployment compensation,plain reading,
914,570001,,HEALTH INS,Health insurance,plain reading,
914,570003,,MEDI,Medicare,plain reading,
914,570018,,SCHRETHLTH,School retiree health insurance,plain reading,
914,570009,,TNRETHLTHI,Town retiree health insurance,plain reading,
993,570012,,TR CAP PRO,Transfer to capital projects fund,department name,Department 993 is TRANSFER TO CAPITAL PROJECT FD
996,570013,,TR STAB FD,Transfer to stabilization and trust funds,department name,Department 996 is TRANSFER TO TRUST FUNDS
300,,S2066101,HS TEACHER,High school teachers,department context,Org S2066 is the high school across four accounts
300,,S2055101,MS TEACHER,Middle school teachers,department context,Org S2055 is the middle school across four accounts
300,,S2072101,PS TEACH R,"Primary school teachers, regular",department context,Org S2072 is the primary school across four accounts
300,,S2044101,ES TEACHER,Elementary school teachers,department context,Org S2044 is the elementary school across four accounts
300,,S2512061,PS SPED TE,Primary school special education teachers,plain reading,
300,,S2066651,HS GUIDANC,High school guidance salaries,department context,Guidance salaries in the high school org
300,517006,,SCHSALRESE,School salary reserve,department context,Object 517006 in the district-wide org S0990991; a contingency line attached to no post
300,511203,,ESSPEDPARA,Elementary school special education paraprofessionals,plain reading,
300,511203,,MSSPEDPARA,Middle school special education paraprofessionals,plain reading,
300,511203,,PSSPEDPARA,Primary school special education paraprofessionals,plain reading,
300,511203,,HSSPEDPARA,High school special education paraprofessionals,plain reading,
300,511203,,KINDPARREG,"Kindergarten paraprofessionals, regular",district document,The district budget prints “Kindergarten Paraprofessionals”
300,511203,,PARAPROFES,Paraprofessionals,plain reading,
300,511002,,HS GUID SE,High school guidance secretary,department context,Object 511002 is the secretarial salary object across the district
300,511001,,HS SPED RE,"High school special education, regular",plain reading,
300,511003,,KIND LONG,Kindergarten long-term substitutes,district document,The district budget prints “Kind. Long Term Substitutes”
300,512103,,MS REG SUB,Middle school regular substitutes,district document,The district budget prints “Kind Regular Substitutes” for the equivalent line
300,555005,,PHYS ED SU,Physical education supplies,plain reading,
300,535020,,DUES/FEES,Dues and fees,plain reading,
300,535018,,ATH INS,Athletics insurance,department context,Sits in the athletics org S3066672
300,535016,,TRANSPORTA,Transportation,plain reading,
301,535004,,CURR ADOPT,Curriculum adoption,department name,Department 301 is SCHOOL NON-RECURRING EXPENSES
175,511001,,PLAN CLERI,Planning clerical salary,department name,Department 175 is PLANNING BOARD
164,511000,,TN CLK SAL,Town Clerk salary,department name,Department 164 is the Town Clerk
992,570014,,TR SPE REV,Transfer to special revenue,plain reading,
170,531003,,CONSULTANT,Consultant,plain reading,
141,511010,,TEMP SALAR,Temporary salaries,plain reading,
136,531021,,GASB45VALU,GASB 45 valuation,plain reading,An actuarial valuation of retiree benefit liabilities
133,517001,,RETIRE/BUY,Retirement buy-back,plain reading,
210,511019,,SCHRESSTIP,School resource officer stipend,department name,Department 210 is POLICE DEPARTMENT
429,535006,,PURCH SERV,Purchased services,plain reading,
423,531006,,PURCH SERV,Purchased services,plain reading,
423,531030,,HIRED SNOW,Hired snow equipment,department name,Department 423 is SNOW REMOVAL
423,531003,,CONTR SERV,Contracted services,plain reading,
,,,MTGS/SCHOO,Meetings and schooling,plain reading,Staff training. NOT a school account — it is the false friend section 5 discards
,,,MTG/SCH FF,"Meetings and schooling, firefighters",plain reading,"Staff training, not schools"
,,,MEET/SCHOO,Meetings and schooling,plain reading,"Staff training, not schools"
914,570002,,LIFE INS,Life insurance,plain reading,
300,511032,,ATHSEC,Athletics secretary,department context,Sits in the athletics org S3066671
300,511033,,CCLT/CCL,Not established,not established,Expansion unknown. The code is left as the ledger prints it
300,511001,,MS GUIDANC,Middle school guidance salaries,department context,Guidance salaries in the middle school org S2055651
300,511002,,HS ADM SEC,High school administrative secretary,plain reading,
300,512203,,ES SPED SU,Elementary school special education substitutes,plain reading,
300,511003,,MTC SYSTEM,"Maintenance, system-wide",district document,The district budget prints “Maintenance/System Salaries”
300,511003,,PRIM CUSTO,Primary school custodians,plain reading,
193,511000,,DIR FAC SA,Facilities director salary,department name,Department 193 is FACILITIES & GROUNDS
193,511003,,SAL STAFF,Facilities staff salaries,department name,Department 193 is FACILITIES & GROUNDS
193,511013,,SALFACDIRE,Facilities salaries,department name,Department 193 is FACILITIES & GROUNDS
300,513002,,ES SEC OVE,Elementary school secretarial overtime,plain reading,
170,511106,,CONS ADMIN,Conservation administrator salary,department context,"Department 170 is LAND USE, which includes conservation"
541,511003,,MEAL SITE,Meal site salaries,department name,Department 541 is COUNCIL ON AGING
541,511015,,OUT WORKER,Outreach worker salaries,department name,Department 541 is COUNCIL ON AGING
541,511002,,SALASSTMEA,Assistant meal site salaries,department name,Department 541 is COUNCIL ON AGING. The abbreviation is not certain
650,511000,,PARK SUPER,Parks superintendent salary,department name,Department 650 is PARKS & RECREATION
165,512107,,SALPROGRAM,Program salaries,plain reading,
155,511002,,TECH SUPPO,Technology support salary,department name,Department 155 is INFORMATION TECHNOLOGY
300,511003,,HS LONG TE,High school long-term substitutes,district document,The district budget prints “H.S. Long Term Substitutes”
300,512103,,KIND SUBS,Kindergarten substitutes,district document,The district budget prints “Kind Regular Substitutes”
300,512103,,PS LONG SU,Primary school long-term substitutes,plain reading,
161,511000,,SAL ELECTE,Elected officials’ salaries,department name,Department 161 is TOWN CLERK’S ADMINISTRATION
300,541002,,ART SUPPLI,Art supplies,plain reading,
300,535011,,CONTR EVAL,Contracted evaluations,department context,Sits in the special services org S1511062
300,555002,,SCI SUPP,Science supplies,plain reading,
145,534001,,BANKING CH,Banking charges,plain reading,
145,534002,,BOND ISSUA,Bond issuance costs,plain reading,
411,531007,,ADAPROW,ADA public right of way,department context,Department 411 is HIGHWAY CONSTRUCTION & MAINTENANCE. The expansion is not certain
425,531008,,LINE PAINT,Line painting,department name,Department 425 is TRAFFIC SIGNS & DEVICES
193,513000,,SAL OVERTI,Facilities overtime,department name,Department 193 is FACILITIES & GROUNDS
193,511014,,EVAL STIPE,Evaluation stipend,plain reading,
541,571000,,MILEAGE,Mileage reimbursement,plain reading,
945,573600,,TRAINING,Training,plain reading,
