fy,edition,document,pages,table,kind,source,detail
2011,FY2011,4117-fy-2011-annual-town-report.pdf,3,Table of contents / department index with page numbers,unreadable / OCR damage,table note,Row 29 has a page range (29-42) with no label and row 30 'School Reports / Lunenburg' has no page — the two rows are transposed.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,37-38,Lunenburg Primary School faculty and staff roster,unreadable / OCR damage,table note,"A few names are OCR-mangled ('usie Barne', 'herri Flyn')."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,41,"Turkey Hill Middle School MCAS: percent advanced or proficient, school against state",unreadable / OCR damage,table note,"Grade 6 ELA 77/58, Grade 6 Math 68/58, Grade 7 ELA 85/73, Grade 7 Math 63/51 (the grade cell for row 4 is blank and must be inferred), Grade 8 ELA 95/79, Grade 8 Math 66/52, Grade 8 Sci/Tech 49/39. 'MathR' in the grade 8 row is an OCR artefact of 'Math'."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,48,"Monty Tech MCAS results 2009-2011, by subject",unreadable / OCR damage,table note,"Parentheses around some counts are OCR noise, not accounting negatives."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,57,"General fund revenues pie chart, FY11",unreadable / OCR damage,table note,The dominant property tax slice is not in the OCR.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,59,"General fund expenditures pie chart, FY2011",unreadable / OCR damage,table note,The schools slice — which is most of the pie — is not in the OCR.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,66-70,"Special revenue funds: grants, gifts and revolving accounts, FY2011",unreadable / OCR damage,table note,"The table's heading and its column headers are NOT in the OCR — p66 starts mid-list at 'Zoning Board Consultant Revolving', so the general-government section above it and the header row are lost."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,75,"Long-term indebtedness and debt limit, five years",unreadable / OCR damage,table note,"The year labels for the five columns are NOT in the OCR, and the purpose labels have slipped: several rows print their label on one line and their figures on the line above or below (Streets Sidewalks & Parking, Athletic & Recreational Facilities, Architectural & Engineering Services, Water, Other Outside General)."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,76-77,Debt repayment schedule as of June 30 2011,unreadable / OCR damage,table note,The years FY2027-FY2030 do not appear on either page and may be on a page whose OCR failed. p77's year header runs 2031-2042 but its GRAND TOTAL PRINCIPAL row has 13 values for 12 headed years.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,84-85,FY 2012 Omnibus Budget as voted at Annual Town Meeting,unreadable / OCR damage,table note,"A handful of amounts are blank in the OCR (line 28 Assessor's Salaries, line 19 Charter Review Comm, 79A Unemploy."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,90,Sewer service area extension: metes and bounds,unreadable / OCR damage,table note,Degrees/minutes/seconds survive the OCR.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,97-101,"Payroll report: gross earnings by employee, FY2011",unreadable / OCR damage,table note,"PAGE 97 IS ENTIRELY BLANK IN THE OCR (0 lines) — the first page of the payroll list, and any heading it carried, is lost, so the list starts mid-A ('BABINEAU, LORI ANN')."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,10,Abstract of assessments by property class,announced but absent,table note,"As in FY2011, most account counts are missing from the OCR — only Mixed Use (40), Three Family (7) and Apartments (7) print a count — while every valuation and average value is present, so counts can be recovered by division."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,110-111,2012 state ballot questions with vote by precinct,announced but absent,table note,Question 1 (right to repair) and Question 3 have their explanatory text but their vote tables are missing from the OCR.
2012,FY2012,4118-fy-2012-annual-town-report.pdf,21,Library statistics for 2012,announced but absent,table note,"NEW — the equivalent block in FY2011 is missing from the OCR entirely. 5th highest per capita appropriation among 12 similar-sized towns at $33.63 per capita; 70% of residents registered; open 2,178 hours; close to 200 programmes; over 2,000 volunteer hours; 70,218 volumes of which 46,789 books; over 21,982 interlibrary loans; circulation 116,429 items, 78,230 books and 25,131 videos."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,57,"General fund revenues pie chart, FY12",announced but absent,table note,The property tax slice is absent.
2012,FY2012,4118-fy-2012-annual-town-report.pdf,66-70,"Special revenue funds: grants, gifts and revolving accounts, FY2012",announced but absent,table note,"The table heading and column headers are still absent (p66 starts mid-list at 'Regional Assessor Fund'), but the GRAND TOTAL is present and the opening balances tie exactly to FY2011's closing balances ($2,766,954.67 in both), which is a real cross-year check."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,duplicated,surprise,The New Growth Revenue table stops at FY2011: the FY2012 report reprints the FY2011 table without adding its own year. There is no published FY2012 new growth figure in this document.
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,duplicated,surprise,"The p17 communicable disease table is PRINTED TWICE on the same page with identical disease counts but a different Skilled Nursing figure (28 in one copy, 14 in the other)."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,10,"New growth revenue by fiscal year, FY2004-FY2011",duplicated,table note,The table STOPS AT FY2011 — the FY2012 report reprints the FY2011 report's table unchanged rather than adding a FY2012 row.
2012,FY2012,4118-fy-2012-annual-town-report.pdf,58,"FY 2012 receipts, line by line",duplicated,table note,"Key figures: REAL ESTATE TAXES $18,071,378.17, MOTOR VEHICLE EXCISE $1,286,412.15, CH 70 SCHOOL AID $4,612,665.00 (up from $4,523,464 in FY2011), LOTTERY/BEANO $829,777.00 (DOWN from $894,449), MSBA REIMB-SCHOOL $499,098.00 (identical to FY2011), ICE STORM/FLOODING REIMBURSEMENT $142,196.00, BUILDING PERMITS $96,279.50 (down from $181,516.40)."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,note,surprise,"The Abstract of Assessments on p10 is headed 'Fiscal Year 2011' but contains FY2012 figures — its TOTALS row is 1,120,966,561, which the valuation history two lines above identifies as FY2012. A heading-based search would pull the wrong year."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,note,surprise,"Two reports give different 2010 US Census populations for Lunenburg: 10,085 in FY2011 and 10,280 in FY2012, both attributed to the same census."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,note,surprise,"The capital plan table on p12 has its columns in a different order from its own header: the header reads DEPARTMENT / ITEM / AMOUNT and the rows read department, amount, item."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,note,surprise,"The Proposition 2½ override — $2,200,000, defeated 1084 to 2275 — is fully documented in three places that can be joined: the Finance Committee's account of what was cut (p20), the line-by-line contingent appropriation in Article 9 (p83), and the precinct-level ballot result (p105). The override budget and the budget that actually passed share line numbers, so the counterfactual is directly comparable."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,note,surprise,"The district published its out-of-district special education placement COUNT on p33 — 24 students, 19 day and 5 residential, 7 of the day placements in a Collaborative. That is the number the project's standing questions list as unpublished."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,note,surprise,"The FY2013 omnibus budget of $27,489,441 includes nearly $900,000 transferred from sewer betterment, water betterment, sewer enterprise and septic receipts — the article text says so and the budget table does not."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,12,Capital plan items approved at the 2012 Annual Town Meeting,page numbering,table note,A stray '9' (the printed page number) has landed inside the last row.
2012,FY2012,4118-fy-2012-annual-town-report.pdf,3,Table of contents / department index with page numbers,page numbering,table note,Printed page numbers run 3 lower than the PDF page index.
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,two figures differ,surprise,"The FY2011 and FY2010 columns of the exemptions/abatements table DISAGREE with the same columns as printed in the FY2011 report — 'Amount Released' FY2011 is 4,385.99 here and 119,992.49 there. Prior years are restated between reports."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,10,"Assessor's account for exemptions, abatements and overlay, five years",two figures differ,table note,"The FY2011 and FY2010 columns here DISAGREE with the same columns in the FY2011 report: 'Charges to 6/30/2010' FY2010 reads 116,250.15 here and 112,378.97 there; 'Amount Released' FY2011 reads 4,385.99 here and 119,992.49 there."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,,,unreadable / OCR damage,surprise,"Total long-term indebtedness for FY2009 is printed as $29,490,706 here and $22,490,706 in the FY2011 report. One is a transposition and the tables do not agree."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,15-16,Nashoba Environmental Health Department activity counts,unreadable / OCR damage,table note,"Two counts are still lost in the leaders (Septic System Test Applications, Water Quality/Well Consultations) and one — 'Septic System Lot Tests. 0131333799.77' — is OCR garbage and must not be used."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,24,Police Department FY13 staff roster,unreadable / OCR damage,table note,The heading is OCR rubble ('PY13 Stair').
2012,FY2012,4118-fy-2012-annual-town-report.pdf,25,"Police calls for service, 2009-2012, and incidents by category",unreadable / OCR damage,table note,"Four data labels survive on the left chart — 12670, 10175, 10044, 9558 — but which year each belongs to is NOT recoverable from the OCR, and the narrative saying calls were '8% higher than the previous year' does not fit a falling series, so the labels may be mis-ordered on the page."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,43,Monty Tech member towns,unreadable / OCR damage,table note,"Two entries are OCR-mangled ('Ashburnnam', 'naivalu' for Harvard)."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,44-45,"Monty Tech MCAS results 2010-2012, by subject",unreadable / OCR damage,table note,"The ELA table's header and first row are at the foot of p44 and its remaining rows at the head of p45, with the Mathematics table's rows interleaved — the four rows at the top of p45 (Advanced/Proficient 80/86/87, Needs Improvement 17/12/12, Failing 3/2/1) cannot be assigned to a subject from the OCR alone."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,60-65,"General fund appropriations: summary and classification of accounts, FY2012",unreadable / OCR damage,table note,The GRAND TOTAL row's first cell is OCR garbage ('1032000').
2012,FY2012,4118-fy-2012-annual-town-report.pdf,73-74,"Trust funds, fiscal year 2012 summary report",unreadable / OCR damage,table note,"The FUND NAME column is cut off at the right edge on both pages, leaving fragments ('LARSH', 'CHOLARSHIP', 'HOLARSH') — the names must come from the FY2011 table or the PDF."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,75,"Long-term indebtedness and debt limit, five years",unreadable / OCR damage,table note,"NOTE the FY2009 figure differs between reports: this table prints $29,490,706 where the FY2011 report printed $22,490,706 — a transposition in one of the two."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,75,"Long-term indebtedness and debt limit, five years",unreadable / OCR damage,table note,The Schools row is cut off at the top of the page.
2012,FY2012,4118-fy-2012-annual-town-report.pdf,77-78,"FY2012 collection of taxes: commitments, payments, abatements and balances",unreadable / OCR damage,table note,"Values are legible though several rows have their figures displaced by one line and the right-hand columns (ABATEMENTS, TRANSFER, BALANCES) are cut off at the page edge on p78."
2012,FY2012,4118-fy-2012-annual-town-report.pdf,83,"Proposition 2½ override contingent appropriation, line by line (Article 9)",unreadable / OCR damage,table note,"Recoverable increases: Treasurer's Administration $7,549, Tax Collector's Administration $4,650, Planning Board $9,647, Conservation Commission $8,500, Police Department $31,554, Fire Department $5,463, Building Inspector $11,290, General Health Expense $8,500, Highway Labor $34,698, School Department $1,131,040, Lunenburg Public Library $35,600, plus Annual Town Audit and General Highway Maintenance whose amounts are OCR-damaged."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,63,Summary of receipts by category,announced but absent,table note,"Labels present, values absent — identical failure to FY2011 and FY2012."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,65-70,"General fund appropriations and expenditures, line by line, FY2013",announced but absent,table note,"THE TABLE HEADING AND THE COLUMN HEADER ROW ARE ENTIRELY ABSENT — the string 'PROGRAM NAME' does not occur anywhere in the FY2013 file, where it appears four times in FY2012. p65 starts mid-table at 'Selectmen's Salaries'."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,71-75,"Special revenue funds: grants, gifts and revolving accounts, FY2013",announced but absent,table note,"The table heading and column headers are absent again (p71 starts at 'Conservation Fund'), but the opening balances tie exactly to FY2012's closing balances ($2,062,621.79 in both), which chains all three years' special revenue tables together."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,90,Salary Administration Plan step definitions (Article 27),announced but absent,table note,"This is the mechanism behind step costs in the payroll, and the dollar values of the steps are not printed anywhere in the report."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,duplicated,surprise,"The front-page fact block on p4 is a verbatim reprint of the FY2012 one and is stale in every field: it gives FY2012's valuation and the 2012 town census in the FY2013 report, and still names Scott P. Brown as US senator and John W. Olver as representative, both of whom had left office by then. The assessors' own table eight pages later gives a different valuation."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,duplicated,surprise,The Monty Tech section is printed twice: pp44-57 is the current year's submission and pp58-59 is a verbatim reprint of the FY2012 report's enrollment and awards pages. There is no October 2013 enrollment-by-member-town breakdown anywhere in the document.
2013,FY2013,4119-fy-2013-annual-town-report.pdf,4,"Town at a glance: population, valuation, tax rate and legislative delegation",duplicated,table note,"THIS BLOCK IS A VERBATIM REPRINT OF THE FY2012 ONE and is stale: it gives the 2012 town census (9982), the FY2012 assessed valuation ($1,101,654,500 real estate, $29,375,244 personal property) and 'TAX RATE: $ 17.30 (Fiscal 2013)', while the assessors' own table on p10 gives FY2013 valuation as $1,131,029,744."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,4,Town department office hours,duplicated,table note,"Identical to FY2012's, including the footer '(TOWN HALL, RITTER MEMORIAL BUILDING AND LUNENBURG PUBLIC LIBRARY AND EAGLE HOUSE CLOSED FRIDAY)' — the four-day week continued."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,58-59,"Monty Tech enrollment, admissions and Class of 2012 awards (reprinted from the FY2012 report)",duplicated,table note,"THIS SECTION IS A VERBATIM REPRINT OF THE FY2012 REPORT'S TEXT and describes the 2011-2012 school year: 'a record 823 applications', '380 freshmen and 24 upperclassmen were admitted', VIP serving 'approximately 675 area students'."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,note,surprise,"The FY2013 Abstract of Assessments is the only one of the three years with a complete Accts column AND an account total in its TOTALS row (5,054), which also ties to the Accounts column of the valuation history. The other two years lost most of their counts."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,note,surprise,"The Sewers row of the long-term debt table is restated between the FY2012 and FY2013 reports — $3,323,639 for FY2012 here against $1,670,000 there, and similarly for every prior year — roughly doubling outside-the-limit debt while the grand total is unchanged. Something was reclassified and neither report says what."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,note,surprise,"STUDENT BUS FEES appears in the receipts for the first time at $31,916.83. A new charge on households shows up as a revenue line and nowhere else."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,note,surprise,"Building permit revenue has fallen by two thirds in three years: $181,516 (FY2011), $96,279 (FY2012), $61,956 (FY2013)."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,note,surprise,Grade 8 science at Lunenburg High School scored 34% advanced/proficient against a state average of 39% in the same year grade 10 science scored 97% and ranked 6th of 341 schools in the state. Both figures are on p41.
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,note,surprise,"Special education Indicator 5 shows Lunenburg placing 77% of students with IEPs in full inclusion against a state rate of 58.1%, and only 4.5% in separate or residential settings against 6.8% — the placement mix is materially different from the state's, which bears directly on out-of-district cost."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,note,surprise,"Monty Tech's state and federal grants fell from $1,407,959 to $922,132 while private and competitive grants rose from $20,918 to $358,245, leaving the total nearly flat. A budget line barely moving while its funding source changes completely."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,note,surprise,"Article 27 rewrote the salary step ladder from an irregular 0/1/2/4/6/8/10/12-year schedule to annual advancement through step 3 and every two years thereafter, and the Finance Committee reported no additional financial impact. The dollar value of a step is printed nowhere in the report."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,,,note,surprise,"Three town offices were contested in 2013 (Selectmen, Town Clerk, School Committee) after two years in which nearly every race had one candidate and a Blanks row."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,3,Table of contents / department index with page numbers,page numbering,table note,Printed page numbers run 4 lower than the PDF page index.
2013,FY2013,4119-fy-2013-annual-town-report.pdf,91-92,Annual Town Election results by precinct,page numbering,table note,"p92 is clean; p91 IS ROW-SHIFTED — candidate names and their vote rows are offset by one line for most contests, so e.g. the SELECTMEN block prints five value rows against four labels."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,34-35,"Special education DESE indicator results, Lunenburg against state",stale / copied forward,table note,"Note the p34 narrative gives total enrollment as 1,587 where p32 and p33 give 1,602 — the two special services paragraphs are otherwise identical and one has a stale denominator."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,58-59,"Monty Tech enrollment, admissions and Class of 2012 awards (reprinted from the FY2012 report)",stale / copied forward,table note,"The FY2013 report evidently carries two Monty Tech submissions, one current (pp44-57) and one stale (pp58-59), and there is no October 2013 enrollment-by-town breakdown anywhere in this document."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,46-47,"Monty Tech MCAS results 2011-2013, by subject",two figures differ,table note,"The narrative gives 2013 passing rates as ELA 99%, Math 98%, Biology 97% but dates them 'spring of 2012', which contradicts the table."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,5,Board and committee regular meeting schedule,two figures differ,table note,"Differs from FY2012 in ways worth noting: an Assessors row appears, the Historical Commission moves from the Library to Ritter, PACC moves to Eagle House, the Sewer Commission and Cemetery Commission move to the DPW Office, the Zoning Board moves to Town Hall, and the Housing Partnership row disappears."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,80,"Long-term indebtedness and debt limit, five years",two figures differ,table note,"The FY2009 total is $29,490,706, agreeing with FY2012 and disagreeing with FY2011's $22,490,706."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,11,"Persons buried this year, by month",unreadable / OCR damage,table note,"THE ROTATION IS FIXED HERE — this table reads the right way up with its column header row at the top, where the FY2012 version is upside down and the FY2011 version has no CEMETERY header at all."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,11,"Persons buried this year, by month",unreadable / OCR damage,table note,"A few cemetery codes are OCR noise ('ZOnz', 'zz')."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,27-28,Police Department personnel roster,unreadable / OCR damage,table note,"The top of p27 is a badge/patch graphic whose text OCR'd as rubble ('(POLICE LUNENBURG', 'PATBOLMAN', 'EUTENAWT SERGEANT') and must be discarded — it is not roster content."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,42-43,Lunenburg High School faculty and staff roster,unreadable / OCR damage,table note,p43 has only THREE lines in the OCR — the tail of the roster is almost entirely lost at the page break.
2013,FY2013,4119-fy-2013-annual-town-report.pdf,44,Monty Tech One-Year-Out Survey: placement of the class of 2012,unreadable / OCR damage,table note,The introducing sentence is truncated by the OCR.
2013,FY2013,4119-fy-2013-annual-town-report.pdf,46-47,"Monty Tech MCAS results 2011-2013, by subject",unreadable / OCR damage,table note,"The subject headings are OCR rubble ('ing site tugunge Arty', 'Mathemanics 2011 12012 2113')."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,46-47,"Monty Tech MCAS results 2011-2013, by subject",unreadable / OCR damage,table note,Biology is cut at the page break — only its Needs Improvement row (itself garbled) and Failing row (3%/2%/3%) survive on p47.
2013,FY2013,4119-fy-2013-annual-town-report.pdf,47-55,Monty Tech vocational programme enrollments with gender split,unreadable / OCR damage,table note,The other eight programmes' strings are lost in OCR damage.
2013,FY2013,4119-fy-2013-annual-town-report.pdf,58,Monty Tech leadership team,unreadable / OCR damage,table note,"One name is OCR-mangled ('Nancia Duran, Do Pritor of Technology' for Francine Duncan, Director of Technology)."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,78-79,"Trust funds, fiscal year 2013 summary report",unreadable / OCR damage,table note,"But the FUND NAME COLUMN IS MISSING on p78: every row's nine values are complete and correctly aligned and only one name fragment ('JRAL TR') survives, so rows must be matched to funds by their opening balances against the FY2012 table. p79 is upside down with names cut off at the right edge as before."
2013,FY2013,4119-fy-2013-annual-town-report.pdf,86-88,FY 2014 Omnibus Budget as voted at Annual Town Meeting,unreadable / OCR damage,table note,"THE CLEANEST OF THE THREE YEARS' OMNIBUS BUDGETS — both pages read the right way up, where FY2012's second page is upside down."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,22,"Receipts by revenue account, FY2014",announced but absent,table note,"ZONING INCENTIVE PAYMENT $99,000.00 (new line, absent in FY2013);"
2014,FY2014,4120-fy-2014-annual-town-report.pdf,29-33,"Special revenue funds: grants, gifts, revolving and enterprise accounts",announced but absent,table note,"Fully readable, but a dormant fund prints only its opening and closing figures with the two middle columns absent, so a naive parse will mis-assign them."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,4-5,Table of contents,announced but absent,table note,"That is an explicit record of what is MISSING from the year, which FY2013 does not provide."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,43-44,Collection of taxes,announced but absent,table note,FY2013's version of this table (page 83) is unreadable - the row labels are entirely absent.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,59-61,Sewer system operating statistics,announced but absent,table note,"Real operating data with no table around it: 730 properties connected and another 390 with access but not connected; forty new connections in FY2014; $656,440 billed in quarterly sewer bills; $53,730 of prior year delinquencies added to property tax bills; sixteen properties assessed privilege fees; 19 grease trap establishments; 10 pumping stations and 10 generators; approximately 76% of sewage discharged to Leominster and 24% to Fitchburg; a $5,000 minimum fine for illegal connections; service outsourced to Small Water Systems Services of Littleton from August 2013."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,72,Communicable disease cases by disease,announced but absent,table note,"Named-disease case counts for one town in one year - not something a budget document would normally carry, and completely absent from the FY2013 report."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,11-15,"Appointed officials, committees and boards",duplicated,table note,The standing caveat 'TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED.' is reprinted at the top of every one of the five pages.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,132,Vital statistics totals,duplicated,table note,"The same all-caps explanation about the Registry of Vital Records is reprinted verbatim from the FY2013 report, so both years carry counts only and no names."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,35,"Exemptions, abatements and overlay, five years",duplicated,table note,The row heading 'Charges to 6/30/2010' is reprinted verbatim in the FY2014 report even though it now carries FY2014 figures - a stale label carried across at least two years.
2014,FY2014,4120-fy-2014-annual-town-report.pdf,,,note,surprise,"Page 96 publishes exactly the number that dollars cannot give you - out-of-district special education placements COUNTED and split by type: 'seven are serviced in Collaborative Placements, thirteen are in Day Placements and six are in Residential Placements'. The FY2013 report gives the same count for the prior year (seventeen day, five residential, no collaborative category), so the two reports together are two consecutive years of placement counts."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,,,note,surprise,"The Sewer Commissioner seat was won with eleven votes - six in Precinct A, four in B, one in C, none in D - against 1,199 blanks. The winner's name is printed with '**' as elected, on a ballot where the office drew 38 write-ins."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,,,note,surprise,"Question 5 on the November 2014 ballot appears in Precinct B only, and the report prints it that way with dashes in the other three precincts, because Precinct B is Lunenburg's only precinct in the 3rd Worcester District. A reader who did not know that would read the dashes as missing data."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,,,note,surprise,"The table of contents lists four bodies as 'no report' rather than leaving them out - Agricultural Commission, Conservation Commission, Cultural Council and Veterans Agent. The report explicitly documents its own gaps."
2014,FY2014,4120-fy-2014-annual-town-report.pdf,,,note,surprise,"The FY2014 trust funds table carries account numbers and fund NAMES; the FY2013 one carries perfectly clean rows of money with no names at all in its text layer. The FY2014 opening balances match the FY2013 closing balances, so this report is the key that labels the previous year's unlabelled table."
