fy,table,pages,page_count,pages_with_figures,figure_rows,figures,columns,read_by,printed_total,checkable,csv_fields,grain
2016,special_revenue,"4,30-31,33-35,151",7,6,167,496,2,layout+plain,"GRAND TOTAL=35,284,130.91",yes,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2016,staff_roster,"110,113,116",3,0,0,0,0,layout+plain,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2016,tax_rate,"6,37-38",3,3,24,64,7,plain,TOTALS=100.00,yes,"fy, class, rate",one row per class per year
2016,town_meeting,"3,5-6,18-19,64,76-77,94,141-144,150-173,177-186",47,19,64,72,2,layout+plain,,no,(not tabular),"votes and articles -- prose, not a table"
2016,trust_funds,"4,9,20,39,42,90,193-194",8,3,80,135,3,ocr+plain,"TOTAL ASSETS=7,651,036.89",yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2016,valuation,37,1,1,12,37,2,plain,TOTALS=100.00,yes,"fy, class, valuation",one row per property class per year
2017,appropriations,"3,23",2,1,7,7,1,plain,,no,"fy, department, appropriated, expended, balance",one row per department per year
2017,balance_sheet,"3,20,140",3,2,50,94,2,ocr+plain,"TOTAL ASSETS=8,860,158.09",yes,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2017,capital_project,"28,34",2,2,51,261,2,ocr+plain,"GRAND TOTAL=37,626,445.44",yes,"fy, project_number, project_name, balance",one row per capital project per year
2017,debt,"20,23,60,142-143",5,4,123,169,9,ocr+plain,"TOTAL ASSETS=8,860,158.09",yes,"fy, issue, principal, interest, maturity",one row per debt issue per year
2017,enterprise,"33,71,158-159",4,4,47,103,6,ocr+plain,"GRAND TOTAL=3,173,622.70",yes,"fy, fund, line, amount",one row per enterprise fund line per year
2017,payroll,"4,192-198",8,7,328,613,8,ocr+plain,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2017,receipts,22,1,1,53,112,2,plain,"GRAND TOTAL=37,050,712.82",yes,"fy, source, amount",one row per revenue source per year
2017,school_report,"4-5,8-10,12,27,29,34,49,58-59,70,90,96-100,107,111,122-124,127-128,139,143,153,157,166,169,172,187,200",35,9,180,454,9,layout+ocr+plain,,no,(not tabular),narrative
2017,special_revenue,"3,29-33",6,5,129,390,6,ocr+plain,"GRAND TOTAL=3,173,622.70",yes,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2017,staff_roster,"108,112,115,119",4,0,0,0,0,plain,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2017,tax_rate,"5,35",2,2,25,60,5,ocr+plain,TOTALS=100.00,yes,"fy, class, rate",one row per class per year
2017,town_meeting,"4-5,17-19,34,59-60,71,90-91,153-154,158-161,163,166-167,170",21,11,40,145,4,layout+ocr+plain,,no,(not tabular),"votes and articles -- prose, not a table"
2017,trust_funds,"3,8,16,20,36-39,158,187",10,6,130,576,4,ocr+plain,"TOTAL ASSETS=8,860,158.09",yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2017,valuation,35,1,1,23,58,5,ocr,TOTALS=100.00,yes,"fy, class, valuation",one row per property class per year
2018,appropriations,"4,29",2,1,7,7,1,plain,,no,"fy, department, appropriated, expended, balance",one row per department per year
2018,balance_sheet,"4,26",2,1,45,82,2,plain,"TOTAL ASSETS=8,614,966.92",yes,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2018,capital_project,"34,40",2,2,88,233,7,ocr+plain,"GRAND TOTAL=40,112,337.95",yes,"fy, project_number, project_name, balance",one row per capital project per year
2018,debt,"26,29,69-70,86,161",6,4,56,94,2,layout+ocr+plain,"TOTAL ASSETS=8,614,966.92",yes,"fy, issue, principal, interest, maturity",one row per debt issue per year
2018,enterprise,"38-39,79,86,155,158-159",7,7,102,217,6,layout+ocr,"GRAND TOTAL=3,564,136.36",yes,"fy, fund, line, amount",one row per enterprise fund line per year
2018,payroll,"5,248-254",8,7,304,586,7,layout+plain,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2018,receipts,28,1,1,54,113,2,plain,,no,"fy, source, amount",one row per revenue source per year
2018,school_report,"6,9-11,13,21,24,33,35,40,57,68-69,78,104,110,113,120,136-137,140,148-149,152-153,158,163,221,224,235,255",31,6,132,377,7,layout+ocr+plain,,no,(not tabular),narrative
2018,special_revenue,"4,35-39",6,5,136,411,6,ocr+plain,"GRAND TOTAL=3,564,136.36",yes,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2018,staff_roster,"121,124,128,132",4,0,0,0,0,plain,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2018,tax_rate,"6,41-42",3,3,25,66,2,plain,,no,"fy, class, rate",one row per class per year
2018,town_meeting,"5-6,19,21,23-24,40,56,70-71,80,86,105,152,154-155,158-163,219-223",27,12,109,194,2,layout+ocr+plain,,no,(not tabular),"votes and articles -- prose, not a table"
2018,trust_funds,"4,9,18-19,26,43-46,69,158,235",12,7,133,587,3,layout+ocr+plain,"TOTAL ASSETS=8,614,966.92",yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2018,valuation,41,1,1,18,54,2,plain,,no,"fy, class, valuation",one row per property class per year
2019,appropriations,"5,29,31",3,2,10,14,7,ocr,,no,"fy, department, appropriated, expended, balance",one row per department per year
2019,balance_sheet,5,1,0,0,0,0,ocr,,no,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2019,capital_project,36,1,1,9,189,2,ocr,,no,"fy, project_number, project_name, balance",one row per capital project per year
2019,debt,"28-29,31,87",4,4,19,98,7,ocr,,no,"fy, issue, principal, interest, maturity",one row per debt issue per year
2019,enterprise,"40-41,86-87,160,165-166,180",8,8,21,233,2,ocr,,no,"fy, fund, line, amount",one row per enterprise fund line per year
2019,payroll,7,1,0,0,0,0,ocr,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2019,receipts,30,1,1,56,127,6,ocr,"GRAND TOTAL=50,815.00",yes,"fy, source, amount",one row per revenue source per year
2019,school_report,"9,13-15,17,26,35,37,42,61,70,84,107,113,115,117,124,138-140,143-144,158,164,172,194",26,8,26,491,1,ocr,,no,(not tabular),narrative
2019,special_revenue,5,1,0,0,0,0,ocr,,no,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2019,staff_roster,135,1,0,0,0,0,ocr,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2019,tax_rate,"9,43",2,2,12,46,1,ocr,,no,"fy, class, rate",one row per class per year
2019,town_meeting,"7,9,23,25-27,42,59,74,87,108-109,147,157,159-160,165,179-180,183",20,8,14,190,1,ocr,,no,(not tabular),"votes and articles -- prose, not a table"
2019,trust_funds,"5,13,28,44-47,87,165,195",10,7,74,545,10,ocr,,no,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2019,valuation,43,1,1,11,44,1,ocr,,no,"fy, class, valuation",one row per property class per year
2020,appropriations,"3,25",2,1,6,7,3,ocr+plain,,no,"fy, department, appropriated, expended, balance",one row per department per year
2020,balance_sheet,"3,22",2,1,48,106,7,ocr+plain,"TOTAL ASSETS=10,105,057.06",yes,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2020,capital_project,"30,36",2,2,52,277,7,ocr,"GRAND TOTAL S=43,104,912.84",yes,"fy, project_number, project_name, balance",one row per capital project per year
2020,debt,"22,25,65,79",4,4,61,121,7,layout+ocr,"TOTAL ASSETS=10,105,057.06",yes,"fy, issue, principal, interest, maturity",one row per debt issue per year
2020,enterprise,"34-35,73-74,76,78-79,150,155-156,169",11,8,96,232,6,layout+ocr+plain,"GRAND TOTAL=4,576,323.49",yes,"fy, fund, line, amount",one row per enterprise fund line per year
2020,payroll,4,1,0,0,0,0,plain,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2020,receipts,24,1,1,3,87,2,ocr,,no,"fy, source, amount",one row per revenue source per year
2020,school_report,"5,8-9,13,29,31,36,54,63-64,73,102,104,106-107,118,120,124,130,132-133,144,155,197",24,7,97,385,7,layout+ocr+plain,,no,(not tabular),narrative
2020,special_revenue,"3,31-35",6,5,153,462,7,ocr+plain,"GRAND TOTAL=4,576,323.49",yes,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2020,staff_roster,123,1,0,0,0,0,plain,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2020,tax_rate,"5,37-38",3,3,25,72,2,layout+plain,"TOTALS 5,323=1.63",yes,"fy, class, rate",one row per class per year
2020,town_meeting,"4-5,17-19,36,64-65,73-74,78-79,96-98,107,147-152,155-187",55,21,122,258,5,layout+ocr+plain,,no,(not tabular),"votes and articles -- prose, not a table"
2020,trust_funds,"3,8,19,21-22,39-41,79,156-157,169,198",13,7,140,739,7,layout+ocr+plain,"TOTAL ASSETS=10,105,057.06",yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2020,valuation,37,1,1,17,58,2,plain,"TOTALS 5,323=1.63",yes,"fy, class, valuation",one row per property class per year
2021,appropriations,"4,26",2,1,6,7,6,ocr,,no,"fy, department, appropriated, expended, balance",one row per department per year
2021,balance_sheet,4,1,0,0,0,0,ocr,,no,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2021,capital_project,31,1,1,9,137,1,ocr,,no,"fy, project_number, project_name, balance",one row per capital project per year
2021,debt,"23,26,64,77",4,3,14,97,6,ocr,,no,"fy, issue, principal, interest, maturity",one row per debt issue per year
2021,enterprise,"35-36,73,77,144,151",6,6,21,225,2,ocr,,no,"fy, fund, line, amount",one row per enterprise fund line per year
2021,payroll,5,1,0,0,0,0,ocr,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2021,receipts,25,1,1,53,149,6,ocr,GRAND TOTAL=1.62,yes,"fy, source, amount",one row per revenue source per year
2021,school_report,"6,9-10,16,30,32,37,53,62-64,96,100,102,109,111,123-125,135,158",21,7,20,348,2,ocr,,no,(not tabular),narrative
2021,special_revenue,4,1,0,0,0,0,ocr,,no,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2021,staff_roster,114,1,0,0,0,0,ocr,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2021,tax_rate,38,1,1,6,20,2,ocr,,no,"fy, class, rate",one row per class per year
2021,town_meeting,"5-6,18-20,37,52,63,77,96-97,138-139,143,146,151",16,8,12,178,1,ocr,,no,(not tabular),"votes and articles -- prose, not a table"
2021,trust_funds,"4,9,20,23,39,77,143",7,4,12,130,1,ocr,,no,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2021,valuation,38,1,1,6,20,2,ocr,,no,"fy, class, valuation",one row per property class per year
2022,appropriations,"4,27",2,1,5,7,4,ocr+plain,,no,"fy, department, appropriated, expended, balance",one row per department per year
2022,balance_sheet,"4,24",2,1,50,87,8,ocr+plain,"TOTAL ASSETS=11,029,741.64",yes,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2022,capital_project,"32,38",2,2,96,299,7,ocr+plain,"GRAND TOTAL=45,416,024.49",yes,"fy, project_number, project_name, balance",one row per capital project per year
2022,debt,"24,27,64,75",4,4,65,109,8,layout+ocr,"TOTAL ASSETS=11,029,741.64",yes,"fy, issue, principal, interest, maturity",one row per debt issue per year
2022,enterprise,"36-37,71,74-75,145,150",7,7,91,254,6,layout+ocr,"GRAND TOTAL=6,414,742.67",yes,"fy, fund, line, amount",one row per enterprise fund line per year
2022,payroll,"5,186-192",8,4,69,76,5,ocr+plain,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2022,receipts,26,1,1,54,110,2,plain,"GRAND TOTAL=46,695,138.62",yes,"fy, source, amount",one row per revenue source per year
2022,school_report,"9-10,13,31,33,54,59,61-64,70,94,100-101,106,108,121,123,127,137,144,149,165,175-176",26,7,133,315,7,layout+ocr+plain,,no,(not tabular),narrative
2022,special_revenue,"4,33-37",6,5,168,535,6,ocr+plain,"GRAND TOTAL=6,414,742.67",yes,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2022,staff_roster,117,1,0,0,0,0,layout,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2022,tax_rate,"6,39",2,2,3,4,1,layout,,no,"fy, class, rate",one row per class per year
2022,town_meeting,"5-6,18-19,21,38,63-64,70-71,75-76,94-95,140-144,150-151,153-154,165,169-171,173",28,14,132,236,2,layout+plain,,no,(not tabular),"votes and articles -- prose, not a table"
2022,trust_funds,"4,9,22,24,40-42,76,150,176",10,7,150,821,8,layout+ocr+plain,"TOTAL ASSETS=11,029,741.64",yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2022,valuation,39,1,1,1,2,1,layout,,no,"fy, class, valuation",one row per property class per year
2023,appropriations,"4,33",2,1,13,39,7,ocr,GRAND TOTAL=48.21,yes,"fy, department, appropriated, expended, balance",one row per department per year
2023,balance_sheet,"4,24",2,1,46,84,6,ocr,TOTAL LIABILITIES=84498.72,yes,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2023,capital_project,"33,44",2,2,71,198,7,ocr,GRAND TOTAL=48.21,yes,"fy, project_number, project_name, balance",one row per capital project per year
2023,debt,"24,33,70,83",4,4,68,134,7,layout+ocr,GRAND TOTAL=48.21,yes,"fy, issue, principal, interest, maturity",one row per debt issue per year
2023,enterprise,"41-42,48,51,79,82-83,164,169-170",10,9,122,271,6,layout+ocr,,no,"fy, fund, line, amount",one row per enterprise fund line per year
2023,payroll,5,1,0,0,0,0,ocr,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2023,receipts,25,1,1,3,17,2,ocr,,no,"fy, source, amount",one row per revenue source per year
2023,school_report,"9-10,13,31,34,44,61,65,67,69-70,77,108,116-117,122,126,129,141,143,158-159,167,173,186",25,10,152,443,8,layout+ocr+plain,,no,(not tabular),narrative
2023,special_revenue,"4,32,34-43",12,11,235,829,7,ocr,"GRAND TOTAL=8,663,349.91",yes,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2023,staff_roster,"126,134,138",3,0,0,0,0,layout+ocr,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2023,tax_rate,"6,45,171",3,1,2,2,1,layout+plain,,no,"fy, class, rate",one row per class per year
2023,town_meeting,"5-6,20,69-70,78,82-83,108-109,112,162-163,168-169,171-173,176,180-181,184-185",23,13,46,53,2,layout+ocr+plain,,no,(not tabular),"votes and articles -- prose, not a table"
2023,trust_funds,"4,9,21,24,48-51,83,169,171,187",12,8,148,861,6,layout+ocr+plain,TOTAL LIABILITIES=84498.72,yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2024,balance_sheet,"2,21,28,30",4,3,95,216,11,layout+ocr,,no,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2024,capital_project,"2,27",2,1,25,47,5,layout+ocr,,no,"fy, project_number, project_name, balance",one row per capital project per year
2024,debt,"21,28,30,54",4,4,97,219,11,layout+ocr,,no,"fy, issue, principal, interest, maturity",one row per debt issue per year
2024,enterprise,"2,21,28,33-34,63,67,140,146-147",10,8,156,653,11,layout+ocr+plain,,no,"fy, fund, line, amount",one row per enterprise fund line per year
2024,payroll,"3,186-193",9,4,88,109,6,layout+ocr,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2024,school_report,"3,9-10,13,42,49,51,54,61,87,93-94,99,103,106,117,119,134,136,165",20,3,13,15,1,layout+ocr+plain,,no,(not tabular),narrative
2024,special_revenue,"2,23-26",5,4,141,157,9,layout+ocr,,no,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2024,staff_roster,"104-105,107",3,0,0,0,0,layout+ocr,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2024,tax_rate,6,1,1,2,2,1,layout,,no,"fy, class, rate",one row per class per year
2024,town_meeting,"3,6,18-20,53,63,68,87-89,138-140,146-148,157,160,164-165,169",22,12,41,47,1,layout+plain,,no,(not tabular),"votes and articles -- prose, not a table"
2024,trust_funds,"2,9,29,33-35,57,68,146-147,165,173",12,8,143,563,5,layout+ocr,"GRAND TOTALS=2,322,458.17",yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2025,balance_sheet,"3,25,33",3,2,18,62,6,layout+plain,,no,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2025,capital_project,"3,30",2,1,23,31,4,layout,"TOTAL CAPITAL PROJECT FUND BALANCE=3,096,913.16",yes,"fy, project_number, project_name, balance",one row per capital project per year
2025,debt,25,1,1,17,61,6,plain,,no,"fy, issue, principal, interest, maturity",one row per debt issue per year
2025,enterprise,"25,35,53,64,67,140,142-143,152",9,8,96,155,6,layout+plain,,no,"fy, fund, line, amount",one row per enterprise fund line per year
2025,payroll,"4,177",2,1,50,98,2,layout,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2025,school_report,"4,9,12-13,16,20,23,44-45,48,51-55,61-62,88-89,99,112-113,115,132-133,138,150-151,153-154,173",31,10,20,20,1,layout+plain,,no,(not tabular),narrative
2025,special_revenue,"3,26",2,1,36,50,7,layout,,no,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2025,staff_roster,"100,102,105,109",4,0,0,0,0,layout,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2025,tax_rate,"22,53-54",3,3,7,7,1,layout,,no,"fy, class, rate",one row per class per year
2025,town_meeting,"4,9,21,44,47,52-55,64,68,86,136-137,139,141-142,149-154,161-162,168-170",28,14,56,71,4,layout+plain,,no,(not tabular),"votes and articles -- prose, not a table"
