column,meaning,unit,basis,caution
sha256,Checksum of our copy.,,derived,Here because a file can be replaced at the same URL without the URL changing.
url,The publisher's own address for the document.,,publisher,
upstream,"The publisher's address, as deeply as it goes.",,publisher,
path,Where our copy lives in the archive.,,ours,
bytes,Size of our copy.,bytes,derived,
rows,How many rows the extract produced.,count,derived,
printed_total,"The total the source itself prints, quoted.",,publisher,This is the independent check. An extract that does not tie to it is not trusted.
documents_disagree,Two documents state different figures for the same thing.,,derived,Kept rather than resolved: which is right is often not established.
school,"Which school, as the roster prints it.",,publisher,
position,"The job, classified by us from the printed title.",,ours,"A roster carries no FTE, so a 0.4 music teacher and a full-timer are one row each."
role_raw,The job title exactly as printed.,,publisher,
count,How many.,count,derived,
total,"The row's total, as printed.",dollars,publisher,
notes,What we recorded about this row while reading it.,,ours,
panel,"Which block of the page this row came from, where a page prints several tables.",,derived,Two panels on one page have different column rulers. Summing across panels mixes them.
label_missing,The row's label did not survive extraction.,,derived,The figures may still be good. A missing label is not a missing row.
line_no,"Position of the row on the page, counting from the top.",,derived,"Positional, so it identifies a row within a page and nothing beyond it."
repaired_cells,"Cells we corrected, and what the correction was.",,derived,A repair is a change we made to a reading. It is recorded so it can be disputed.
unparsed_cells,Cells we could not read.,,derived,Kept rather than dropped: a dropped cell is invisible.
pages,Which pages of the source this covers.,,ours,
source_ref,"Where in the source the figure sits — a cell, a line, a page.",,ours,"Rule 13: a coordinate, so a figure can be checked rather than taken."
source_file,The file the figure was read from.,,ours,
function_group,Our grouping of DESE function codes into readable categories.,,ours,
transfers,Money moved into or out of the appropriation after it was voted.,dollars,publisher,This is why `original` and `revised` differ.
metric,Which quantity this row measures.,,ours,
note,What we recorded about this row.,,ours,
item,The thing being priced or counted.,,ours,
key,The row's join key.,,derived,
grain,What one row of this table represents.,,ours,The field that decides whether two tables can be joined or summed.
table,Which table this row describes.,,ours,
section,The budget book's own section heading.,,publisher,
evidence,What establishes the claim in this row.,,ours,
rounded_columns,Which columns the source printed rounded.,,publisher,"Sets the tolerance a reconciliation may use — one dollar per rounded row, not a blanket."
row,The worksheet row number in the source spreadsheet.,,publisher,"Rule 13: quotes a coordinate, so a figure can be traced to its cell."
salaries,The salary portion of the fund's spending.,dollars,publisher,
expenditure,The non-salary portion of the fund's spending.,dollars,publisher,
lea,The state's district code.,,publisher,
district,The district's name as DESE prints it.,,publisher,
measure,Which DESE measure this row reports.,,publisher,
reconciles,Whether this figure ties to DESE's own printed total.,,derived,
owner,Who holds the grant.,,publisher,
unit,What the figure is counted in.,,ours,
set_on,The date the rate or fee was set.,,publisher,
season,Which athletic season.,,publisher,
level,"School level, where the row is about athletics rather than accounts.",,publisher,"Means something different in `account` (department roll-up against detail account) and in `dese_function_expenditure` / `dese_function_statewide`, where it is the DESE hierarchy: total, rollup, category, detail. Filter on it before summing in all three."
sport,The sport.,,publisher,
raw,"The value exactly as printed, before parsing.",,publisher,"Rule 13: what the source says, beside what we made of it."
is_numeric,Whether the raw value parsed as a number.,,derived,
cell,The spreadsheet cell the figure came from.,,publisher,"A coordinate, so the figure can be checked."
printed,The total the source itself prints.,dollars,publisher,
printed_cell,Where that printed total sits.,,publisher,
printed_raw,The printed total exactly as it appears.,,publisher,
summed_from_rows,What our rows add to.,dollars,derived,
difference,Ours less the source's.,dollars,derived,
ties,Whether the two agree.,,derived,
as_of,The date the count was taken.,,publisher,"Placement counts are measured on 1 March, not at year end."
collaborative,Children placed with an educational collaborative.,count,publisher,"Children, not dollars."
day,Children in a day placement.,count,publisher,"Children, not dollars."
residential,Children in a residential placement.,count,publisher,"Children, not dollars."
collaborative_within_day,Whether the collaborative count is inside the day count.,,publisher,
collaborative_basis,How the collaborative figure was arrived at.,,publisher,
report_says_prior_year,The prior-year figure this report restates.,,publisher,"Each year states last year's number, which checks the chain."
parts_tie,Whether the parts sum to the printed total.,,derived,
chain_agrees,Whether this year's report agrees with last year's about last year.,,derived,
checks,Which checks this row passed.,,derived,
table_name,Which table this row describes.,,ours,Named `table_name` rather than `table` because `table` is an SQL reserved word and this table exists to be queried.
role,"What kind of table it is: fact, dimension, extract, classification, provenance or derived.",,ours,"Facts carry the measurements. Everything else describes, extracts, classifies or checks them."
what_it_answers,The question one row of this table answers.,,ours,
meaning,What the column holds.,,ours,
caution,What goes wrong if this is used without knowing the above.,,ours,Every entry here was written after getting it wrong at least once.
default_query,The query the schema page's modal opens this table with.,,ours,Set only where a bare SELECT * is unhelpful — a fact table keyed on a code shows numbers with no words until its dimension is joined back.
scope,"Whose money or whose subject the table is about: school, town, both, state or archive.",,ours,"`both` is not a hedge — the ledger and the chart of accounts genuinely carry every department, and splitting them would be inventing a division the source does not make."
tier,"How finely the money is resolved: 1 totals, 2 categories, 3 accounts. Blank where the table is not about money.",,ours,From the join map. Tier 1 answers what was appropriated and what is left; tier 2 which category is over; tier 3 what one account spent. The tier below 3 — which revenue paid which expense — no report reaches.
forward,"Balance the fund brought forward from the previous year, as the schedule prints it.",dollars,publisher,
receipts,Total money the fund took in during the year.,dollars,publisher,Not the same quantity as disbursements and must never be added to it.
disbursements,Total money the fund paid out during the year.,dollars,publisher,
carried,Balance the fund carried forward into the next year.,dollars,publisher,"Ties to the NEXT year's `forward`, which is a check across years the schedule makes possible."
row_ties,Whether this row satisfies forward + receipts − disbursements = carried.,,derived,"The identity the table itself states. A row that does not tie is a transcription error or a printing error, and which one is not decided here."
read_by,Which instrument produced the figures: `vision` for a page read directly.,,ours,"A reading, whichever instrument made it. It is checked by the printed total, not trusted for its source."
quote,"What the source says, verbatim.",,publisher,
func_cat_code,"DESE’s four-letter function CATEGORY code — ADMN, TCHR, TSER, BENE, TUIT, ODTR, and the rollup codes IIII, OODD, TTPP.",,publisher,TUIT has no summary row of its own; its detail rolls straight into OODD. ODTR is inside OODD and must not be added to it again.
func_cat_desc,What DESE calls that category in words.,,publisher,
func_code,"DESE’s function code. Numeric on a detail row (2330 is Paraprofessionals); on a summary row it repeats `func_cat_code`, which is how the two are told apart.",,publisher,A function code aggregates many budget lines and many posts. It is not a budget line and it is not a position.
func_desc,What DESE calls that function in words.,,publisher,
in_out_dist,Whether DESE counts the spending as in-district or out-of-district. Blank on every summary row.,,publisher,
gen_fund,The part DESE attributes to the general fund.,dollars,publisher,"This is DESE’s measure of SPENDING across the district, not the town’s appropriation. The two are different definitions and must never be subtracted from one another."
grants_revolving,The part DESE attributes to grants and revolving funds rather than the general fund.,dollars,publisher,"The split is by FUNCTION CODE. It says how much grant money a function carried, never which grant, which post or which budget line — see money_gaps."
per_pupil,DESE’s own per-pupil figure for the row.,dollars,publisher,DESE prints 0 against every out-of-district row. That is not a measurement of zero; per-pupil is simply not published there.
districts,How many districts are in the distribution on this row — the denominator.,count,derived,"Includes charter and virtual districts, which are in DESE’s file and are not municipal school districts."
gen_fund_total,The general fund part summed across every district in the distribution.,dollars,derived,
grants_revolving_total,The grants and revolving part summed across every district in the distribution.,dollars,derived,
grant_share,`grants_revolving_total` divided by `total` — the share of this function statewide that grants and revolving money paid for.,fraction,derived,
per_pupil_basis,"Whether a per-pupil figure exists for this row, and what its denominator is.",,derived,"Says so explicitly where one does not, rather than leaving a blank that reads as missing data."
per_pupil_min,The lowest per-pupil figure any district in the distribution reported for this function.,dollars,derived,
per_pupil_p25,The 25th percentile of per-pupil spending across the districts in the distribution.,dollars,derived,
per_pupil_median,The median per-pupil spending across the districts in the distribution.,dollars,derived,"The comparable quantity. Districts differ in size, grade span and whether they are regional, so a raw dollar comparison between two of them means very little."
per_pupil_p75,The 75th percentile of per-pupil spending across the districts in the distribution.,dollars,derived,
per_pupil_max,The highest per-pupil figure any district in the distribution reported for this function.,dollars,derived,
lunenburg_per_pupil,Lunenburg’s own per-pupil figure for this function and year.,dollars,publisher,
lunenburg_rank_of_districts,"Lunenburg’s position in that distribution, highest first, with the denominator: “299 of 318”.",,derived,Read the denominator. It includes charter and virtual districts.
org_level,"Whether the row is the state, a district, a school, or a collaborative.",,derived,All four sit in one column in the DESE source. Filter on it before summing anything. And a DISTRICT row is not the sum of its SCHOOL rows: staff and children with no school assignment have a district row and no school row.
subject_level,"Whether the subject on the row is every teacher, a GROUP of subjects, or one subject.",,derived,"`all` is `All`/`All Teachers`. `group` is `Core-All Subjects` and `Total Non-Core Academic Subjects`, which are groups of the subjects beside them, so the members of this column DO NOT PARTITION. Summing subjects counts a teacher about three times."
race_level,Whether the row is the `All Educators` total or one reported race/ethnicity.,,derived,"The total sits beside the detail. Summing a job class without filtering gives exactly TWICE the headcount, which is how 59 paraprofessionals were once recorded here as 118."
grades_level,Whether the grade group on the row is everything or a subset of it.,,derived,"In `dese_sped_indicator` THE SUBSETS OVERLAP -- Grade 10 inside Grades 9-12 inside K-12 -- so no sum across them means anything. In `dese_sped_movement` the value is `all` or `grade`, and even there the grade rows are NOT the K-12 row broken down."
indicator_level,Whether the row is a category total or one member of it.,,derived,Every indicator category in `dese_sped_program` carries its own total row. `Placement` runs SHORT of its total because its members are in-district placements only; `Disability Type` and `Disability Type All` are two renderings of one breakdown and must never be added.
student_group_level,Whether the row is all students or one of the two groups beneath.,,derived,"`All Students` = `Students with Disabilities` + `Students without Disabilities`, asserted per grade group on every build."
denominator_cnt,The population a percentage on the row is a percentage OF.,students,publisher,It is NOT the indicator’s own count -- that is `measure_cnt`.
measure_cnt,The figure the indicator states.,varies — read value_type,publisher,"On the SPECIAL EDUCATION STAFF rows of `dese_sped_indicator` this is the students-with-disabilities denominator, not a count of staff; the staff figure is `measure_pct`, which is an FTE per 100 students with disabilities. `value_type` says which each row is."
value_type,"What kind of quantity the row holds: a percentage, an average, an FTE, or an FTE per 100 students with disabilities.",,publisher,"Read it before doing arithmetic. In `dese_sped_program` it says `Percent` on EVERY row including the FTE-ratio rows, so in that table it does not tell you the unit and the indicator category does."
teacher_fte,Full-time equivalent teachers.,FTE,publisher,"DESE names the source column `TCHR_CNT`. It is not a headcount: the state row is 76,718.6. And FTE here is EPIMS FTE, defined as the share of a workday given to an ASSIGNMENT rather than to a person, so it cannot be divided into a budget line to get a cost per employee."
nss_stage,Whether the net school spending on the row is what was SPENT or what was BUDGETED.,,derived,LOAD-BEARING. The source column is headed `actualNSS` for all thirty-four years and the last two hold budgeted figures — DESE’s own DataNSS sheet names them `budnss`. Rule 1: a rate measured from an actual to a budget is partly growth and partly the step between the two.
required_nss,Required net school spending as the Chapter 70 formula computes it: required local contribution plus Chapter 70 aid.,dollars,publisher,"The source sheet has TWO columns called `rqdnss` and they are different numbers in over a thousand district-years. This is column I. What DESE publishes is `required_nss_published`, column J."
required_nss_published,"Required net school spending as DESE publishes it, carryover included.",dollars,publisher,"Column J of the DataC70 sheet, whose own note reads “from Profile file, includes carryover”. This is the figure DataNSS and the compliance test use, and it is the one to quote."
ch70_aid_after_penalties,Chapter 70 aid as the workbook states it after any penalty.,dollars,publisher,"Column M, described by the sheet as “From this file, reflecting penalties, if any”. It differs from `ch70_aid` in several hundred district-years."
repeats_prior_year,Whether every figure on this row exactly equals the same district’s previous year.,,derived,Lunenburg’s SY2024 and SY2025 movement rows are such a pair. Four independently counted quantities landing identically two years running is not plausible and a carried-forward row is; two such years must never be summed as two years of movement.
grade_rows_sum,"The sum of that district’s individual grade rows, written onto the K-12 row.",students,derived,"It does NOT equal `enrolled_cnt`, and it is not meant to. The grade rows are not the K-12 row broken down — the `Grade 12` row is a fraction of the size of the others. The residual is published rather than explained."
unaccounted_cnt,The starting cohort less the four destinations the row accounts for.,students,derived,"What it IS — moved away, left for a private school, aged out, suppressed as a small cell — is not established by the source."
eligible_students_claimed,Children whose high-cost special education costs the district claimed circuit breaker reimbursement for.,students,publisher,"A count of CLAIMS, which is not the same set as the placements in `placement-counts.csv`, and not the same as students with disabilities."
agrees_with_teacher_subject,Whether two DESE datasets state the same total teacher FTE for this organisation and year.,,derived,"Written on the `All` rows only. Where it is `no`, both figures are kept and neither publication is treated as correcting the other."
printing,"Which of several rows published under one natural key this is: 1 for the first, 2 for the next.",,derived,"Part of the primary key of three DESE tables and of enterprise_balance_sheet. It exists because the publisher printed the same key twice — sometimes identically, sometimes with the district under a different name, and sometimes with DIFFERENT FIGURES. Nothing may be dropped, so collapse on it before aggregating rather than assuming the key is unique."
