fy,edition,page_printed,page_pdf,printing,section,line,fund,amount,document,read_by
2025,FY2025,21,25,1,assets,Due to/Due From,water,-33942.00,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Due to/Due From,solid_waste,26973.93,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Due to/Due From,peg_access,131677.80,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Due to/Due From,total_memorandum,448414.78,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Accounts Payable,sewer,195239.45,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Accounts Payable,solid_waste,35147.74,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Accounts Payable,peg_access,2351.41,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Accounts Payable,total_memorandum,232738.60,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Accrued payroll and withholdings,sewer,1997.41,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Accrued payroll and withholdings,peg_access,2818.40,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Accrued payroll and withholdings,total_memorandum,4815.81,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Deferred Revenue: User Charges,sewer,134785.36,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Deferred Revenue: User Charges,water,87.10,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Deferred Revenue: User Charges,total_memorandum,134872.46,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Deferred Revenue: Special Assessment,sewer,2779513.03,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Deferred Revenue: Special Assessment,total_memorandum,2779513.03,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Deferred Revenue: Other Receivables,sewer,60513.74,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,liabilities,Deferred Revenue: Other Receivables,total_memorandum,60513.74,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,fund_equity,Reserved for encumbrances,sewer,19975.08,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,fund_equity,Reserved for encumbrances,total_memorandum,19975.08,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,fund_equity,Unreserved retained earnings,sewer,2287472.37,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,fund_equity,Unreserved retained earnings,water,33615.93,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,fund_equity,Unreserved retained earnings,solid_waste,214766.83,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,fund_equity,Unreserved retained earnings,peg_access,1072661.74,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,fund_equity,Unreserved retained earnings,total_memorandum,3608516.87,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
