fy,edition,document,name,printed_heading,pages,what_it_is,grain,columns,layout,printed_total,approx_rows,extractable,notes,cluster
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Assessors' office staff,,12,"Sign-off line naming the board members and office staff, with the two regional assessors.",one person,(name) | (role),two lines of comma-separated name/role pairs,,7,clean,Names Harald Scheid and David Manzello as Regional Assessors — the assessing function is shared with other towns.,assessors office staff
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Deaths recorded during 2011, by month",JANUARY / FEBRUARY / MARCH / APRIL / MAY / JUNE / JULY / AUGUST / SEPTEMBER / OCTOBER / NOVEMBER / DECEMBER,13,"Every death recorded in the town's cemeteries during 2011, grouped by month of burial, with age at death and a burial-type code. War service is appended to some names (WWII, Korea, Army, VNam).",one death / burial,(name) | (age) | (N or S),"two side-by-side month stacks, three columns each",,22,messy,"'*Denotes Cremation' is printed at the foot. The N/S column is not explained anywhere on the page — almost certainly North and South cemetery. Several ages are blank. OCTOBER has no entries. The report's own VITALS REPORT (p80) states DEATHS - 58 for 2011, which does not equal the ~22 listed here — this list is burials in town cemeteries, not deaths of residents.",deaths during month recorded
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Capital Planning Committee: items placed in the FY2012 plan,,13-14,"Department / item / amount list of the capital requests the Committee put into the FY2012 plan. Introduced on p13 by the narrative note that $538,765.00 was approved at the May 2011 Annual Town Meeting, $133,765.00 from available funds and $405,000.00 borrowed.",one capital item,(department) | (item) | (amount),three columns,,2,not without geometry,"STILL BADLY DAMAGED. Only the last two rows survive on p14 ('School, THMS | Gym Bleachers/gym floor | $ 35,000.00' and 'School, THMS | Whiteboards | $ 25,000.00'); the rest of the table and its heading are missing from the OCR entirely. The same list appears complete and clean on p83 under Article 19 — use that instead.",capital committee items placed
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Nashoba Associated Boards of Health: Environmental Health Department activity counts,Environmental Health Department / Environmental Information Responses / Food Service Licenses & Inspections. / Beach/Camp Inspections.. / Housing & Nuisance Investigations.. / Septic System Test Applications.. / Septic System Lot Tests..... / Septic System Plan Applications... / Septic System Plan Reviews / Septic System Permit Applications (new lots).. / Septic System Permit Applications (upgrades).,18,"Counts of environmental health activity performed for Lunenburg by the regional health district, each followed by a paragraph explaining what the activity is.",one activity type,(activity) | (count),"label with dot leaders, count at the right, explanatory paragraph beneath in a deeper indent",,11,messy,"The dot leaders swallow several counts: Environmental Information Responses, Food Service Licenses, Beach/Camp Inspections, Septic System Test Applications and Septic System Lot Tests all print no number. Recovered counts: Housing & Nuisance 57, Septic Plan Applications 36, Septic Plan Reviews 55, Septic Permits new lots 24, upgrades 16.",activity associated boards counts
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Nashoba Nursing Service & Hospice visit and clinic counts,"Nashoba Nursing Service & Hospice / Home Health / Nursing Visits..... / Home Health Aide Visit ..... / Rehabilitative Therapy Visit. / Medical Social Service Visits. / Hospice Volunteer and Spiritual Care Visits... / Clinics / Local Well Adult, Support Groups, & Other Clinic",19,Counts of home health visits by discipline and of clinic attendance for Lunenburg residents.,one service type,(service) | (count),"label with dot leaders, count right",,9,messy,"Nursing Visits 1136, Rehabilitative Therapy 808, Hospice Volunteer/Spiritual 21, Flu clinic attendance 209, Well Adult Clinic attendance 224. Home Health Aide and Medical Social Service counts are lost in the leaders. One line — 'Number of patients who received Vaccine ....4' — is implausible as printed and should not be used.",clinic counts hospice nashoba
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Communicable disease cases reported,Communicable Disease,19-20,Bulleted list of reportable diseases with the number of Lunenburg cases.,one disease,(disease) | (cases),bulleted list with dot leaders,,5,not without geometry,"STILL DAMAGED. Only the disease names survive on p20 (Hepatitis C, Influenza, Lyme Disease, Measles) — every count is lost. The top of the list is cut off at the p19/p20 boundary.",cases communicable disease reported
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Nashoba Dental Health Department: school dental programme counts,"Dental Health Department / Examination, Cleaning & Fluoride - Grades K, 2 & 4 / Instruction - Grades K, 1 & 5",20,"Children eligible for, participating in and referred out of the school dental hygiene programme.",one programme measure,(measure) | (count),"label with dot leaders, count right",,4,messy,"349 appears at the end of the explanatory sentence rather than beside 'Students Eligible'; Students Participating 197, Referred to Dentist 35. 'Number of Programs' has no count.",counts dental department health
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Fire department incident counts, 2011",This year our incidents totaled 1780 and are as follows:,21,Fire department calls split four ways.,one incident category,(category) | (count),"two label/value pairs per line, two lines",This year our incidents totaled 1780,4,clean,"Fires 495, Emergency Medical 808, Inspections 417, Other 60. These sum to 1780 and tie to the printed total exactly — a rare self-checking table in this report.",counts department fire incident
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Roster of the Lunenburg Fire Department,ROSTER OF THE LUNENBURG FIRE DEPARTMENT,22,Every member of the fire department with rank and EMS certification level.,one firefighter/EMT,(name) | (rank / certification),"centred officer block, then two side-by-side alphabetical columns",,45,clean,"'*Indicates members of Specialized Response Teams including Dive and Trench Rescue Teams'. Certification is part of the same string as rank (Firefighter/EMT, EMT-I, Paramedic).",department fire roster
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Police calls for service by type, 2011","The department answered 19,750 calls for service and made 294 arrests in 2011. A portion of these calls for service include:",23,Counts of selected call types embedded in a running sentence rather than set as a table.,one call type,(count) | (call type),"prose, comma-separated count/type pairs","19,750 calls for service and made 294 arrests",16,messy,"Readable: 247 abandoned/hang-up 911, 157 animal complaints, 568 assists to Fire/EMS, 1069 burglar alarms, 53 assaults, 74 community policing events, 142 disturbances, 126 domestic abuse, 60 harassment, 292 larcenies, 599 car accidents, 64 noise complaints, 34 neighbour disputes, 46 vandalism. Two clauses in the middle of the sentence are OCR rubble and their counts are unrecoverable. The listed types are explicitly 'a portion' — they do not sum to 19,750.",calls police service type
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Buildings and properties maintained by the DPW,The following is a list of buildings and properties maintained by the DPW:,24,Inventory of municipal buildings and grounds under DPW care.,one building or property,(property),two columns,,13,clean,Explicitly excludes school properties: 'All athletic fields/playgrounds excluding school properties'.,buildings dpw maintained properties
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Library trustees, Friends and staff",Trustees / Friends / Staff,26,Three parallel lists of the people running the library.,one person,Trustees | Friends | Staff,three columns side by side,,10,clean,"A stray left-margin column of two-letter fragments ('is', 'te.', 'EP', 'sh,') has bled in from the facing page and must be stripped. The library statistics the p25 narrative promises ('The following are only a few of the statistics from last year') are NOT in the OCR at all — that block is lost.",friends library staff trustees
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Council on Aging programmes and services,The Chart below shows some of the ongoing services that we provide:,29,Grid of the standing services the senior centre offers.,one service,(service) | (service) | (service),"three-column grid, eight rows",,24,clean,"The narrative above it carries the counts a reader would want: 32,883 units of service to 1766 participants; 920 residents aged 60+, 625 women and 295 men. The COA also reports 8,162 volunteer hours and 13 people in the Senior Tax Work Off programme providing over 1,500 hours (p30), and $118,460 from the municipal budget in FY11.",aging council programmes services
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"School Committee membership, meeting schedule and Central Office personnel",Lunenburg School Committee / Regular Meetings / Central Office Personnel / Office of the Superintendent of Schools / Student Services Office / School Personnel/Business Services / Office of Facilities & Grounds / Transportation Services / Cafeteria Services,32,"School Committee members with role and term expiry, when the committee meets, and the district's central office staff grouped by function.",one committee member or one central office employee,(name) | (role),"single-column committee block, then two-column staff block grouped by office",,20,clean,"Transportation is contracted out ('McCarty Limousine'), which is recorded as a row in the staff list.",central committee meeting membership
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Lunenburg Primary School faculty and staff roster,PRIMARY SCHOOL FACULTY / STAFF ROSTER,37-38,"Every position at the Primary School with the person filling it, grouped by preschool, kindergarten, grade, and special education.",one staff position,(role or class section) | (name),"two side-by-side column stacks under section headings (PRESCHOOL, KINDERGARTEN, GRADE 1, GRADE 2, SPECIAL EDUCATION, EXTENDED DAY PROGRAM)",,45,clean,"Class sections are identified by code (K-1, K-2, 2A..2F). Specialists carry their grade range in parentheses (e.g. 'Mary Schults (Prek-K)'). A few names are OCR-mangled ('usie Barne', 'herri Flyn').",faculty primary roster school
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Thomas C. Passios Elementary School faculty roster,THOMAS C. PASSIOS ELEMENTARY SCHOOL FACULTY,39-40,"Staff of the grades 3-5 school by classroom section, special area, ELL and special services.",one staff position,(section or role) | (name),"two side-by-side column stacks, sections 3A-3E, 4A-4E, 5A-5E on the left and support roles on the right",,40,clean,"The narrative on p38 gives the enrolment behind this roster: 358 students in 15 classrooms, average class size about 24.",elementary faculty passios roster
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Turkey Hill Middle School MCAS: percent advanced or proficient, school against state",% of STUDENTS SCORING IN THE ADVANCED/PROFICIENT RANGE,41,"Spring 2011 MCAS results for the middle school compared with the state, by grade and subject.",one grade-and-subject pair,GRADE | SUBJECT | THMS | STATE,four-column table,,7,clean,"Grade 6 ELA 77/58, Grade 6 Math 68/58, Grade 7 ELA 85/73, Grade 7 Math 63/51 (the grade cell for row 4 is blank and must be inferred), Grade 8 ELA 95/79, Grade 8 Math 66/52, Grade 8 Sci/Tech 49/39. 'MathR' in the grade 8 row is an OCR artefact of 'Math'.",advanced against hill mcas
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Turkey Hill Middle School staff roster 2011-2012,TURKEY HILL MIDDLE SCHOOL STAFF ROSTER ~ 2011-2012,42-43,"Middle school staff with room number and subject assignment, grouped by office, guidance, special areas, foreign language, learning center and grade team.",one staff position,(name) | (room number) | (subject / assignment),two side-by-side column stacks under section headings,,40,clean,"Grade 6 and 7 teams are further split by house colour, recorded in parentheses ('(RED)', '(WHITE)'). Room number is embedded in the same string as the name.",hill middle roster school
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Lunenburg High School faculty and staff roster 2011-2012,LUNENBURG HIGH SCHOOL / Faculty/Staff Roster / 2011-2012,44-45,"High school staff by department, with department liaisons flagged.",one staff position,(name) | (department or role),"two side-by-side column stacks under department headings (Math, Language Arts, Foreign Language, Unified Arts, etc.)",,40,clean,'Department Liaison' appears as a role beside the name rather than as a separate column.,faculty high roster school
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Monty Tech enrollment by member town, October 1 2010",Enrollment,47,"The 1,400-student regional vocational school's enrollment broken down by each of the eighteen member towns, written as a parenthesised list inside a sentence.",one member town,(town) | (students),"prose, town name followed by count in parentheses","1,400 students in grades nine through twelve",18,messy,"Lunenburg (63). The eighteen town counts plus twelve out-of-district students are stated to make up the 1,400. Also on this page: 736 applications received, 636 for grade 9, 382 freshmen admitted, 28 upperclassmen admitted; and the FY2010-2011 Educational Plan total of $22,225,324.",enrollment member monty october
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Monty Tech MCAS results 2009-2011, by subject",Academic Achievement / English Language Arts / Mathematics / Biology,48,"Three parallel tables — ELA, Mathematics, Biology — each giving students tested, passing rate, advanced/proficient, needs improvement and failing for 2009, 2010 and 2011.",one performance measure for one subject in one year,Students tested | 2009 | 2010 | 2011,"two tables side by side (ELA left, Mathematics right), Biology centred beneath; rows are the measures, columns the years",,15,messy,"Now readable but the row/column pairing is loose: in the ELA block the year header row and the value rows interleave, and in Biology the 2011 'Tested' cell is empty. Students tested: 318 / 351 / 358. Parentheses around some counts are OCR noise, not accounting negatives. This table was 'messy' before and is now materially more legible, but still needs manual pairing.",mcas monty results subject
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Monty Tech MCAS competency at graduation,"The following data represents the percentage of students who met the competency score in English Language Arts, Mathematics and Biology at the time of graduation: / English Language Arts | Mathematics | Biology",48,A three-column table of competency rates at graduation.,one subject,English Language Arts | Mathematics | Biology,three-column header at the very foot of the page,,1,not without geometry,STILL DAMAGED. Only the column headers survive; the value row is lost at the page break.,competency graduation mcas monty
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Monty Tech vocational programme enrollments with gender split,,49-52,"For each of the twenty vocational/technical programmes, a narrative paragraph ending in a parenthesised enrollment with a male/female breakdown.",one vocational programme,(programme) | (total enrollment) | (males) | (females),"embedded in prose as '(Total enrollment: 63; 54 males, 9 females)' at the end of each programme's paragraph",,20,messy,"Recoverable by regex on 'Total enrollment: N; M males, F females'. Several paragraphs on p50 are badly scrambled and their enrollment strings are truncated (Auto Body prints '(Total' and nothing more). The gender split is the interesting part — Business Technology 60 (11 male, 49 female); Dental Assisting 58 (3 male, 55 female); Early Childhood 66 (2 male, 64 female); Electrical 84 (78 male, 6 female).",enrollments gender monty programme
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Monty Tech District School Committee membership by member town,An Experienced Advisory Council -the Monty Tech School Committee,55,"The twenty-two-member regional school committee, each member tagged with the town that appointed them.",one committee member,(name) | (member town or officer role),"three columns, name and town separated by a slash or run of spaces",,22,clean,"Barbara Reynolds is Lunenburg's representative. Fitchburg holds four seats and Gardner two — representation is by population, which matters for how assessments are set.",committee district member membership
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Combined balance sheet, all fund types, June 30 2011",TOTAL ASSETS / LIABILITIES and FUND EQUITY: / LIABILITIES: / FUND BALANCES: / UNRESERVED: / TOTAL LIABILITIES / TOTAL FUND EQUITY / TOTAL LIABILITIES/FUND EQUITY,56,"Assets, liabilities and fund equity at year end across six fund-type columns (general, special revenue, capital projects/deferred, trust, long-term debt group).",one balance sheet line,(line item) | (six unlabelled fund-type columns),"row label at left, six money columns; column headers are not present in the OCR","TOTAL LIABILITIES/FUND EQUITY $5,702,559.41 | $1,494,488.29 $8,593,343.92 $818,223.39 |$2,336,941.54 $27.097,991",40,messy,"The table's own heading AND the whole ASSETS section above 'FY 09 REAL ESTATE TAXES' are missing from the OCR — the page begins mid-table. No string matching 'BALANCE SHEET' occurs anywhere in the FY2011 file. Column headers (which fund each money column belongs to) are also absent, so the six columns can only be identified by matching totals against other statements. TOTAL ASSETS ties to TOTAL LIABILITIES/FUND EQUITY, which is a usable internal check.",all balance combined fund
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"General fund revenues pie chart, FY11",GENERAL FUND REVENUES FY 11,57,Pie chart of general fund revenue by source with percentage labels.,one revenue source,(source) | (percent),pie chart with labels scattered around the circle,,3,not without geometry,"STILL BADLY DAMAGED — only 8 lines survive and only three slices are readable: ALL OTHER 7.92%, STATE-LOCAL AID 22.25%, MOTOR VEHICLE EXCISE 4.31%. The dominant property tax slice is not in the OCR. The underlying numbers are all in the p58 receipts table, so this chart is not the place to get them.",chart fund general pie
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"FY 2011 receipts, line by line",FY 2011 RECEIPTS - JUNE 2011,58,"Every general fund revenue account and the amount received, grouped by TAXES & EXCISES, INTEREST, DEMANDS, FEES, DEPARTMENTAL REVENUE, LICENSES/PERMITS, STATE REVENUE, FINES & FORFEITS, EARNINGS ON INVESTMENTS and TRANSFERS.",one revenue account,(account name) | (amount),three side-by-side label/amount column pairs on one landscape page,,90,messy,"Columns one and two are complete and clean. The THIRD column's amounts are missing: SALE OF TOWN PROPERTY/EQUIPMENT, SCHOOL BASED MEDICARE REIMB, MEDICARE PART D REIMBURSEMENT, LOCK UP FEES, MISC. REVENUE, FEDERAL REVENUE, INVESTMENT INCOME, PRIOR YEAR EXCISE, PRIOR YEAR INT/DEMAND and TRANSFERS FROM OTHER FUNDS all print a label with no value. Key recovered figures: REAL ESTATE TAXES $17,241,283.89, MOTOR VEHICLE EXCISE $1,179,519.65, CH 70 SCHOOL AID $4,523,464.00, SEC 2D CH 29 LOTTERY/BEANO $894,449.00, MSBA REIMB-SCHOOL $499,098.00, RESCUE WAGON $265,514.34, DOG LICENSES $8,030.00, BUILDING PERMITS $181,516.40.",line receipts
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Summary of receipts by category,SUMMARY OF RECEIPTS,58,"Ten-line roll-up of the receipts detail into categories, ending in a grand total.",one revenue category,(category) | (amount),right-hand column of the same landscape page,"GRAND TOTAL (label present, value not captured)",10,not without geometry,"STILL DAMAGED. Category labels all present (TAXES & EXCISES, FEES, LICENSES AND PERMITS, STATE REVENUE, SPECIAL ASSESSMENTS, FINES & FORFEITS, INVESTMENT INCOME, TRANSFER FROM OTHER FUNDS, NON RECURRING REVENUE, GRAND TOTAL) but every value is missing — this sits in the same damaged third column as the receipts detail above. The GRAND TOTAL that would let the detail be reconciled is exactly what is lost.",category receipts
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"General fund expenditures pie chart, FY2011",GENERAL FUND EXPENDITURES FY 2011,59,Pie chart of general fund spending by function with percentage labels.,one spending function,(function) | (percent),pie chart with labels around the circle,,6,messy,"Readable: General Govt Unclassified 8.12%, Debt Service 10.52%, All Other 8.73%, General Government 4.10%, Public Safety 8.39%, Department of Public Works 5.06%. The schools slice — which is most of the pie — is not in the OCR.",chart expenditures fund general
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"General fund appropriations and expenditures by account, FY2011",PROGRAM NAME | APPROPRIATED FORWARD | TOTAL FUNDS AVAILABLE | TOTAL EXPENDED | TOTAL ENCUMBERED | BALANCE TO REVENUE,60-65,"The town's full expenditure ledger for the year: every appropriation account with what was appropriated (including carry-forward), what was available, what was spent, what was encumbered and what returned to revenue. Grouped GENERAL GOVERNMENT, PUBLIC SAFETY, HEALTH, DEPARTMENT OF PUBLIC WORKS, PUBLIC ASSISTANCE, SCHOOLS, LIBRARY, CULTURE & RECREATION, UNCLASSIFIED, DEBT AND INTEREST, STATE & COUNTY ASSESSMENTS, TRANSFERS TO OTHER FUNDS.","one appropriation account (payroll and other-expenses lines are separate rows, with a subtotal row per department)",PROGRAM NAME | APPROPRIATED FORWARD | TOTAL FUNDS AVAILABLE | TOTAL EXPENDED | TOTAL ENCUMBERED | BALANCE TO REVENUE,"six-column ledger running six pages; the column header row prints only once, on p65","GRAND TOTAL $27,948,061.40 $27,948,061.40 $27,561,000.62 $207,450.46 $179,610.32",200,messy,"PAGES 60-61 ARE STILL BROKEN in the way the correction was meant to fix: p60 is 31 lines of account names with almost no values, and p61 opens with 22 lines of bare values with no names. The two halves of the GENERAL GOVERNMENT block cannot be re-paired without the page geometry. From the second half of p61 onward (Conservation Commission and after) label and value are back on the same line and pages 62-65 are good. Two footnote keys are printed at the end: 'fwd - forward from FY 2010 $248,787.42' and 'srt - Salary Reserve Transfer $8,600.00'; a trailing 'fwd' or 'srt' on an amount means it is a carry-forward or a transfer, not an appropriation. Key figures: School Department total $14,413,948.00 available / $14,352,504.51 expended; Monty Tech Assessment $633,124.00; Health Insurance CH 32B $1,720,019.41; Choice Tuitions $355,494.00 expended against $284,958.00 appropriated; Charter Tuitions $259,434.00 against $325,360.00.",account appropriations expenditures fund
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Special revenue funds: grants, gifts and revolving accounts, FY2011",SCHOOL DEPARTMENT / PUBLIC SAFETY / PARKS & RECREATION / HIGHWAY DEPT. / COUNCIL ON AGING / LIBRARY / CEMETERIES / UNCLASSIFIED,66-70,"Every special revenue, grant, gift and revolving fund with its opening balance, receipts, expenditures and closing balance. Includes the enterprise funds (Water, Sewer, Solid Waste/Recycling) and the sewer betterment fund.",one fund,(fund name) | (beginning balance) | (receipts) | (expenditures) | (ending balance),five-column table over five pages,"GRAND TOTAL $2,688,344.09 $6,127,226.48 $6,048,615.90 $2,766,954.67",150,messy,"The table's heading and its column headers are NOT in the OCR — p66 starts mid-list at 'Zoning Board Consultant Revolving', so the general-government section above it and the header row are lost. The GRAND TOTAL on p70 is present and lets the visible rows be checked. Negative balances are printed in parentheses and are frequently misread ('(86.012.00)1' for $(6,012.00), '($7.742.70)'). Many dormant grant lines carry balances of a few dollars from the 1990s and are still listed. Notable: Non-Resident Tuition receipts $533,804.52 against expenditures $659,451.87 leaving $(132,906.80); School Choice $370,139.00 received, $379,696.77 spent; Sewer Enterprise Fund closing $644,021.97; Sewer Betterment Fund closing $841,028.03.",accounts funds gifts grants
