board_slug,owner,fy,goal_no,goal,summary,objective_no,objective,thread,basis,source,source_url,adopted_on,adopted_at,adopted_url,current
select-board,the Select Board,2026,3,Review Select Board Policies and Procedures,"Rewrite six board policies, from the financial rules to open meeting law training.",5,Create a Policy to establish a timeline for the period ic review of the Town's fee schedule.,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,3,Review Select Board Policies and Procedures,"Rewrite six board policies, from the financial rules to open meeting law training.",6,Create a Policy regarding the periodic Open Meeting Law and Conflict of Interest Training for elected and appointment members of Boards/Committees/Commissions and organize a workshop with Town Counsel on the same.,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,1,Budgeting and Finance,"Build FY27 with a three-year forecast, and finish the draft financial policies.",1,"Develop a FY27 budget and multi-year (minimum of 3 years) financial forecast o Shift initial budget preparations to summer/fall o Work with Department Heads to identify areas where growth is needed, level funding is sufficient, reductions can be made, and identify areas where outsourcing and/or Intermunicipal Agreements may be beneficial. o Actively participate in the Tri-Board meetings of the Select Board, Finance Committee, and School Committee o By January of 2026 present on FY27 budget status and general plan, if any, as discussed by the tri-Board o Hold at least two-in person forums on the budget in advance of Town Meeting o As part of this process, begin to develop 5-year staffing plans for all town departments o Engage with the Select Board, Public Employee Committee (PEC), and School Committee on potential modifications to the PEC Agreement (Health Insurance) for FY27 or beyond.",,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,1,Budgeting and Finance,"Build FY27 with a three-year forecast, and finish the draft financial policies.",2,"Explore Town/School operational and budgetary collaboration and efficiencies, including consolidation of departments, joint purchasing, and consolidation of vendors (This goal will span multiple fiscal years. During the initial year of this goal, the Town Manager will work to determine which areas warrant further study).",,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,1,Budgeting and Finance,"Build FY27 with a three-year forecast, and finish the draft financial policies.",3,Begin to use the ClearGov software for the FY27 operating and capital budgeting process.,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,1,Budgeting and Finance,"Build FY27 with a three-year forecast, and finish the draft financial policies.",4,"Work with the Finance Committee, Select Board, staff, and other stakeholders to complete the review of, and modify as necessary, the draft Financial Policies (goal of adoption by the Select Board prior to the 2026 Annual Town Meeting).",,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,2,Employee Experience,"Modernise the pay bylaw, and fix how new staff are brought in.",1,"Work with Town staff, Labor Counsel, Select Board, Bylaws Committee, and other stakeholders to conduct a review of the Salary Administrative Plan bylaw and draft amendments to the same, including those that modernize the bylaw and aid in the recruitment and retention of Town employees to present the initial modifications at the Special Town Meeting and potential additional modifications at future Town Meetings. (This goal will span multiple fiscal years. During the initial year of this goal, the Town Manager will work to bring initial modifications to the Special Town Meeting that are impactful to the employee experience, i.e. benefit time.)",sap-rewrite,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,2,Employee Experience,"Modernise the pay bylaw, and fix how new staff are brought in.",2,"Work with staff to identify weaknesses in the Town’s orientation and onboarding practices. Create an updated orientation materials package and process with a target roll-out date of March 1, 2026. Begin to develop an onboarding program for departments that do not have a formalized program.",,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,2,Employee Experience,"Modernise the pay bylaw, and fix how new staff are brought in.",3,"Items to be carried over from the Select Board FY25 goals: Implement Annual Climate Survey, Employee Recognition Program",,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,3,Municipal Property,"Decommission part of TC Passios, sell 925 Mass Ave, and sort the tax-title properties.",1,"TC Passios- Coordinate with various departments on the partial decommissioning of the TC Passios building (to be completed prior to heating season). In addition to the decommissioning work, collaborate with various stakeholders to begin the development of a short-term (10-year) plan for the building, including current and future use of the building, roof repair (Special Town Meeting), asbestos remediation, plan for partial demolition, and work to understand operating costs after the partial decommissioning.",tc-passios-site,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,3,Municipal Property,"Decommission part of TC Passios, sell 925 Mass Ave, and sort the tax-title properties.",2,"925 Mass Ave- Complete the sale of 925 Mass Ave within the Fiscal Year. Completion of this process will require the engagement of Legal Counsel, reconsideration of RFP vs. auction, and sale preparation and completion.",925-mass-ave,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Town Manager,2026,3,Municipal Property,"Decommission part of TC Passios, sell 925 Mass Ave, and sort the tax-title properties.",3,"Tax Title- the Town has final judgment on a number of properties. Work with Boards, Committees, and Commissions on establishing which properties the Town plans to retain and begin the process to sell all other properties.",,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
school-committee,the School Committee,2026,1,the future of Turkey Hill,"Decide whether to rebuild or renovate, and how it would be paid for.",,,turkey-hill-rebuild,our minutes of a recording,"school-committee 2025-11-05: ""Set five school-committee goals for the year""",/meeting-minutes/school-committee/2025-11-05,2025-11-05,the School Committee,/meeting-minutes/school-committee/2025-11-05,superseded
school-committee,the School Committee,2026,2,the primary school playground/parking project,The playground and the parking at the primary school.,,,,our minutes of a recording,"school-committee 2025-11-05: ""Set five school-committee goals for the year""",/meeting-minutes/school-committee/2025-11-05,2025-11-05,the School Committee,/meeting-minutes/school-committee/2025-11-05,superseded
school-committee,the School Committee,2026,3,a smooth FY budget process,Run the budget to a schedule the boards agree on.,,,,our minutes of a recording,"school-committee 2025-11-05: ""Set five school-committee goals for the year""",/meeting-minutes/school-committee/2025-11-05,2025-11-05,the School Committee,/meeting-minutes/school-committee/2025-11-05,superseded
school-committee,the School Committee,2026,4,a comprehensive long-term facilities plan for all buildings,One long-term plan covering every school building.,,,,our minutes of a recording,"school-committee 2025-11-05: ""Set five school-committee goals for the year""",/meeting-minutes/school-committee/2025-11-05,2025-11-05,the School Committee,/meeting-minutes/school-committee/2025-11-05,superseded
school-committee,the School Committee,2026,5,pursuing the turf field alongside the other capital-planning goals,Take the turf field forward with the rest of the capital work.,,,turf-field-study,our minutes of a recording,"school-committee 2025-11-05: ""Set five school-committee goals for the year""",/meeting-minutes/school-committee/2025-11-05,2025-11-05,the School Committee,/meeting-minutes/school-committee/2025-11-05,superseded
school-committee,the School Committee,2027,1,the primary school parking lot and playground study,A study of the parking and the playground at the primary school.,,,kids-kingdom,our minutes of a recording,"school-committee 2026-09-16: ""Accept the three school committee goals as outlined"" — passed, roll call",/meeting-minutes/school-committee/2026-09-16,2026-09-16,the School Committee,/meeting-minutes/school-committee/2026-09-16,yes
school-committee,the School Committee,2027,2,the MSBA application for Turkey Hill,Get the Turkey Hill application in to the state building authority.,,,turkey-hill-rebuild,our minutes of a recording,"school-committee 2026-09-16: ""Accept the three school committee goals as outlined"" — passed, roll call",/meeting-minutes/school-committee/2026-09-16,2026-09-16,the School Committee,/meeting-minutes/school-committee/2026-09-16,yes
school-committee,the School Committee,2027,3,financial fidelity,Hold the district’s finances to the process the boards agreed.,,,,our minutes of a recording,"school-committee 2026-09-16: ""Accept the three school committee goals as outlined"" — passed, roll call",/meeting-minutes/school-committee/2026-09-16,2026-09-16,the School Committee,/meeting-minutes/school-committee/2026-09-16,yes
