report_fy,document,page,schedule_fy,grade,step,rate,basis,confirmed_by
2015,4121-fy-2015-annual-town-report.pdf,198,2016,5,4,14.27,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,5,5,14.70,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,5,6,15.14,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,5,7,15.59,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,5,8,16.06,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,6,1,14.23,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,6,2,14.66,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,6,3,15.10,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,6,4,15.55,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,6,5,16.02,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,6,6,16.50,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,6,7,16.99,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,6,8,17.50,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,7,1,15.51,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,7,2,15.98,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,7,4,16.95,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,7,5,17.46,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,7,6,17.98,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,7,7,18.52,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,7,8,19.08,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,8,1,16.91,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,8,2,17.42,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,8,3,17.94,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,8,4,18.48,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,8,5,19.03,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,8,6,19.60,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,8,7,20.19,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,8,8,20.80,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,9,1,18.43,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,9,2,18.98,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,9,3,19.55,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,9,4,20.14,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,9,5,20.74,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,9,6,21.37,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,9,7,22.01,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,9,8,22.67,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,10,1,20.09,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,10,2,20.69,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,10,3,21.31,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,10,4,21.95,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,10,5,22.61,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,10,6,23.29,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,10,7,23.99,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,10,8,24.71,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,11,1,21.90,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,11,2,22.56,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,11,3,23.23,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,11,4,23.93,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,11,5,24.65,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,11,6,25.39,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,11,7,26.15,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,11,8,26.93,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,12,1,23.87,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,12,2,24.59,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,12,3,25.32,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,12,4,26.08,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,12,6,27.67,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,12,7,28.50,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,12,8,29.36,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,13,1,26.02,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,13,2,26.80,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,13,3,27.60,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,13,4,28.43,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,13,6,30.16,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,13,7,31.07,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,13,8,32.00,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,14,1,28.36,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,14,2,29.21,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,14,3,30.09,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,14,4,30.99,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,14,5,31.92,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,14,6,32.88,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,14,7,33.86,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
2015,4121-fy-2015-annual-town-report.pdf,198,2016,14,8,34.88,Apple Vision OCR,"the FY2017 schedule in a163-2016-may-annual-town-meeting-booklet-pdf.pdf page 9, at the FY2017 article's stated 2% cost of living increase (2016 ATM booklet, page 9, Article 16)"
