report_fy,document,page,as_of_fy,as_of_basis,section,category,amount,identities_closed
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Long-Term Indebtedness,27097992,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Outside the General Debt Limit,3189742,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2011,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Within the General Debt Limit,23908250,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Athletic & Recreational Facilities,431000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Departmental Equipment,1120000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Land Acquisition,445000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Other Building,5120000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Schools,9034000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Sewers & Drains,9578524,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Streets Sidewalks & Parking,25000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Other Outside General,292828,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Sewers,1935000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Water,1140663,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Long-Term Indebtedness,29122015,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Outside the General Debt Limit,3368491,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2010,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Within the General Debt Limit,25753524,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Architectural & Engineering Services,584071,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Departmental Equipment,234183,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Land Acquisition,570000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Other Building,5500000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Schools,9490000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Sewers & Drains,9509935,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Streets Sidewalks & Parking,40000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Other Outside General,334517,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Sewers,2075000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Water,1153000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Long-Term Indebtedness,29490706,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Outside the General Debt Limit,3562517,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2009,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Within the General Debt Limit,25928189,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Architectural & Engineering Services,277656,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Departmental Equipment,280020,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Land Acquisition,695000,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Other Building,5914988,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Schools,10020000,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Sewers & Drains,8249190,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Streets Sidewalks & Parking,55000,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Long-Term Indebtedness,28121418,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Outside the General Debt Limit,2629564,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2008,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Within the General Debt Limit,25491854,within+outside=long|sum(inside the debt limit)=within
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Architectural & Engineering Services,305771,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Departmental Equipment,376560,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Land Acquisition,800000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Other Building,6300114,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Schools,10550000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Sewers & Drains,7881677,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",inside the debt limit,Streets Sidewalks & Parking,75000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Other Outside General,493770,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",outside the debt limit,Sewers,2345000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Long-Term Indebtedness,29127892,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Outside the General Debt Limit,2838770,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2011,4117-fy-2011-annual-town-report.pdf,75,2007,"the As-of line and the layout; the header read [2011, 2010, 2002, 2008, 2007], one column misread",printed total,Total Within the General Debt Limit,26289122,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",inside the debt limit,Athletic & Recreational Facilities,370000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",inside the debt limit,Departmental Equipment,960000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",inside the debt limit,Land Acquisition,330000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",inside the debt limit,Other Building,4740000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",inside the debt limit,Schools,8440000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",inside the debt limit,Sewers & Drains,9058250,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",inside the debt limit,Streets Sidewalks & Parking,10000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",outside the debt limit,Other Outside General,256956,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",outside the debt limit,Sewers,1805000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",outside the debt limit,Water,1127786,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",printed total,Total Long-Term Indebtedness,27097992,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",printed total,Total Outside the General Debt Limit,3189742,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2011,"printed year header, which matches the descending five-year layout",printed total,Total Within the General Debt Limit,23908250,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",inside the debt limit,Athletic & Recreational Facilities,431000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",inside the debt limit,Departmental Equipment,1120000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",inside the debt limit,Land Acquisition,445000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",inside the debt limit,Other Building,5120000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",inside the debt limit,Schools,9034000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",inside the debt limit,Sewers & Drains,9578524,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",inside the debt limit,Streets Sidewalks & Parking,25000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",outside the debt limit,Other Outside General,292828,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",outside the debt limit,Sewers,1935000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",outside the debt limit,Water,1140663,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",printed total,Total Long-Term Indebtedness,29122015,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",printed total,Total Outside the General Debt Limit,3368491,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2010,"printed year header, which matches the descending five-year layout",printed total,Total Within the General Debt Limit,25753524,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",inside the debt limit,Architectural & Engineering Services,584071,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",inside the debt limit,Departmental Equipment,234183,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",inside the debt limit,Land Acquisition,570000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",inside the debt limit,Other Building,5500000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",inside the debt limit,Schools,9490000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",inside the debt limit,Sewers & Drains,9509935,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",inside the debt limit,Streets Sidewalks & Parking,40000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",outside the debt limit,Other Outside General,334517,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",outside the debt limit,Sewers,2075000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",outside the debt limit,Water,1153000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",printed total,Total Long-Term Indebtedness,29490706,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",printed total,Total Outside the General Debt Limit,3562517,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2009,"printed year header, which matches the descending five-year layout",printed total,Total Within the General Debt Limit,25928189,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",inside the debt limit,Architectural & Engineering Services,277656,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",inside the debt limit,Athletic & Recreational Facilities,0,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",inside the debt limit,Departmental Equipment,280020,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",inside the debt limit,Land Acquisition,695000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",inside the debt limit,Other Building,5914988,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",inside the debt limit,Schools,10020000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",inside the debt limit,Sewers & Drains,8249190,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",inside the debt limit,Streets Sidewalks & Parking,55000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",outside the debt limit,Other Outside General,419564,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",outside the debt limit,Sewers,2210000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",printed total,Total Long-Term Indebtedness,28121418,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",printed total,Total Outside the General Debt Limit,2629564,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2012,4118-fy-2012-annual-town-report.pdf,75,2008,"printed year header, which matches the descending five-year layout",printed total,Total Within the General Debt Limit,25491854,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",inside the debt limit,Athletic & Recreational Facilities,250000,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",inside the debt limit,Departmental Equipment,795500,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",inside the debt limit,Land Acquisition,257133,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",inside the debt limit,Other Building,5019203,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",inside the debt limit,Schools,7172729,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",inside the debt limit,Sewers & Drains,6330750,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",outside the debt limit,Other Outside General,195212,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",outside the debt limit,Sewers,3177822,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",outside the debt limit,Water,1100317,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",printed total,Total Long-Term Indebtedness,24298666,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",printed total,Total Outside the General Debt Limit,4473351,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
2013,4119-fy-2013-annual-town-report.pdf,80,2013,"printed year header, which matches the descending five-year layout",printed total,Total Within the General Debt Limit,19825315,within+outside=long|sum(inside the debt limit)=within|sum(outside the debt limit)=outside
