fy,lea_number,municipality,equalized_valuation,property_local_effort,income,income_local_effort,combined_effort_yield,town_foundation_enrollment,town_foundation_budget,target_local_contribution,municipal_revenue_growth_factor,preliminary_contribution,excess_effort,effort_reduction,shortfall,dollar_increment,acceleration,required_local_contribution,doc_id
2007,113,Great Barrington,854459500,2890588.0473002805,184152000,3002805.027967045,5893393,780,6275872,5177594,0.06709999999999999,6825121,1647527,329505.4,0,,,6495616,sources/state-dese/dese-ch70-key-factors.xlsx
2007,114,Greenfield,1015351700,3434877.2385654557,289168000,4715208.7641034275,8150086,2207,19441038.970000003,8150086,0.0704,10628297,2478211,495642.2,0,,,10132655,sources/state-dese/dese-ch70-key-factors.xlsx
2007,115,Groton,1334456900,4514392.039385583,379560000,6189151.768186996,10703544,2278,17440523,10703544,0.071,9160806,0,0,1542738,,,9160806,sources/state-dese/dese-ch70-key-factors.xlsx
2007,116,Groveland,767252100,2595570.3570807506,165023000,2690885.2150951694,5286456,1217,9168081,5286456,0.09820000000000001,4850451,0,0,436005,,,4850451,sources/state-dese/dese-ch70-key-factors.xlsx
2007,117,Hadley,659637600,2231516.6044848743,111871000,1824182.2042861402,4055699,621,4764269,3930522,0.0789,5573764,1643242,328648.4,0,,,5245116,sources/state-dese/dese-ch70-key-factors.xlsx
2007,118,Halifax,747034800,2527176.3773442223,172376000,2810784.132134581,5337961,1284,9911666.86,5337961,0.07769999999999999,5319721,0,0,18240,,,5319721,sources/state-dese/dese-ch70-key-factors.xlsx
2007,119,Hamilton,1291305100,4368411.946356607,327571000,5341412.7775760945,9709825,1389,10499391,8661998,0.0555,8710493,48495,9699,0,,,8700794,sources/state-dese/dese-ch70-key-factors.xlsx
2007,12,Ashby,277104800,937429.8287157376,66672000,1087161.7838775513,2024592,616,4828228.66,2024592,0.0794,2300565,275973,55194.600000000006,0,,,2245370,sources/state-dese/dese-ch70-key-factors.xlsx
2007,120,Hampden,433561400,1466713.6366448917,155278000,2531982.0535897887,3998696,986,7423993,3998696,0.058499999999999996,4963659,964963,192992.6,0,,,4770666,sources/state-dese/dese-ch70-key-factors.xlsx
2007,121,Hancock,200448400,678105.5733366713,5047000,82296.99908852293,760403,113,880073.22,726060,0.10439999999999999,745723,19663,3932.6000000000004,0,,,741790,sources/state-dese/dese-ch70-key-factors.xlsx
2007,122,Hanover,2091954600,7076963.8142648535,458821000,7481591.325301205,14558555,2739,20663458.84225,14558555,0.0495,15321210,762655,152531,0,,,15168679,sources/state-dese/dese-ch70-key-factors.xlsx
2007,123,Hanson,1101331200,3725741.012697354,244045000,3979427.608987236,7705169,1984,15440127.98,7705169,0.07400000000000001,4332491,0,0,3372678,,,4332491,sources/state-dese/dese-ch70-key-factors.xlsx
2007,124,Hardwick,174604100,590675.7716072241,38329000,624997.360424806,1215673,486,3848983.66,1215673,0.0812,1066003,0,0,149670,,,1066003,sources/state-dese/dese-ch70-key-factors.xlsx
2007,125,Harvard,1085365000,3671728.26325656,288688000,4707381.8254146045,8379110,1264,9486073.443920001,7826011,0.049400000000000006,8144157,318146,63629.200000000004,0,,,8080528,sources/state-dese/dese-ch70-key-factors.xlsx
2007,126,Harwich,4187777900,14167015.221304543,283294000,4619426.601898953,18786442,1603,12578163.16,10376985,0.0626,12841915,2464930,492986,0,,,12348929,sources/state-dese/dese-ch70-key-factors.xlsx
2007,127,Hatfield,376931900,1275139.248596551,80357000,1310311.0671203563,2585450,467,3642953.19,2585450,0.0359,3026579,441129,88225.8,0,,,2938353,sources/state-dese/dese-ch70-key-factors.xlsx
2007,128,Haverhill,5131267100,17358785.696414135,1210769000,19742947.35276636,37101733,8271,71023885.15,37101733,0.0706,37307704,205971,41194.200000000004,0,,,37266510,sources/state-dese/dese-ch70-key-factors.xlsx
2007,129,Hawley,29713700,100519.76256459943,3118000,50842.48923281445,151362,34,282159.98,151362,0.08199999999999999,213742,62380,12476,0,,,201266,sources/state-dese/dese-ch70-key-factors.xlsx
2007,13,Ashfield,152332600,515332.5497278393,30731000,501103.4434296411,1016436,247,2047923.94,1016436,0.060899999999999996,1365324,348888,69777.6,0,,,1295546,sources/state-dese/dese-ch70-key-factors.xlsx
2007,130,Heath,61819700,209132.5404044184,7485000,122051.32517883777,331184,122,1043868,331184,0.051699999999999996,551613,220429,44085.8,0,,,507527,sources/state-dese/dese-ch70-key-factors.xlsx
2007,131,Hingham,4273602000,14457353.28604641,1071289000,17468569.41877247,31925923,3632,27560964.81996,22737796,0.0443,23770641,1032845,206569,0,,,23564072,sources/state-dese/dese-ch70-key-factors.xlsx
2007,132,Hinsdale,161107000,545015.8474876882,42583000,694363.6045545022,1239379,295,2344379.94,1239379,0.0676,1341052,101673,20334.600000000002,0,,,1320717,sources/state-dese/dese-ch70-key-factors.xlsx
2007,133,Holbrook,1037843800,3510966.7377385385,228065000,3718855.775138495,7229823,1504,12725491.581619998,7229823,0.0636,7766956,537133,107426.6,0,,,7659529,sources/state-dese/dese-ch70-key-factors.xlsx
2007,134,Holden,1639556300,5546526.012825503,505854000,8248517.173950006,13795043,2963,22071768,13795043,0.0866,17395335,3600292,720058.4,0,,,16675277,sources/state-dese/dese-ch70-key-factors.xlsx
2007,135,Holland,255176300,863246.9563909238,48046000,783443.9505066719,1646691,463,3748093.09,1646691,0.08710000000000001,2092096,445405,89081,0,,,2003015,sources/state-dese/dese-ch70-key-factors.xlsx
2007,136,Holliston,1859961500,6292144.309167024,511929000,8347576.8667304255,14639721,2803,21569039.32736,14639721,0.052199999999999996,17205174,2565453,513090.60000000003,0,,,16692083,sources/state-dese/dese-ch70-key-factors.xlsx
2007,137,Holyoke,1688257400,5711279.073152383,500802000,8166138.644250141,13877418,7294,72388532.22999999,13877418,0.0701,7289305,0,0,6588113,,,7289305,sources/state-dese/dese-ch70-key-factors.xlsx
2007,138,Hopedale,643831400,2178045.1259733266,168975000,2755327.0102998144,4933372,1112,8569538.7375,4933372,0.0677,2765237,0,0,2168135,,,2765237,sources/state-dese/dese-ch70-key-factors.xlsx
2007,139,Hopkinton,2693118800,9110668.221536158,696396000,11355518.32321201,20466187,3335,26173696.04544,20466187,0.06709999999999999,20825819,359632,71926.40000000001,0,,,20753893,sources/state-dese/dese-ch70-key-factors.xlsx
2007,14,Ashland,2031905000,6873819.4218095485,511301000,8337336.621945882,15211156,2547,19889329.376520004,15211156,0.037000000000000005,16644356,1433200,286640,0,,,16357716,sources/state-dese/dese-ch70-key-factors.xlsx
2007,140,Hubbardston,358086700,1211387.0053726376,99108000,1616067.1657747834,2827454,904,7117469,2827454,0.0729,1935830,0,0,891624,,,1935830,sources/state-dese/dese-ch70-key-factors.xlsx
2007,141,Hudson,2148427000,7268006.741919541,491466000,8013904.686752529,15281911,2740,22731715.89144,15281911,0.0533,16669485,1387574,277514.8,0,,,16391970,sources/state-dese/dese-ch70-key-factors.xlsx
2007,142,Hull,1845182100,6242146.436843912,272246000,4439276.563077871,10681423,1381,11214367.35096,9251853,0.048499999999999995,9417426,165573,33114.6,0,,,9384311,sources/state-dese/dese-ch70-key-factors.xlsx
2007,143,Huntington,136833000,462898.2816344593,48020000,783019.9913276939,1245918,397,3256272.81,1245918,0.0713,1138540,0,0,107378,,,1138540,sources/state-dese/dese-ch70-key-factors.xlsx
2007,144,Ipswich,2219128000,7507184.21672341,444151000,7242380.511624045,14749565,1986,15447096.828520002,12743855,0.0562,13746986,1003131,200626.2,0,,,13546360,sources/state-dese/dese-ch70-key-factors.xlsx
2007,145,Kingston,1589416100,5376904.558784386,315641000,5146880.7389143,10523785,2048,15751077.0684,10523785,0.0601,9471245,0,0,1052540,,,9471245,sources/state-dese/dese-ch70-key-factors.xlsx
2007,146,Lakeville,1288036200,4357353.442977781,273278000,4456104.481258841,8813458,1869,14302606.98,8813458,0.0762,7988054,0,0,825404,,,7988054,sources/state-dese/dese-ch70-key-factors.xlsx
2007,147,Lancaster,709573300,2400446.2466195486,173635000,2831313.5400704737,5231760,1070,8322818,5231760,0.07730000000000001,5314370,82610,16522,0,,,5297848,sources/state-dese/dese-ch70-key-factors.xlsx
2007,148,Lanesborough,303722900,1027477.3519767507,57524000,937993.3773663946,1965471,476,3739875.16,1965471,0.0833,3366800,1401329,280265.8,0,,,3086534,sources/state-dese/dese-ch70-key-factors.xlsx
2007,149,Lawrence,2879962100,9742748.512876052,790070000,12882978.020580407,22625727,14642,148148048.28,22625727,0.0827,6916835,0,0,15708892,,,6916835,sources/state-dese/dese-ch70-key-factors.xlsx
2007,15,Athol,600103300,2030115.442716073,177590000,2895804.2536419234,4925920,2063,17154834,4925920,0.1067,521730,0,0,4404190,,,521730,sources/state-dese/dese-ch70-key-factors.xlsx
2007,150,Lee,716496000,2423865.3482563677,125423000,2045162.7732672503,4469028,769,6350292.319999999,4469028,0.0644,5350399,881371,176274.2,0,,,5174125,sources/state-dese/dese-ch70-key-factors.xlsx
2007,151,Leicester,744688700,2519239.6540498226,230261000,3754664.0196398613,6273904,1914,14951710.08,6273904,0.08539999999999999,6005588,0,0,268316,,,6005588,sources/state-dese/dese-ch70-key-factors.xlsx
2007,152,Lenox,949393300,3211743.710693098,147021000,2397342.4020197606,5609086,745,5557057.95,4584573,0.04650000000000001,6048560,1463987,292797.4,0,,,5755763,sources/state-dese/dese-ch70-key-factors.xlsx
2007,153,Leominster,3064606000,10367388.3587048,873497000,14243348.883064697,24610737,6071,52403637.23,24610737,0.0637,18470739,0,0,6139998,,,18470739,sources/state-dese/dese-ch70-key-factors.xlsx
2007,154,Leverett,182919200,618805.2835058062,44878000,731786.1551604384,1350591,252,2003053.6,1350591,0.0558,1957547,606956,121391.20000000001,0,,,1836156,sources/state-dese/dese-ch70-key-factors.xlsx
2007,155,Lexington,7407812900,25060211.075395413,1727147000,28163070.157468818,53223281,6160,48840910.1594,40293751,0.05,50958414,10664663,2132932.6,0,,,48825481,sources/state-dese/dese-ch70-key-factors.xlsx
2007,156,Leyden,67021100,226728.58172554325,15637000,254978.8339106862,481707,97,807279,481707,0.10300000000000001,634392,152685,30537,0,,,603855,sources/state-dese/dese-ch70-key-factors.xlsx
2007,157,Lincoln,1885730600,6379319.713559725,494641000,8065676.624954641,14444996,933,7308328.504869999,6029371,0.0388,7948572,1919201,383840.2,0,,,7564732,sources/state-dese/dese-ch70-key-factors.xlsx
2007,158,Littleton,1378398300,4663043.304450388,277139000,4519062.419337063,9182106,1605,12529003.6342,9182106,0.0432,11169033,1986927,397385.4,0,,,10771648,sources/state-dese/dese-ch70-key-factors.xlsx
2007,159,Longmeadow,1795522000,6074149.133884864,732569000,11945359.684026185,18019509,3152,23361827.510000005,18019509,0.04769999999999999,21805471,3785962,757192.4,0,,,21048279,sources/state-dese/dese-ch70-key-factors.xlsx
2007,16,Attleboro,3456878000,11694422.295937138,943883000,15391071.605047017,27085494,6217,52239923.86000001,27085494,0.0823,26455230,0,0,630264,,,26455230,sources/state-dese/dese-ch70-key-factors.xlsx
2007,160,Lowell,5834289000,19737068.928247046,1571955000,25632490.43039411,45369559,16376,160744294.98003998,45369559,0.052300000000000006,36030445,0,0,9339114,,,36030445,sources/state-dese/dese-ch70-key-factors.xlsx
2007,161,Ludlow,1394955900,4719056.726563407,409602000,6679020.293373722,11398077,3072,24089447.75,11398077,0.07490000000000001,14042452,2644375,528875,0,,,13513577,sources/state-dese/dese-ch70-key-factors.xlsx
2007,162,Lunenburg,1077373000,3644691.780340724,271110000,4420752.80818099,8065445,1706,13008230.15,8065445,0.0741,9710311,1644866,328973.2,0,,,9381338,sources/state-dese/dese-ch70-key-factors.xlsx
2007,163,Lynn,5892730000,19934771.51809744,1344977000,21931359.410161346,41866131,13815,135804283.82,41866131,0.0676,32352334,0,0,9513797,,,32352334,sources/state-dese/dese-ch70-key-factors.xlsx
2007,164,Lynnfield,2155386200,7291549.320987094,493362000,8044821.094573381,15336370,2111,15873144.292079998,13095344,0.0285,13698386,603042,120608.40000000001,0,,,13577778,sources/state-dese/dese-ch70-key-factors.xlsx
2007,165,Malden,4893239700,16553552.496514125,1061599000,17310563.09399185,33864116,6875,61300858.022889994,33864116,0.0843,24728823,0,0,9135293,,,24728823,sources/state-dese/dese-ch70-key-factors.xlsx
2007,166,Manchester,1900487800,6429242.484541404,348035000,5675101.26367626,12104344,717,5455058,4500423,0.0519,6111523,1611100,322220,0,,,5789303,sources/state-dese/dese-ch70-key-factors.xlsx
2007,167,Mansfield,2841377300,9612218.32193374,689453000,11242304.916302636,20854523,4854,37628719.08624,20854523,0.054299999999999994,24201315,3346792,669358.4,0,,,23531957,sources/state-dese/dese-ch70-key-factors.xlsx
2007,168,Marblehead,4841734800,16379314.33974087,1148466000,18727027.017079372,35106341,3197,23959999.6,19767000,0.056299999999999996,19993775,226775,45355,0,,,19948420,sources/state-dese/dese-ch70-key-factors.xlsx
2007,169,Marion,1382301400,4676247.270475012,182770000,2980269.966992141,7656517,827,6224699.17,5135377,0.050300000000000004,6046453,911076,182215.2,0,,,5864238,sources/state-dese/dese-ch70-key-factors.xlsx
2007,17,Auburn,1640670300,5550294.611670378,382402000,6235493.767673736,11785788,2375,18403728.98,11785788,0.0533,15984827,4199039,839807.8,0,,,15145019,sources/state-dese/dese-ch70-key-factors.xlsx
2007,170,Marlborough,4643243000,15707827.833280215,946506000,15433842.563756982,31141670,4954,43833240.753479995,31141670,0.0634,38562135,7420465,1484093,0,,,37078042,sources/state-dese/dese-ch70-key-factors.xlsx
2007,171,Marshfield,3790610200,12823419.40852027,751077000,12247153.394969396,25070573,4561,34872556.11184,25070573,0.051,21245140,0,0,3825433,,,21245140,sources/state-dese/dese-ch70-key-factors.xlsx
2007,172,Mashpee,3726675900,12607133.296197204,326356000,5321600.83902001,17928734,2055,16062651.46,13251687,0.0785,13377279,125592,25118.4,0,,,13352161,sources/state-dese/dese-ch70-key-factors.xlsx
2007,173,Mattapoisett,1277229500,4320794.989533517,182166000,2970421.069142039,7291216,939,7088818.92,5848276,0.0683,7100114,1251838,250367.6,0,,,6849746,sources/state-dese/dese-ch70-key-factors.xlsx
2007,174,Maynard,1200802800,4062247.7962322487,266697000,4348793.89061062,8411042,1401,11772499.07136,8411042,0.0426,9673827,1262785,252557,0,,,9421270,sources/state-dese/dese-ch70-key-factors.xlsx
2007,175,Medfield,2100827000,7106978.640468865,605501000,9873373.339627447,16980352,2971,22434316.6904,16980352,0.051399999999999994,17332423,352071,70414.2,0,,,17262009,sources/state-dese/dese-ch70-key-factors.xlsx
2007,176,Medford,6314747400,21362432.457197238,1237950000,20186164.062143248,41548597,5031,43002389.842659995,35476972,0.0446,34340915,0,0,1136057,,,34340915,sources/state-dese/dese-ch70-key-factors.xlsx
2007,177,Medway,1562357000,5285365.157524639,395537000,6449674.683668932,11735040,2829,21482552.14057,11735040,0.0393,14339023,2603983,520796.60000000003,0,,,13818226,sources/state-dese/dese-ch70-key-factors.xlsx
2007,178,Melrose,3242046500,10967659.51071023,793057000,12931684.407796064,23899344,3480,26796451.689749997,22107073,0.0381,21970129,0,0,136944,,,21970129,sources/state-dese/dese-ch70-key-factors.xlsx
2007,179,Mendon,763384400,2582486.1472492213,211488000,3448549.18629553,6031035,1218,9299140.37364,6031035,0.0747,3989661,0,0,2041374,,,3989661,sources/state-dese/dese-ch70-key-factors.xlsx
2007,18,Avon,685750900,2319856.417964116,114636000,1869268.632358216,4189125,629,5317756.2,4189125,0.0443,6067039,1877914,375582.80000000005,0,,,5691456,sources/state-dese/dese-ch70-key-factors.xlsx
2007,180,Merrimac,641456000,2170009.2824400086,151168000,2464963.89106674,4634973,1323,9940996,4634973,0.06280000000000001,4026947,0,0,608026,,,4026947,sources/state-dese/dese-ch70-key-factors.xlsx
2007,181,Methuen,4088755700,13832028.732492168,982185000,16015628.700170577,29847657,7739,64149360.07000001,29847657,0.0613,29072386,0,0,775271,,,29072386,sources/state-dese/dese-ch70-key-factors.xlsx
2007,182,Middleborough,1965218300,6648222.0963261295,463064000,7550778.2020859495,14199000,3848,30510785.540000003,14199000,0.0785,14476634,277634,55526.8,0,,,14421107,sources/state-dese/dese-ch70-key-factors.xlsx
2007,183,Middlefield,41676400,140988.89847266654,6549000,106788.7947356324,247778,86,690240,247778,0.1539,424343,176565,35313,0,,,389030,sources/state-dese/dese-ch70-key-factors.xlsx
2007,184,Middleton,1350234600,4567767.104012859,248112000,4045744.6082527447,8613512,1446,10997602.57664,8613512,0.09390000000000001,8170362,0,0,443150,,,8170362,sources/state-dese/dese-ch70-key-factors.xlsx
2007,185,Milford,2897353600,9801582.971413435,644952000,10516666.169237377,20318249,4171,34912781.671320006,20318249,0.061500000000000006,24463844,4145595,829119,0,,,23634725,sources/state-dese/dese-ch70-key-factors.xlsx
2007,186,Millbury,1105282700,3739108.7131780754,285409000,4653914.050496581,8393023,2064,16318061.32,8393023,0.0771,9801700,1408677,281735.4,0,,,9519965,sources/state-dese/dese-ch70-key-factors.xlsx
2007,187,Millis,957825200,3240268.35037003,227202000,3704783.5916208816,6945052,1299,10119156.544179998,6945052,0.060700000000000004,8145454,1200402,240080.40000000002,0,,,7905374,sources/state-dese/dese-ch70-key-factors.xlsx
2007,188,Millville,240555200,813784.6039934349,67160000,1095119.1715445216,1908904,635,5014715.66,1908904,0.0605,1393908,0,0,514996,,,1393908,sources/state-dese/dese-ch70-key-factors.xlsx
2007,189,Milton,4066814900,13757804.249964667,1082158000,17645800.66170751,31403605,3592,27803116.643200006,22937571,0.06509999999999999,26992867,4055296,811059.2000000001,0,,,26181808,sources/state-dese/dese-ch70-key-factors.xlsx
2007,19,Ayer,875497200,2961757.3937265174,151083000,2463577.8706739275,5425335,1050,8871545.03224,5425335,0.061500000000000006,6598029,1172694,234538.80000000002,0,,,6363490,sources/state-dese/dese-ch70-key-factors.xlsx
2007,190,Monroe,15112000,51123.039267281645,783000,12767.693736142948,63891,13,92255.83,63891,-0.0029,113268,49377,9875.400000000001,0,,,103393,sources/state-dese/dese-ch70-key-factors.xlsx
2007,191,Monson,559386600,1892373.1549358899,179323000,2924062.7635330292,4816436,1655,13156608.53,4816436,0.07980000000000001,5475227,658791,131758.2,0,,,5343469,sources/state-dese/dese-ch70-key-factors.xlsx
2007,192,Montague,556402100,1882276.7606337988,146567000,2389939.422509915,4272216,1110,9576128,4272216,0.08109999999999999,4879707,607491,121498.20000000001,0,,,4758209,sources/state-dese/dese-ch70-key-factors.xlsx
2007,193,Monterey,315683400,1067939.0454095406,19021000,310158.75166689017,1378098,81,633818,522900,0.0926,720069,197169,39433.8,0,,,680635,sources/state-dese/dese-ch70-key-factors.xlsx
2007,194,Montgomery,71999500,243570.22668903152,20464000,333688.4861001651,577259,103,831365.98,577259,0.058600000000000006,615174,37915,7583,0,,,607591,sources/state-dese/dese-ch70-key-factors.xlsx
2007,195,Mount Washington,59584700,201571.66211151378,3077000,50173.93821981079,251746,20,144190.37,118957,0.25239999999999996,111238,0,0,7719,,,111238,sources/state-dese/dese-ch70-key-factors.xlsx
2007,196,Nahant,672466800,2274917.0607691393,139017000,2266828.1993836323,4541745,398,2949334.92,2433201,0.041100000000000005,3063625,630424,126084.8,0,,,2937540,sources/state-dese/dese-ch70-key-factors.xlsx
2007,197,Nantucket,13575803900,45926174.951337695,365400000,5958257.07686671,51884432,1220,9230081.299999999,7614817,0.0681,14125970,6511153,1302230.6,0,,,12823739,sources/state-dese/dese-ch70-key-factors.xlsx
2007,198,Natick,5807362400,19645977.766975578,1120049000,18263655.940578766,37909634,4737,37366741.92904,30827562,0.0499,36633511,5805949,1161189.8,0,,,35472321,sources/state-dese/dese-ch70-key-factors.xlsx
2007,199,Needham,6285224900,21262559.513393085,1451984000,23676228.635734078,44938788,4793,37533482.95718001,30965123,0.046799999999999994,35230629,4265506,853101.2000000001,0,,,34377528,sources/state-dese/dese-ch70-key-factors.xlsx
2007,2,Acton,3398232500,11496027.894180298,850231000,13863970.642368525,25359999,4656,35527796.599199995,25359999,0.0512,29587223,4227224,845444.8,0,,,28741778,sources/state-dese/dese-ch70-key-factors.xlsx
2007,20,Barnstable,11747239700,39740245.92808826,1247844000,20347496.83586662,60087743,6198,49877695.67,41149099,0.0587,51360090,10210991,2042198.2000000002,0,,,49317892,sources/state-dese/dese-ch70-key-factors.xlsx
2007,200,New Ashford,24652800,83399.02477821869,3307000,53924.34634153861,137323,43,313210.37,137323,0.0305,170096,32773,6554.6,0,,,163541,sources/state-dese/dese-ch70-key-factors.xlsx
2007,201,New Bedford,4687147600,15856354.606031293,1234730000,20133658.34843906,35990013,15025,141535147.04,35990013,0.08839999999999999,19792429,0,0,16197584,,,19792429,sources/state-dese/dese-ch70-key-factors.xlsx
2007,202,New Braintree,88255900,298564.70627774496,25426000,414599.4647958756,713164,194,1527710,713164,0.0917,617092,0,0,96072,,,617092,sources/state-dese/dese-ch70-key-factors.xlsx
2007,203,Newbury,1147457200,3881782.6557123507,230963000,3766110.917472265,7647894,1084,8478118,6994447,0.0567,6328918,0,0,665529,,,6328918,sources/state-dese/dese-ch70-key-factors.xlsx
2007,204,Newburyport,2887446900,9768069.166946178,561464000,9155300.633294718,18923370,2291,17685500.83083,14590538,0.051,19714218,5123680,1024736,0,,,18689482,sources/state-dese/dese-ch70-key-factors.xlsx
2007,205,New Marlborough,375468100,1270187.296182612,23072000,376214.8529761049,1646402,179,1395910,1151626,0.028999999999999998,1463044,311418,62283.600000000006,0,,,1400760,sources/state-dese/dese-ch70-key-factors.xlsx
2007,206,New Salem,80456700,272180.45483165025,17196000,280400.0785270934,552581,156,1290429,552581,0.07200000000000001,680163,127582,25516.4,0,,,654647,sources/state-dese/dese-ch70-key-factors.xlsx
2007,207,Newton,19131654600,64721302.895968065,5293259000,86312528.45221238,151033831,11612,91783004.91332,75720979,0.0509,100436460,24715481,4943096.2,0,,,95493364,sources/state-dese/dese-ch70-key-factors.xlsx
2007,208,Norfolk,1276134200,4317089.651728497,349245000,5694831.671621001,10011921,1821,13724348.685899999,10011921,0.0654,8493917,0,0,1518004,,,8493917,sources/state-dese/dese-ch70-key-factors.xlsx
2007,209,North Adams,530503400,1794662.9267884078,177771000,2898755.6617725007,4693419,2031,17973335.440000005,4693419,0.08289999999999999,3543191,0,0,1150228,,,3543191,sources/state-dese/dese-ch70-key-factors.xlsx
2007,21,Barre,348024200,1177346.138338028,104386000,1702130.8791073025,2879477,1103,8597851.32,2879477,0.09939999999999999,2403963,0,0,475514,,,2403963,sources/state-dese/dese-ch70-key-factors.xlsx
2007,210,Northampton,2401455900,8123989.165851322,599648000,9777933.60599061,17901923,3073,25540636.42,17901923,0.0758,19282505,1380582,276116.4,0,,,19006389,sources/state-dese/dese-ch70-key-factors.xlsx
2007,211,North Andover,4010449200,13567122.28236092,1029261000,16783255.712076917,30350378,4550,33851282.21,27927308,0.051699999999999996,30687980,2760672,552134.4,0,,,30135846,sources/state-dese/dese-ch70-key-factors.xlsx
2007,212,North Attleborough,3088677900,10448822.231715525,719165000,11726792.421140796,22175615,4909,38101047.24999999,22175615,0.0683,16981159,0,0,5194456,,,16981159,sources/state-dese/dese-ch70-key-factors.xlsx
2007,213,Northborough,2049852800,6934535.811709054,496481000,8095679.889928464,15030216,2738,20510045.22,15030216,0.0603,17447309,2417093,483418.60000000003,0,,,16963890,sources/state-dese/dese-ch70-key-factors.xlsx
2007,214,Northbridge,1212173700,4100714.9062907672,327183000,5335086.002135962,9435801,2649,21131504.41,9435801,0.1103,7451116,0,0,1984685,,,7451116,sources/state-dese/dese-ch70-key-factors.xlsx
2007,215,North Brookfield,332760600,1125710.244865286,88577000,1444347.3921664546,2570058,863,6932521.51,2570058,0.0966,2434161,0,0,135897,,,2434161,sources/state-dese/dese-ch70-key-factors.xlsx
2007,216,Northfield,300407400,1016261.2034397818,65136000,1062115.5800733168,2078377,491,4019380,2078377,0.061200000000000004,2259570,181193,36238.6,0,,,2223331,sources/state-dese/dese-ch70-key-factors.xlsx
2007,217,North Reading,2334445800,7897297.796502165,493830000,8052452.359794984,15949750,2698,20600775.97724,15949750,0.0351,15587013,0,0,362737,,,15587013,sources/state-dese/dese-ch70-key-factors.xlsx
2007,218,Norton,1874212600,6340354.972540631,443176000,7226482.042412372,13566837,3300,25143662.29,13566837,0.075,12444513,0,0,1122324,,,12444513,sources/state-dese/dese-ch70-key-factors.xlsx
