dataset,fy,edition,pages,printed_heading,table,grain,printed_total,checkable,extractable,rows,notes
receipts,2018,FY2018,28,FY 2018 RECEIPTS - JUNE 2018,Receipts by revenue account for the year,one revenue account,"GRAND TOTAL $40,193,021.76; subtotals TAXES & EXCISES $28,161,819.15 / FEES $623,067.51 / LICENSES AND PERMITS $202,350.82 / STATE REVENUE $9,109,942.53 / SPECIAL ASSESSMENTS $79,666.57 / FINES & FORFEITS $29,716.68 / INVESTMENT INCOME $61,701.73 / TRANSFER FROM OTHER FUNDS $1,692,339.93 / NON RECURRING REVENUE $232,416.84",yes,not without geometry,100,"THE FONT IS BROKEN IN THE TEXT LAYER: every capital T is followed by a spurious space, so account names extract as 'T AXES & EXCISES', 'REAL EST AT E T AXES', 'CH 70 SCHOOL AID' is fine but 'ST AT E REVENUE' is not. Any regex matching account names must normalise this first. Otherwise the same three"
receipts,2019,FY2019,30,FY 2019 RECEIPTS - JUNE 2019,"FY 2019 receipts, by revenue source",one revenue line,"A 'GRAND TOTAL' row is printed at the foot of the SUMMARY OF RECEIPTS block, but its value falls in the clipped third column and is NOT recoverable from this text.",yes,messy,110,"IMPORTANT LIMITATION: the rendering is hard-clipped at 188 characters. The first two column pairs survive complete; the THIRD column's labels survive but every one of its AMOUNTS is cut off. Lost that way: NET METERING CREDITS, SCHOOL BASED MEDICARE REIMBURSEMENT, LOCK UP FEES, MISC OVER/SHORT, FEDE"
receipts,2020,FY2020,24,FY 2020 RECEIPTS - JUNE 2020,"FY 2020 receipts, by revenue source",one revenue line,not recoverable from this text; the page shows a row of separators ('======*==*===') where the grand total sits,yes,not without geometry,110,"MUCH WORSE than the same year's appropriations table -- the label runs and the amount runs are separate lines and the counts do not obviously match. Figures visible on the amount lines include $29,814,781.47 and $2,802,583.08 [OCR: '32802583.08'] alongside the TAXES & EXCISES label run, and $9,790,1"
receipts,2021,FY2021,25,FY 2021 RECEIPTS - JUNE 2021,"FY 2021 receipts, by revenue source",one revenue line,"A 'GRAND TOTAL' row is printed at the foot of the SUMMARY OF RECEIPTS block, but its value falls in the clipped third column and is NOT recoverable from this text.",yes,messy,110,"SAME LIMITATION AS FY2019: the rendering hard-clips at 188 characters and every AMOUNT in the third column is cut off, though the labels survive. Lost that way: NET METERING CREDITS, SCHOOL BASED MEDICARE, LOCK UP FEES, BID CHARGES, FEDERAL REVENUE, PREMIUM SALE OF BONDS, SALE OF TOWN EQUIPMENT, MIS"
receipts,2022,FY2022,26,FY 2022 RECEIPTS - JUNE 2022,FY 2022 receipts (summary of receipts),One named revenue line and its FY2022 amount.,"GRAND TOTAL $46,695,138.62. Category subtotals printed: TAXES & EXCISES $32,656,285.41; FEES $720,500.58; LICENSES AND PERMITS $457,294.75; STATE REVENUE $9,971,026.13; SPECIAL ASSESSMENTS $191,986.63; FINES & FORFEITS $13,897.02; INVESTMENT INCOME $24,440.01; TRANSFER FROM OTHER FUNDS $2,391,150.83; NON RECURRING REVENUE $268,557.26.",yes,clean,110,"The single most extractable financial table in either document. Key lines: REAL ESTATE TAXES $28,756,474.97; PERSONAL PROPERTY TAXES $959,919.85; MOTOR VEHICLE EXCISE $1,839,037.96; CH 70 SCHOOL AID $7,823,618.00; UNRESTRICTED GEN'L GOVT AID $1,162,230.00; MSBA REIMB-SCHOOL $474,239.00; CHARTER TUIT"
receipts,2023,FY2023,25,FY 2023 RECEIPTS - JUNE 2023,General fund receipts detail (revenue by source),one revenue source line,'GRAND TOTAL' appears in the SUMMARY OF RECEIPTS block on line 2; its value is not recoverable from this OCR,yes,not without geometry,90,"THIS IS THE PAGE EARLIER SEARCHES MISSED. It is not headed 'Revenue' — the words on the page are 'FY 2023 RECEIPTS - JUNE 2023' and 'SUMMARY OF RECEIPTS'. The page is rotated, so OCR collapsed it into 7 lines where all labels are in one run and all amounts in another; label-to-amount pairing is dest"
appropriations,2011,FY2011,60-65,PROGRAM NAME | APPROPRIATED FORWARD | TOTAL FUNDS AVAILABLE | TOTAL EXPENDED | TOTAL ENCUMBERED | BALANCE TO REVENUE,"General fund appropriations and expenditures by account, FY2011","one appropriation account (payroll and other-expenses lines are separate rows, with a subtotal row per department)","GRAND TOTAL $27,948,061.40 $27,948,061.40 $27,561,000.62 $207,450.46 $179,610.32",yes,messy,200,"PAGES 60-61 ARE STILL BROKEN in the way the correction was meant to fix: p60 is 31 lines of account names with almost no values, and p61 opens with 22 lines of bare values with no names. The two halves of the GENERAL GOVERNMENT block cannot be re-paired without the page geometry. From the second hal"
appropriations,2011,FY2011,84-85,Line No. | Account | VOTED FY 2012 / Maturing Debt & Interest / Total Maturing Debt / Unclassified / Total Gen Gov Unclassified / General Government / Total General Government / Central Purchasing / Total Central Purchasing / Protection / Subtotal Police / Subtotal Fire Dept. / Subtotal Other Protection / Total Protection / Health & Sanitation / Total Health & Sanitation / Department of Public Works / Total DPW / Total Assistance / Subtotal Veterans / Schools / Total Schools / Library / Total Library / Recreation / Total Recreation / TOTAL OMNIBUS BUDGET,FY 2012 Omnibus Budget as voted at Annual Town Meeting,one numbered budget line,"TOTAL OMNIBUS BUDGET $26,582,151.74",yes,messy,83,"The most useful single table in the report for budget work: it is the VOTED budget, at line-item grain, with the town's own line numbering. A handful of amounts are blank in the OCR (line 28 Assessor's Salaries, line 19 Charter Review Comm, 79A Unemploy. School-Stab Fund, 'Vehicle Mtc - School', 68A"
appropriations,2012,FY2012,60-65,GENERAL FUND APPROPRIATIONS / SUMMARY & CLASSIFICATION OF ACCOUNTS / FISCAL YEAR 2012 / PROGRAM NAME | APPROPRIATED FORWARD | TOTAL FUNDS AVAILABLE | TOTAL EXPENDED | TOTAL ENCUMBERED | BALANCE TO REVENUE / GENERAL GOVERNMENT / PUBLIC SAFETY / HEALTH AND SANITATION / PUBLIC ASSISTANCE / SCHOOLS / LIBRARY / CULTURE & RECREATION / UNCLASSIFIED / DEBT AND INTEREST / STATE & COUNTY ASSESSMENTS / TRANSFERS TO OTHER FUNDS,"General fund appropriations: summary and classification of accounts, FY2012","one appropriation account, with a subtotal row per department","GRAND TOTAL 1032000 $28,395,610.46 $28,063,432.58 $160,872.50 $171,305.38",yes,messy,200,Better than FY2011's equivalent — labels and values are on the same line for most rows and the table's real heading survives. But the APPROPRIATED FORWARD and TOTAL FUNDS AVAILABLE columns are largely EMPTY on pp60-64 (the header on p60 names TOTAL FUNDS AVAILABLE but almost no values appear under i
appropriations,2012,FY2012,81-82,FY 2013 Omnibus Budget / Line No. | Account | VOTED FY 2013 / Maturing Debt & Interest / Total Maturing Debt / Unclassified / Total Gen Gov Unclassified / General Government / Total General Government / Central Purchasing / Total Central Purchasing / Subtotal Police / Subtotal Fire Dept. / Subtotal Other Protection / Total Protection / Health & Sanitation / Total Health & Sanitation / Department of Public Works / Public Assistance / Subtotal C.O.A. / Subtotal Veterans / Total Assistance / Schools / Total Schools / Library / Total Library / Recreation / Total Recreation / Total Omnibus,FY 2013 Omnibus Budget as voted at Annual Town Meeting,one numbered budget line,"Total Omnibus $ 27,489,441.00",yes,messy,83,"p81 is clean; p82's rotation puts the value before the label but each line is internally complete, so it is transcribable with care. The article text above the table gives the funding mechanics, which the table itself does not: $26,562,011 raised and appropriated plus $10,872 from Septic Receipts Re"
appropriations,2012,FY2012,83,ARTICLE 9,"Proposition 2½ override contingent appropriation, line by line (Article 9)",one budget line increase,"for a total appropriation of $2,200,000",yes,messy,12,"NEW and it is the counterfactual budget. Recoverable increases: Treasurer's Administration $7,549, Tax Collector's Administration $4,650, Planning Board $9,647, Conservation Commission $8,500, Police Department $31,554, Fire Department $5,463, Building Inspector $11,290, General Health Expense $8,50"
appropriations,2013,FY2013,65-70,,"General fund appropriations and expenditures, line by line, FY2013","one appropriation account, with a subtotal row per department","GRAND TOTAL $29,616,931.60 $211,530.04 $34,076.11 (three of the five total columns; the first two are missing)",yes,messy,200,"THE TABLE HEADING AND THE COLUMN HEADER ROW ARE ENTIRELY ABSENT — the string 'PROGRAM NAME' does not occur anywhere in the FY2013 file, where it appears four times in FY2012. p65 starts mid-table at 'Selectmen's Salaries'. Pages 65-69 are otherwise well aligned, with label and values on the same lin"
appropriations,2013,FY2013,86-88,The Fiscal Year 2014 Budget was voted as follows: / Maturing Debt & Interest / Total Maturing Debt / Unclassified / Total Gen Gov Unclassified / General Government / Total General Government / Central Purchasing / Total Central Purchasing / Protection / Subtotal Police / Subtotal Fire Dept. / Subtotal Other Protection / Total Protection / Health & Sanitation / Total DPW / Public Assistance / Subtotal C.O.A. / Schools / Total Schools / Library / Total Library / Recreation / Total Recreation / TOTAL OMNIBUS BUDGET,FY 2014 Omnibus Budget as voted at Annual Town Meeting,one numbered budget line,"TOTAL OMNIBUS BUDGET $ 28,177,263.00",yes,clean,83,"THE CLEANEST OF THE THREE YEARS' OMNIBUS BUDGETS — both pages read the right way up, where FY2012's second page is upside down. The header row ('Line No. / Account / VOTED') did not survive but the line numbers 1-83 are present and match the FY2012 numbering exactly, so the two budgets align line fo"
appropriations,2014,FY2014,24-28,TOWN OF LUNENBURG / GENERAL FUND APPROPRIATIONS / SUMMARY & CLASSIFICATION OF ACCOUNTS / FISCAL YEAR 2014,"General fund appropriations and expenditures, line by line","one budget line (payroll / other expenses within a department), with a subtotal row per department","GRAND TOTAL $31,356,354.04 appropriated / $31,356,354.04 available / $30,955,803.56 expended / $233,181.84 encumbered / $167,368.64 balance to revenue. Footer: 'fwd - forward from FY 2013 $211,530.04' - which ties exactly to the FY2013 report's carried-forward figure.",yes,messy,210,"Directly extractable except for column assignment: subtotal lines carry no label, and lines with blank cells collapse. Carry-forward amounts are printed on their own line ABOVE the department they belong to and marked 'fwd' or 'srt' ('$18,724.78 fwd' above Technology Director; '$4,689.00 srt' above "
appropriations,2014,FY2014,139-141,FY 2015 Omnibus Budget,FY2015 Omnibus Budget as voted,one numbered budget line,"TOTAL OMNIBUS $29,079,384.00",yes,clean,90,"IMPORTANT: like FY2013's report, this prints a FORWARD budget - FY2015 - inside the FY2014 report, so this document contains three different fiscal years of figures (FY2014 actuals, FY2015 voted, and FY2013 comparatives in the assessor tables). Line numbers run 1-82 with letter suffixes (3A, 3B, 13A"
appropriations,2015,FY2015,24-28,TOWN OF LUNENBURG / GENERAL FUND APPROPRIATIONS / SUMMARY & CLASSIFICATION OF ACCOUNTS / FISCAL YEAR 2015,General fund appropriations and expenditures by program,"one budget line (payroll / other expenses / etc.) within a department, with a bold subtotal row per department","GRAND TOTAL $32,216,220.58 $32,216,220.58 $31,867,964.61 $265,386.55 $82,869.42, with a following line 'fwd - forward from FY 2014 $233,181.84'",yes,messy,300,"Columns are sparse -- most rows carry only 3 of the 6 numeric columns, so position, not order, determines which column a figure belongs to. Grouped under GENERAL GOVERNMENT, CENTRAL PURCHASING, PROTECTION, HEALTH AND SANITATION, DEPARTMENT OF PUBLIC WORKS, SOLID WASTE/RECYCLING PROGRAM, FACILITIES &"
appropriations,2015,FY2015,140-141,FY 2016 Omnibus Budget,FY2016 omnibus budget as voted,one numbered budget line,"TOTAL OMNIBUS $ 32,025,895.00",yes,not without geometry,82,"Line numbers run 1-82 and are the town's stable budget-line identifiers, referenced by later town meeting votes (the Nov 2015 STM on p180 amends 'Line 13, Reserve Fund', 'Line 75, Veterans' Benefits', 'Line 80, Monty Tech Assessment'). Section subtotals are printed: Total Maturing Debt $4,557,920.00"
appropriations,2016,FY2016,25-30,TOWN OF LUNENBURG / GENERAL FUND APPROPRIATIONS / SUMMARY & CLASSIFICATION OF ACCOUNTS / FISCAL YEAR 2016,General fund appropriations and expenditures by program,"one budget line within a department, with an unlabelled department subtotal row","GRAND TOTAL $35,284,130.91 $35,284,130.91 $34,356,551.58 $637,981.43 $289,597.90, with 'fwd - forward from FY 2015 $265,386.55' beneath",yes,messy,320,"Directly comparable to FY2015 pp24-28 -- same headings, same structure, one page longer. The FY2015 carry-forward figure printed here ($265,386.55) exactly matches the TOTAL ENCUMBERED figure in the FY2015 report's own grand total, so the two years reconcile. Notable movements: Choice Tuitions $517,"
appropriations,2016,FY2016,144-149,LINE# ACCOUNT FY 17 (inside 'ARTICLE 15'),FY2017 omnibus budget as voted (inside Article 15),one numbered budget line,"Total Omnibus $ 33,802,328.00",yes,clean,88,"MUCH MORE EXTRACTABLE THAN THE FY2015 REPORT'S VERSION of the same kind of table -- single column, one line per row, line numbers intact. Article 15's vote records exactly how the total was funded: raise and appropriate $32,784,764.24, plus transfers of $10,868.00 from Septic Receipts Reserved, $912"
appropriations,2016,FY2016,174-176,FY 16 OMNIBUS BUDGET,FY2016 omnibus budget,one numbered budget line,"Total Omnibus $ 32,025,895.00",yes,clean,88,"THIS IS THE SAME TABLE THE FY2015 REPORT PRINTED ON ITS PAGES 140-141, and the grand total agrees exactly ($32,025,895.00) -- but this version is a clean single-column list where the FY2015 version was a two-up landscape sheet the OCR interleaved beyond use. IF YOU NEED THE FY2016 OMNIBUS BUDGET IN "
appropriations,2017,FY2017,24-28,TOWN OF LUNENBURG / GENERAL FUND APPROPRIATIONS / SUMMARY & CLASSIFICATION OF ACCOUNTS / FISCAL YEAR 2017,"General fund appropriations and expenditures, line by line","one budget line (payroll / other expenses / etc.) within a department, with a department subtotal row after each group","GRAND TOTAL $37,626,445.44 $37,626,445.44 $36,739,086.52 $675,368.25 $211,990.67; plus a legend block 'fwd - forward from FY 2016 $637,981.43 / srt - Salary Reserve Transfer $38,689.26 / rft - Reserve Fund Transfer $29,993.00'",yes,messy,200,"The three-letter suffixes fwd/srt/rft are load-bearing: they say a figure is a carry-forward, a salary reserve transfer or a reserve fund transfer rather than an appropriation, and they sit on their own line above the department. Subtotal rows have no label at all -- they are identified only by bein"
appropriations,2017,FY2017,168-169 (a two-column reprint of the same table also appears at 156-158 inside the Article 8 text),FY'18 OMNIBUS BUDGET:,FY2018 omnibus budget by line number,one numbered budget line,"Total Omnibus $ 35,690,393.70",yes,clean,90,"USE THE p168-169 VERSION, not the p156-158 one -- they are the same table and the p168 rendering is clean while the p156-158 rendering interleaves two columns. The line NUMBERS are what town meeting votes refer to when amending the budget mid-year (see Article 6 on p154 and the November STM on p170)"
appropriations,2018,FY2018,30-34,TOWN OF LUNENBURG / GENERAL FUND APPROPRIATIONS / SUMMARY & CLASSIFICATION OF ACCOUNTS / FISCAL YEAR 2018,"General fund appropriations and expenditures, line by line","one budget line within a department, with an unlabelled department subtotal row after each group","GRAND TOTAL $40,112,337.95 $40,112,337.95 $38,877,536.42 $527,104.02 $707,697.61, with a legend 'fwd - forward from FY 2017 / srt - Salary Reserve Transfer / Ift - Reserve Fund Transfer $0.00'",yes,messy,190,"SUBSTANTIALLY WORSE THAN THE FY2017 VERSION. FY2017's copy of this table was a clean text layer; FY2018's is OCR and it has DROPPED WHOLE VALUES, not just mangled digits. Rows with values missing entirely: the whole Treasurer's Administration block (Treasurer's Salary reads '-+', Clerical Salaries a"
appropriations,2018,FY2018,155-158,FY 2019 Omnibus Budget,FY2019 omnibus budget by line number,one numbered budget line,"Total Omnibus | $ | 36,804,408.83",yes,clean,90,"THE TOTAL DOES NOT MATCH THE VOTE. The table foots to $36,804,408.83 while the Article 7 vote three pages earlier says the FY2019 budget is $36,867,903.83 -- a gap of exactly $63,495, which is the amendment amount the article itself records ('VOTED with amendment to raise and appropriate an addition"
appropriations,2019,FY2019,32-36,(the title band did not OCR on any of the five pages; the contents page calls it 'General Fund Appropriations Summary & Classification of Accounts'),"General fund appropriations summary and classification of accounts, FY2019",one appropriation sub-line (e.g. 'Payroll-Enforcement') or a department subtotal row,"GRAND TOTAL $41,178,985.82 | $41,178,985,82 [sic] | $40,057,293.56 | $283,034.02 | $838,658.24 (PDF p36 line 41). Below it the page prints its own reconciliation legend: 'fwd - forward from FY 2018 $527,104.02 / srt - Salary Reserve Transfer $16,605.80 / rft - Reserve Fund Transfer $0.00'.",yes,clean,240,"THE BIGGEST RECOVERY IN THIS DOCUMENT. Previously label and number were on different lines and could not be paired; the table now reads row by row. Named departmental subtotals that can be checked against the model: Police Department $1,700,046.10 appropriated / $1,630,548.31 spent; Fire Department "
appropriations,2019,FY2019,161-164,(line-numbered budget inside Annual Town Meeting Article 7; the FY2021 report titles its equivalent 'FY 2022 Omnibus Budget'),FY 2020 omnibus budget as voted,one numbered budget line,"Total Omnibus $38,058,164.30 (PDF p164). The article text on p160 gives the funding: 'raise and appropriate $37,008,042.51, transfer $888,706.40 from the Sewer Enterprise Fund, transfer $59,959.00 from the Reserve for MSBA Debt, transfer $1,118.89 from the Reserve for Future Debt-Premium, transfer $43,500.00 from the Artificial Turf Revolving Fund, and transfer $56,837.50 from Water Betterment Revenue'.",yes,messy,90,"Now reads line by line. Group subtotals: Total Maturing Debt $4,676,483.11; Total Gen Gov Unclassified $3,224,861.32; Total General Government $1,541,022.27; Total Protection $3,462,434.21; Total Health & Sanitation $77,316.94; Total DPW $1,825,327.81; Total Solid Waste/Recycling $218,450.00; Total "
appropriations,2020,FY2020,26-30,TOWN OF LUNENBURG / GENERAL FUND APPROPRIATIONS / SUMMARY & CLASSIFICATION OF ACCOUNTS / FISCAL YEAR 2020,"General fund appropriations summary and classification of accounts, FY2020","one appropriation line (payroll or other-expenses sub-line, or a department subtotal)","GRAND TOTAL: $43,104,912.84 appropriated, $43,104,912.84 available, $41,024,362.4[x] expended, $838,486.09 encumbered, $1,242,064.32 balance to revenue",yes,messy,300,"THE SINGLE MOST VALUABLE TABLE IN EITHER DOCUMENT, and it extracted with columns aligned -- a stark contrast with FY2019, where the equivalent table is unusable. Caveats: some cells are OCR-corrupted, especially on page 30 ('577,163.0' for $77,163.00, '- 2000', '5202600', '3047000', '830,3000', '51."
appropriations,2020,FY2020,151-155,FY 2021 Omnibus Budget,FY 2021 omnibus budget as voted,one budget line (with its town line number),"Total Omnibus Budget $38,658,115.02. Group subtotals: Total Maturing Debt $4,699,521.44; Total Gen Gov Unclassified $3,246,916.39; Total Protection $3,535,203.12; Total Health & Sanitation $79,055.93; Total DPW $1,782,187.86; Total Facilities & Buildings $720,578.71; Total Solid Waste/Recycling $218,634.00; Total Assistance $265,587.84; Total Schools $22,029,972.00; Total Library $433,197.08",yes,clean,85,"CLEAN and it carries the town's own line numbering, which recovers what the FY2019 report's equivalent table lost. Schools detail: School Department $21,123,602.00, Unemploy.School-Stab Fund blank, Curriculum Update $17,686.00, Monty Tech Assessment $888,684.00, Vehicle Mtc - School blank. The votin"
appropriations,2021,FY2021,27-31,(the title band did not OCR; the contents page calls it 'General Fund Appropriations Summary & Classification of Accounts'),"General fund appropriations summary and classification of accounts, FY2021",one appropriation sub-line or department subtotal row,"GRAND TOTAL $44,155,534.50 | $44,155,534.50 | $42,460,920.04 | $316,972.56 | $1,377,641.90 (PDF p31 line 42), followed by the reconciliation legend 'fwd - forward from FY 2020 $838,486.09 / srt - Salary Reserve Transfer $1,297.60 / rft - Reserve Fund Transfer $0.00'.",yes,clean,240,"THE BIGGEST RECOVERY IN THIS DOCUMENT, and cleaner than the FY2019 equivalent -- both the appropriated and available columns of the GRAND TOTAL agree, which they did not in FY2019. Named subtotals: Police Department $1,852,964.66 appropriated / $1,789,174.00 spent; Fire Department $1,183,905.95 / $1"
appropriations,2021,FY2021,140-143,FY 2022 Omnibus Budget,FY 2022 Omnibus Budget as voted,one numbered budget line,"Total Omnibus $39,864,898.81 (PDF p143)",yes,messy,90,"Now reads line by line, with a printed heading FY2019's equivalent lacks. Total Maturing Debt $4,562,593.60; Total Gen Govt Unclassified $3,235,445.95; Total Schools $22,566,826.05; Total Library $439,540.70; Monty Tech Assessment $897,448.00. Group Health Insurance $2,392,473.31. As in FY2019 sever"
appropriations,2022,FY2022,28-32,TOWN OF LUNENBURG / GENERAL FUND APPROPRIATIONS / SUMMARY & CLASSIFICATION OF ACCOUNTS / FISCAL YEAR 2022,"General fund appropriations - summary and classification of accounts, FY2022","One budget line (payroll line, expense line, or a departmental subtotal).","GRAND TOTAL (page 32): APPROPRIATED $45,416,024.49 / TOTAL AVAILABLE $45,416,024.49 / EXPENDED $44,297,537.94 / ENCUMBERED $364,285.44 / BALANCE TO REVENUE $754,201.11. Footnote figures printed below: 'fwd - forward from FY 2021 $316,972.56', 'srt - Salary Reserve Transfer $11,453.48', 'rft - Reserve Fund Transfer $0.00'.",yes,messy,260,"Extractable with care. Column-header text is broken across two lines and slightly garbled ('OTAL FUND / VAILABL'). Individual amounts occasionally read '50.00' for '$0.00' or '5308,664.31' for '$308,664.31' - an OCR S/5-for-$ substitution that must be corrected. Assessment lines visible at the end: "
appropriations,2022,FY2022,146-149,FY 2023 Omnibus Budget,"FY 2023 Omnibus Budget (as voted, Annual Town Meeting 7 May 2022)","One numbered budget line, with subtotal and total rows interspersed.","Total Omnibus $41,568,744.92. Subtotals printed: Total Maturing Debt $4,497,723.35; Total Gen Govt. Unclassified $3,378,711.07; Subtotal C.O.A. $183,629.08; Subtotal Veterans $110,775.00; Total Assistance $294,404.08; Total Schools $23,397,371.00 (School Department $22,325,309.00, Curriculum Update $17,686.00, Monty Tech Assessment $1,054,376.00); Total Library $492,983.92.",yes,clean,85,"The cleanest voted-budget table in either document, and the direct successor to the FY2022 Omnibus in the FY2021 report (total $39,864,898.81) - so the two reports together give a two-year voted-budget series, line number by line number. The line numbering scheme (1, 2, 3, 3A, 3B, 4...79, 79A, 79B, "
