fy,meeting,meeting_date,article,subject,result,amount_as_printed,fincom,select_board,quote,page,source_doc,extracted_by,extracted_at
2022,annual,2022-05-07,17,Appropriate cemetery lot sale proceeds for cemetery upkeep,passed,"$10,000",Approval,Approval,"VOTED UNANIMOUS CONSENT to appropriate the sum of $10,000 from the Sale of Cemetery Lots account to be used for the care and improvement and embellishment of the Town Cemeteries.",151,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,18,Fund cleanup of solid waste materials at the Woodruff Property,passed,"$100,000",Approval,Approval,"VOTED (Yes-164, No-7) to transfer $100,000 from Free Cash to remove and dispose of solid waste materials and restore the work area to prior natural conditions at the property known as the Woodruff Property, known as and numbered 104 Fairview Road, as shown on Assessor's Map 080, Lot 021,",151,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,19,Fund demolition of the old Primary School building at 30 School Street,amended_and_passed,"$250,000",Approval,No Recommendation,"VOTED (Yes 145; No 18) with amendment to appropriate from Free Cash $250,000 for the demolition of the building at the property known as the old Primary School, 30 School Street, shown on Assessor's Map 071, Lot 076.",151,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,20,Add and reclassify positions in the Salary Administration Plan,passed,,Approval,Approval,"VOTED UNANIMOUS CONSENT to amend Chapter 70 of the Town's General Bylaws, entitled ""Salary Administration Plan,"" Schedule A, as follows: the position of Council on Aging Assistant Meal Site Manager to be added and assigned to Grade 3;",151,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,21,Adopt the FY2023 salary schedule and fund resulting wage increases,passed,"$33,018.89",Approval,Approval,"VOTED (Yes-142, N0-4) to replace the current Salary Schedule in Chapter 70, Section 70-8.A, the Salary Administration Plan of the General Bylaws, with a FY 2023 Salary Schedule as recommended by the Personnel Committee as printed in the Annual Town Meeting Warrant Booklet,",151,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,22,Amend the Salary Administration Plan bylaw,amended_and_passed,,Approval,No Recommendation,"VOTED (Yes-155, No-78) (with amendment to 70 -19, section C – italicized) to amend the General Bylaws, Chapter 70, entitled ""Salary Administration Plan"" as depicted in the handout entitled ""5/7/22 ATM Article 22: Salary Administration Plan Bylaw Amendments"",",151,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,24,Amend various sections of the General Bylaws,passed,,NDFI,Approval,"ARTICLE 24 VOTED (Yes-171, No-4).",165,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,annual,2022-05-07,25,Amend the Sewer Bylaw's sewer service area and waiver provisions,amended_and_passed,,No Direct Financial Impact,Approval,"VOTED  (Yes -147, No -33)  2/3rds Declared.( with Amendments to Section 10 “Waivers”) to amend the Lunenburg Sewer Bylaw as follows:",165,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,1,Amend the FY2023 budget with additional departmental line-item appropriations,passed,"$73,000.00",Approval,Approval,"VOTED (Yes-136, No-5) (94 needed for 2/3rds Majority) to raise and appropriate the sum of $73,000 as follows: to line #22/Town Manager Expense, the sum of $10,000.00; to line#28/Assessors Administration, the sum of $45,000.00; to line #35/Planning Board, the sum of $5,000.00;",169,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,2,Appropriate funds to pay prior year bills,passed,"$1,804.54",Approval,Approval,"VOTED UNANIMOUS CONSENT to raise and appropriate $1,804.54 for payment of prior year expenses.",169,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,3,Fund the first year of the Police Officers union contract,passed,"$16,000.00",Approval,Approval,"VOTED (Yes-127, No-11) to transfer from Article 8 of the May 7, 2022 Annual Town Meeting, line #13A/Salary Reserve, the sum of $16,000.00 to fund the first year of the FY23-FY25 Lunenburg Police Officers Collective Bargaining Agreement dated July 1, 2022 – June 30, 2025",169,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,4,Fund engineering and design work for Marshall Park,passed,"$184,000",Approval,Approval,"VOTED (Yes-124, No-24) to raise and appropriate the sum of $184,000 for the property known as the Marshall Park, 100 Chestnut Street, shown on Assessor's Map 060, Lot 018,",169,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,5,Transfer funds to the Special Purpose Stabilization Fund,passed_over,,deferred,deferred,Article 5 was PASSED OVER,170,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,6,Transfer funds to the Sewer Reserve Capacity Stabilization Fund,passed,"$1,645.60",Approval,Approval,"VOTED UNANIMOUS CONSENT to see if the Town will vote to transfer from available funds $1,645.60 into the Sewer Reserve Capacity Stabilization Fund.",170,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,7,Transfer funds to the Sewer Inflow/Infiltration Stabilization Fund,passed,"$9,900.00",Approval,Approval,"VOTED UNANIMOUS CONSENT to see if the Town will vote to transfer from available funds $9,900.00 into the Sewer Inflow/Infiltration Stabilization Fund.",170,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,8,Accept a state retirement-credit provision for reserve and call police/fire personnel,passed,,Approval,Disapproval,"VOTED (Yes-119, No-7) to accept the provision contained within M.G.L. c. 32 § 4(2)(b) written as such:",170,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,9,Add positions to the Salary Administration Plan,passed,,Approval,Approval,"VOTED UNANIMOUS CONSENT to see if the Town will vote to amend the Code of Lunenburg, Chapter 70, Section 70 -8.A, entitled ""Salary Administration Plan”, Schedule A, as follows: the position of Administrative Assistant - IT to be added and assigned to Grade 8;",171,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,10,Add a bylaw limiting Town Meeting's ability to amend capital appropriation articles,failed,,Approval,did not Recommend (3-1-0),Article 10 was DEFEATED.,171,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,11,Amend the Protective Bylaw use table for motels in the Commercial District,passed,,NDFI,Approval,"VOTED (Yes-91, No-24) (77 needed for 2/3rds majority) to amend the Code of Lunenburg, Section 250 -4.1G, which is a Section of the Protective Bylaw entitled “Use Table,” by changing 4.1K(10) Motel in the Commercial District from “Y” to “SP-Z”.",171,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,12,Override the Architectural Preservation District Commission's denial for the Ritter Memorial Building,failed,,No Direct Financial Impact,Deferred (3-0-1),Article 12 was DEFEATED.,171,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,14,Rezone a portion of 199 Massachusetts Avenue to Commercial District,passed,,No Direct Financial Impact,Approval,"VOTED (Yes-95, No -10) (70 Needed for 2/3rds Majority) to amend the Zoning Map by rezoning a portion of the land located at 199 Massachusetts Avenue from Residence A to Commercial District so the entire lot is in the Commercial District,",173,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2022,special,2022-11-15,15,Move the Annual Town Meeting and Town Election dates to April,failed,,Not Recommended,Not Recommended,Article 15 was DEFEATED.,173,sources/town-annual-reports/text/4129-fy-2022-annual-town-report.txt,sonnet,2026-09-19T14:58:38Z
2023,annual,2023-05-06,1,Accept the annual reports of Town officers and committees,passed_over,,No recommendation,Approval,VOTED UNANIMOUS CONSENT (to Pass Over having already accepted the regular written reports of the Town Officers and Committees).,162,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,2,Reauthorize revolving funds for various town departments,passed,,Approval,Approval,"VOTED UNANIMOUS CONSENT to re-authorize the revolving funds for certain town departments, boards, committees, agencies or officers for the spending limits as follows:",162,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,3,Transfer funds for payment of prior year expenses,passed,"$4,000",No recommendation,No recommendation,"VOTED (99 YES, 4 NO) to transfer the sum of $4,000 from Free Cash for payment of prior year expenses.",163,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,4,Amend the FY2023 budget via multiple line-item transfers,passed,,Approval,Approval,"VOTED (100 YES, 6 NO) to transfer from line #5/Workers Compensation the sum of $25,377.77; transfer from #29/Technology Department the sum of $14,229.73; transfer from line #13/Reserve Fund the sum of $75,000; transfer from line #40/Police Lockup the sum of $33,184.96;",163,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,5,Transfer funds to the Overlay Account for FY2023 abatements,passed,"$1,500,000",Approval,Approval,"VOTED (98 YES, 12NO) to transfer from Free Cash the sum of $1,500,000 to the Overlay Account for all anticipated costs associated with FY 2023 abatements.",163,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,6,Fund the FY2024 Capital Plan,passed,"$1,039,010",Approval,Approval,"VOTED (103YES, 6 NO) to raise and appropriate the sum of $556,789.09; transfer from Free Cash the sum of $467,268.98; transfer from Article 14 of the 5/2/15 Annual Town Meeting the sum of $8,800.26;",163,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,8,Fund first year of firefighters' collective bargaining agreement,passed,"$26,022.69",Approval,Approval,"VOTED (98 YES, 3 NO) to transfer from Article 7 of the 5/6/23 Annual Town Meeting, line #13A/Salary Reserve the sum of $26,022.69 to fund the first year of the FY24 -FY26 Collective Bargaining Agreement dated July 1, 2023",168,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,9,Adopt FY2024 Salary Administration Plan schedule and fund wage increases,passed,"$38,095.13",Approval,Approval,"VOTED (86 YES, 7 NO) to replace the current Salary Schedule in Chapter 70, Section 70-8.A, the Salary Administration Plan of the General Bylaws, with a  FY 2024 Salary Schedule as recommended by the Personnel Committee as printed in the Annual Town Meeting Warrant Booklet,",168,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,10,Transfer funds to the Stabilization Fund,passed,"$100,000",Approval,Approval,"VOTED UNANIMOUS CONSENT to transfer from Free Cash the sum of $100,000 to the Stabilization Fund.",168,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,11,Transfer funds to the Special Purpose Stabilization Fund,passed,"$250,000",Approval,Approval,"VOTED (63 YES, 26 NO) to transfer from Free Cash the sum of $250,000 to the Special Purpose Stabilization fund.",168,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,12,Transfer funds into the OPEB Trust Fund,passed,,Approval,Approval,"VOTED (69 YES, 19 NO) to transfer from Free Cash the sum of $282,855, and transfer from Sewer Enterprise Retained Earnings the sum of $1,000.00 to the OPEB Trust Fund established at the November 30, 2010 Special Town Meeting.",169,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,13,Create the Opioid Settlement Stabilization Fund and deposit settlement proceeds,passed,"$84,740.25",Approval,Approval,"VOTED (80 YES, 11 NO), pursuant to the provisions of G.L. c.40, Section 5B, to create a new special purpose stabilization fund, to be known as the Opioid Settlement Stabilization Fund, for dedication, without further appropriation, of 100% of opioid litigation settlement",169,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,14,Appropriate funds to operate the Sewer Enterprise Fund for FY2024,passed,"$1,339,850.95",Approval,Approval,"VOTED (72 YES, 8 NO) to appropriate  from Sewer Enterprise revenues the sum of  $89,891.85; transfer from the  Inflow/Infiltration Stabilization Fund the sum of $9,900.00; transfer from the Sewer Capital Reserve Stabilization Fund the sum of $35,000.00;",169,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,15,Transfer funds into the Sewer Capital Reserve Stabilization Fund,passed,"$36,621.37",Approval,Approval,"VOTED UNANIMOUS CONSENT to transfer from Sewer Enterprise Retained Earnings the sum of $36,621.37 into the Sewer Capital Reserve Stabilization Fund.",169,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,21,Petition the General Court for a means-tested senior citizen property tax exemption,amended_and_passed,,Approval,Approval,"VOTED (77 YES, 11 NO) [with amendment (passing 74 to9) to eliminate ""residential"" in the 2nd sentence of Section 3] to authorize the Board of Selectmen, on behalf of the Town, to petition the General Court for the enactment of special legislation",171,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,annual,2023-05-06,22,Amend the zoning bylaw to add a Self-Storage use category,passed,,No recommendation,Approval,"VOTED (66 YES, 8 NO – 50 needed for 2/3rds majority) to amend the Code of Lunenburg, Section 250-4.1, which is a Section of the Protective Bylaw entitled Permitted and Prohibited Uses"", by adding a new section 250-4.1 K(20) entitled ""Self-Storage,"" and inserting the same into the accompanying ""Use Tables"".",172,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,special,2023-11-14,1,Amend the FY2024 budget with additional appropriations to several town lines,passed,"$319,000",Approval,Approval,"VOTED (126 YES, 13 NO 93 needed for 2/3rds majority) to raise and appropriate the sum of $319,000 as follows: to line #13/Reserve Fund, the sum of $200,000; to line#13A Salary Reserve, the sum of $99,000; to line #31/Town Clerk Salary, the sum of $20,000;",172,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,special,2023-11-14,2,Appropriate funds for payment of prior year expenses,passed,"$1,423.52",Approval,No recommendation,"VOTED (9/10ths DECLARED) to raise and appropriate the sum of $1,423.52 for payment of prior year expenses.",172,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
2023,special,2023-11-14,3,Fund first year of AFSCME municipal employees' collective bargaining agreement,passed,"$58,431.03",Approval,Approval,"VOTED (132 YES, 11 NO) to transfer from Article 7 of the May 6, 2023 Annual Town Meeting, line #13A/Salary Reserve, the sum of $58,431.03 to fund the first year of the FY 24, FY 25, and FY 26 Lunenburg Municipal Employees Collective Bargaining Agreement dated July 1, 2023",172,sources/town-annual-reports/text/4131-fy-2023-annual-town-report.txt,sonnet,2026-09-19T14:54:27Z
