column,meaning,unit,basis,caution
sha256,"Checksum of our copy.",,derived,"Here because a file can be replaced at the same URL without the URL changing."
url,"The publisher's own address for the document.",,publisher,
upstream,"The publisher's address, as deeply as it goes.",,publisher,
path,"Where our copy lives in the archive.",,ours,
bytes,"Size of our copy.",bytes,derived,
rows,"How many rows the extract produced.",count,derived,
printed_total,"The total the source itself prints, quoted.",,publisher,"This is the independent check. An extract that does not tie to it is not trusted."
documents_disagree,"Two documents state different figures for the same thing.",,derived,"Kept rather than resolved: which is right is often not established."
school,"Which school, as the roster prints it.",,publisher,
position,"The job, classified by us from the printed title.",,ours,"A roster carries no FTE, so a 0.4 music teacher and a full-timer are one row each."
role_raw,"The job title exactly as printed.",,publisher,
count,"How many.",count,derived,
total,"The row's total, as printed.",dollars,publisher,
notes,"What we recorded about this row while reading it.",,ours,
panel,"Which block of the page this row came from, where a page prints several tables.",,derived,"Two panels on one page have different column rulers. Summing across panels mixes them."
label_missing,"The row's label did not survive extraction.",,derived,"The figures may still be good. A missing label is not a missing row."
line_no,"Position of the row on the page, counting from the top.",,derived,"Positional, so it identifies a row within a page and nothing beyond it."
repaired_cells,"Cells we corrected, and what the correction was.",,derived,"A repair is a change we made to a reading. It is recorded so it can be disputed."
unparsed_cells,"Cells we could not read.",,derived,"Kept rather than dropped: a dropped cell is invisible."
pages,"Which pages of the source this covers.",,ours,
source_ref,"Where in the source the figure sits — a cell, a line, a page.",,ours,"Rule 13: a coordinate, so a figure can be checked rather than taken."
source_file,"The file the figure was read from.",,ours,
function_group,"Our grouping of DESE function codes into readable categories.",,ours,
transfers,"Money moved into or out of the appropriation after it was voted.",dollars,publisher,"This is why `original` and `revised` differ."
metric,"Which quantity this row measures.",,ours,
note,"What we recorded about this row.",,ours,
item,"The thing being priced or counted.",,ours,
key,"The row's join key.",,derived,
grain,"What one row of this table represents.",,ours,"The field that decides whether two tables can be joined or summed."
table,"Which table this row describes.",,ours,
section,"The budget book's own section heading.",,publisher,
evidence,"What establishes the claim in this row.",,ours,
rounded_columns,"Which columns the source printed rounded.",,publisher,"Sets the tolerance a reconciliation may use — one dollar per rounded row, not a blanket."
row,"The worksheet row number in the source spreadsheet.",,publisher,"Rule 13: quotes a coordinate, so a figure can be traced to its cell."
salaries,"The salary portion of the fund's spending.",dollars,publisher,
expenditure,"The non-salary portion of the fund's spending.",dollars,publisher,
lea,"The state's district code.",,publisher,
district,"The district's name as DESE prints it.",,publisher,
measure,"Which DESE measure this row reports.",,publisher,
reconciles,"Whether this figure ties to DESE's own printed total.",,derived,
owner,"Who holds the grant.",,publisher,
unit,"What the figure is counted in.",,ours,
set_on,"The date the rate or fee was set.",,publisher,
season,"Which athletic season.",,publisher,
level,"School level, where the row is about athletics rather than accounts.",,publisher,"Means something different in `account` — see that table's entry."
sport,"The sport.",,publisher,
raw,"The value exactly as printed, before parsing.",,publisher,"Rule 13: what the source says, beside what we made of it."
is_numeric,"Whether the raw value parsed as a number.",,derived,
cell,"The spreadsheet cell the figure came from.",,publisher,"A coordinate, so the figure can be checked."
printed,"The total the source itself prints.",dollars,publisher,
printed_cell,"Where that printed total sits.",,publisher,
printed_raw,"The printed total exactly as it appears.",,publisher,
summed_from_rows,"What our rows add to.",dollars,derived,
difference,"Ours less the source's.",dollars,derived,
ties,"Whether the two agree.",,derived,
as_of,"The date the count was taken.",,publisher,"Placement counts are measured on 1 March, not at year end."
collaborative,"Children placed with an educational collaborative.",count,publisher,"Children, not dollars."
day,"Children in a day placement.",count,publisher,"Children, not dollars."
residential,"Children in a residential placement.",count,publisher,"Children, not dollars."
collaborative_within_day,"Whether the collaborative count is inside the day count.",,publisher,
collaborative_basis,"How the collaborative figure was arrived at.",,publisher,
report_says_prior_year,"The prior-year figure this report restates.",,publisher,"Each year states last year's number, which checks the chain."
parts_tie,"Whether the parts sum to the printed total.",,derived,
chain_agrees,"Whether this year's report agrees with last year's about last year.",,derived,
checks,"Which checks this row passed.",,derived,
table_name,"Which table this row describes.",,ours,"Named `table_name` rather than `table` because `table` is an SQL reserved word and this table exists to be queried."
role,"What kind of table it is: fact, dimension, extract, classification, provenance or derived.",,ours,"Facts carry the measurements. Everything else describes, extracts, classifies or checks them."
what_it_answers,"The question one row of this table answers.",,ours,
meaning,"What the column holds.",,ours,
caution,"What goes wrong if this is used without knowing the above.",,ours,"Every entry here was written after getting it wrong at least once."
default_query,"The query the schema page's modal opens this table with.",,ours,"Set only where a bare SELECT * is unhelpful — a fact table keyed on a code shows numbers with no words until its dimension is joined back."
scope,"Whose money or whose subject the table is about: school, town, both, state or archive.",,ours,"`both` is not a hedge — the ledger and the chart of accounts genuinely carry every department, and splitting them would be inventing a division the source does not make."
tier,"How finely the money is resolved: 1 totals, 2 categories, 3 accounts. Blank where the table is not about money.",,ours,"From the join map. Tier 1 answers what was appropriated and what is left; tier 2 which category is over; tier 3 what one account spent. The tier below 3 — which revenue paid which expense — no report reaches."
forward,"Balance the fund brought forward from the previous year, as the schedule prints it.",dollars,publisher,
receipts,"Total money the fund took in during the year.",dollars,publisher,"Not the same quantity as disbursements and must never be added to it."
disbursements,"Total money the fund paid out during the year.",dollars,publisher,
carried,"Balance the fund carried forward into the next year.",dollars,publisher,"Ties to the NEXT year's `forward`, which is a check across years the schedule makes possible."
row_ties,"Whether this row satisfies forward + receipts − disbursements = carried.",,derived,"The identity the table itself states. A row that does not tie is a transcription error or a printing error, and which one is not decided here."
read_by,"Which instrument produced the figures: `vision` for a page read directly.",,ours,"A reading, whichever instrument made it. It is checked by the printed total, not trusted for its source."
quote,"What the source says, verbatim.",,publisher,
