video_id,board_slug,board_name,title_stem,meetings_folder,in_agenda_center,meeting_date,classification_source,classified_by,classified_at
149hE7ox_cY,lunenburg-municipal-building-design-committee,Lunenburg Municipal Building Design Committee,Municipal Building Design Committee,lunenburg-municipal-building-design-committee,yes,2026-08-17,model,claude-opus-5 (1M context),2026-09-08
v4qvpgKlYRg,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2026-08-13,model,claude-opus-5 (1M context),2026-09-08
ezUwmNgj3w8,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-08-12,model,claude-opus-5 (1M context),2026-09-08
gIzjXrZwjYA,cable-advisory-committee,Cable Advisory Committee,Cable Advisory Committee,cable-advisory-committee,yes,2026-08-13,model,claude-opus-5 (1M context),2026-09-08
C7njxgJv88A,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2026-08-12,model,claude-opus-5 (1M context),2026-09-08
uNUrTAXxIF8,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2026-08-12,model,claude-opus-5 (1M context),2026-09-08
a8-FjUsW9iw,council-on-aging,Council on Aging,Council on Aging,council-on-aging,yes,2026-08-11,model,claude-opus-5 (1M context),2026-09-08
7CbIQ2xhEw4,select-board,Select Board,Select Board Meeting - Site Visit to Brooks House and TCP,select-board,yes,2026-08-11,model,claude-opus-5 (1M context),2026-09-08
ESm5-N4Curs,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-08-11,model,claude-opus-5 (1M context),2026-09-08
UTAi2_3RDYU,select-board,Select Board,Select Board,select-board,yes,2026-08-10,model,claude-opus-5 (1M context),2026-09-08
KZf5AVu8sjQ,planning-board,Planning Board,Planning Board,planning-board,yes,2026-08-10,model,claude-opus-5 (1M context),2026-09-08
GZqWkWkz8IY,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-08-05,model,claude-opus-5 (1M context),2026-09-08
N_IaHAJniy0,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2026-08-05,model,claude-opus-5 (1M context),2026-09-08
yz0b6T1GdWA,select-board,Select Board,Select Board,select-board,yes,2026-08-04,model,claude-opus-5 (1M context),2026-09-08
QDMwtSUlVDY,personnel-committee,Personnel Committee,Personnel Committee,personnel-committee,yes,2026-08-03,model,claude-opus-5 (1M context),2026-09-08
YJ8CLX_0gLA,lunenburg-municipal-building-design-committee,Lunenburg Municipal Building Design Committee,Municipal Building Design Committee,lunenburg-municipal-building-design-committee,yes,2026-08-03,model,claude-opus-5 (1M context),2026-09-08
gc8unwrEL3k,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2026-07-30,model,claude-opus-5 (1M context),2026-09-08
wR4gBkOqIaE,school-committee,School Committee,School Committee,school-committee,yes,2026-07-29,model,claude-opus-5 (1M context),2026-09-08
88WCAj-HMbk,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-07-28,model,claude-opus-5 (1M context),2026-09-08
1fNLbfV7UT4,select-board,Select Board,Select Board,select-board,yes,2026-07-28,model,claude-opus-5 (1M context),2026-09-08
5v_3VPZyn6U,select-board,Select Board,Select Board,select-board,yes,2026-07-27,model,claude-opus-5 (1M context),2026-09-08
2GIMJnxvJyg,planning-board,Planning Board,Planning Board,planning-board,yes,2026-07-27,model,claude-opus-5 (1M context),2026-09-08
UvO292Q4t1E,trust-fund-commission,Trust Fund Commission,Trust Funds Commission,trust-fund-commission,yes,2026-07-24,model,claude-opus-5 (1M context),2026-09-08
wKriZio5rGo,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-07-22,model,claude-opus-5 (1M context),2026-09-08
cUYXjTh0Jq8,cable-advisory-committee,Cable Advisory Committee,Cable Advisory Committee,cable-advisory-committee,yes,2026-07-23,model,claude-opus-5 (1M context),2026-09-08
KZQrOju5CWo,finance-committee,Finance Committee,Finance Comittee,finance-committee,yes,2026-07-23,model,claude-opus-5 (1M context),2026-09-08
QhMt1oE8eZo,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2026-07-22,model,claude-opus-5 (1M context),2026-09-08
COzfPKYMWPA,select-board,Select Board,Select Board,select-board,yes,2026-07-21,model,claude-opus-5 (1M context),2026-09-08
FvJj-S-iEug,planning-board,Planning Board,Planning Board,planning-board,yes,2026-07-20,model,claude-opus-5 (1M context),2026-09-08
uLFRcL_1gRs,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-07-15,model,claude-opus-5 (1M context),2026-09-08
Dvp2YlTJOXo,school-committee,School Committee,School Committee,school-committee,yes,2026-07-15,model,claude-opus-5 (1M context),2026-09-08
tlJWseLMwCE,select-board,Select Board,Select Board,select-board,yes,2026-07-14,model,claude-opus-5 (1M context),2026-09-08
AKgxsYGcX0s,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-07-14,model,claude-opus-5 (1M context),2026-09-08
R5R3xadnDc4,council-on-aging,Council on Aging,Council on Aging,council-on-aging,yes,2026-07-14,model,claude-opus-5 (1M context),2026-09-08
vl9pZDQHImo,planning-board,Planning Board,Planning Board,planning-board,yes,2026-07-13,model,claude-opus-5 (1M context),2026-09-08
WVuUsWyBmqA,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2026-07-08,model,claude-opus-5 (1M context),2026-09-08
eqCVy5g-wWE,select-board,Select Board,Select Board,select-board,yes,2026-07-07,model,claude-opus-5 (1M context),2026-09-08
KVzRSrdc5pc,personnel-committee,Personnel Committee,Personnel Committee,personnel-committee,yes,2026-07-06,model,claude-opus-5 (1M context),2026-09-08
CqrerhpDpWk,finance-committee-appointing-committee,Finance Committee Appointing Committee,Finance Committee Appointing Committe,finance-committee-appointing-committee,yes,2026-07-06,model,claude-opus-5 (1M context),2026-09-08
un0bhVKAzGs,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-07-01,model,claude-opus-5 (1M context),2026-09-08
ZHueTsTeRmU,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2026-07-01,model,claude-opus-5 (1M context),2026-09-08
TRmRLJKYE-U,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-06-30,model,claude-opus-5 (1M context),2026-09-08
O1ypL39O-TM,select-board,Select Board,Select Board,select-board,yes,2026-06-30,model,claude-opus-5 (1M context),2026-09-08
A3O6NwydHCs,lunenburg-municipal-building-design-committee,Lunenburg Municipal Building Design Committee,Municipal Building Design Committee,lunenburg-municipal-building-design-committee,yes,2026-06-29,model,claude-opus-5 (1M context),2026-09-08
jUunqV11dU4,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2026-06-25,model,claude-opus-5 (1M context),2026-09-08
Os3tXraX6hA,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-06-24,model,claude-opus-5 (1M context),2026-09-08
ZS-tW_drdqE,school-committee,School Committee,School Committee,school-committee,yes,2026-06-24,model,claude-opus-5 (1M context),2026-09-08
46iJXIejnrw,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2026-06-24,model,claude-opus-5 (1M context),2026-09-08
sYBbdYKeNe4,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2026-06-24,model,claude-opus-5 (1M context),2026-09-08
SkWt4MhuLnA,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2026-06-24,model,claude-opus-5 (1M context),2026-09-08
ZpNGqXJUFec,planning-board,Planning Board,Planning Board,planning-board,yes,2026-06-22,model,claude-opus-5 (1M context),2026-09-08
rDm3pV3tJNs,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-06-17,model,claude-opus-5 (1M context),2026-09-08
dJfFYbktFzs,select-board,Select Board,Select Board,select-board,yes,2026-06-16,model,claude-opus-5 (1M context),2026-09-08
5gIok_72gyE,lunenburg-municipal-building-design-committee,Lunenburg Municipal Building Design Committee,Municipal Building Design Committee,lunenburg-municipal-building-design-committee,yes,2026-06-15,model,claude-opus-5 (1M context),2026-09-08
7k6khgLOCY8,select-board,Select Board,Select Board,select-board,yes,2026-06-15,model,claude-opus-5 (1M context),2026-09-08
saZ3-xhIGw4,architectural-preservation-district-commission,Architectural Preservation District Commission,Architectural Preservation District Commission,architectural-preservation-district-commission,yes,2026-06-11,model,claude-opus-5 (1M context),2026-09-08
UQXjJNVXTC8,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2026-06-11,model,claude-opus-5 (1M context),2026-09-08
LNEq_Bcx4ac,open-space-committee,Open Space Committee,Open Space,open-space-committee,yes,2026-05-13,model,claude-opus-5 (1M context),2026-09-08
4xhT6FUJXCE,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-06-10,model,claude-opus-5 (1M context),2026-09-08
4GrzmgQrIew,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2026-06-10,model,claude-opus-5 (1M context),2026-09-08
tunb0BN9ZZI,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-06-09,model,claude-opus-5 (1M context),2026-09-08
Mpy-SIWetZk,council-on-aging,Council on Aging,Council on Aging,council-on-aging,yes,2026-06-09,model,claude-opus-5 (1M context),2026-09-08
KER5caW3LK0,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-06-03,model,claude-opus-5 (1M context),2026-09-08
0drqJ-uZ_HM,planning-board,Planning Board,Planning Board,planning-board,yes,2026-06-08,model,claude-opus-5 (1M context),2026-09-08
pwu5tQeggPU,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2026-06-03,model,claude-opus-5 (1M context),2026-09-08
Iu4Ha9TpRKs,school-committee,School Committee,School Committee,school-committee,yes,2026-06-03,model,claude-opus-5 (1M context),2026-09-08
jFhkCL7o0oE,lunenburg-water-district,Lunenburg Water District,Water District Special Meeting,,NO,2026-06-03,model,claude-opus-5 (1M context),2026-09-08
zkmjpWzNB8M,select-board,Select Board,Select Board,select-board,yes,2026-06-02,model,claude-opus-5 (1M context),2026-09-08
S7I_Ju-yKlg,lunenburg-municipal-building-design-committee,Lunenburg Municipal Building Design Committee,Municipal Building Design Committee,lunenburg-municipal-building-design-committee,yes,2026-06-01,model,claude-opus-5 (1M context),2026-09-08
wbVcmEKBCvs,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2026-06-01,model,claude-opus-5 (1M context),2026-09-08
GLNiLTdN20M,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-05-26,model,claude-opus-5 (1M context),2026-09-08
ohMm6glUw-Y,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2026-05-27,model,claude-opus-5 (1M context),2026-09-08
BUB31HGDim4,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2026-05-28,model,claude-opus-5 (1M context),2026-09-08
KWEPsAqCXR4,lunenburg-water-district,Lunenburg Water District,Lunenburg Water District Meeting,,NO,2026-05-27,model,claude-opus-5 (1M context),2026-09-08
CvntEwH-650,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeal,zoning-board-of-appeals,yes,2026-05-27,model,claude-opus-5 (1M context),2026-09-08
TRvFWe6rfdg,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-05-26,model,claude-opus-5 (1M context),2026-09-08
ZTudRDDxJ1Y,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-05-21,model,claude-opus-5 (1M context),2026-09-08
WMLR7WqrZPw,school-committee,School Committee,School Committee,school-committee,yes,2026-05-20,model,claude-opus-5 (1M context),2026-09-08
C4Td8XQ2b-Y,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-05-20,model,claude-opus-5 (1M context),2026-09-08
jcCCuDRpo-Y,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2026-05-18,model,claude-opus-5 (1M context),2026-09-08
JnVWS4tJouo,select-board,Select Board,Select Board,select-board,yes,2026-05-19,model,claude-opus-5 (1M context),2026-09-08
Qdc4naoZ_CY,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-05-13,model,claude-opus-5 (1M context),2026-09-08
fRwzTHYCHgU,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2026-05-13,model,claude-opus-5 (1M context),2026-09-08
hEVmercA6hg,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2026-05-13,model,claude-opus-5 (1M context),2026-09-08
dKFTvMbCVeI,economic-development-committee,Economic Development Committee,Economic Development Committee,economic-development-committee,yes,2026-05-12,model,claude-opus-5 (1M context),2026-09-08
Vah7RuSz4_8,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-05-12,model,claude-opus-5 (1M context),2026-09-08
2sGk_OTwL_c,council-on-aging,Council on Aging,Council on Aging,council-on-aging,yes,2026-05-12,model,claude-opus-5 (1M context),2026-09-08
Zm5Mx4qR6ic,select-board,Select Board,Select Board,select-board,yes,2026-05-12,model,claude-opus-5 (1M context),2026-09-08
6xwAhcr2hOU,planning-board,Planning Board,Planning Board,planning-board,yes,2026-05-11,model,claude-opus-5 (1M context),2026-09-08
FKFXZxfz6V0,trust-fund-commission,Trust Fund Commission,Trust Funds Commission,trust-fund-commission,yes,2026-05-07,model,claude-opus-5 (1M context),2026-09-08
x3f-Q2Db_14,school-committee,School Committee,School Committee,school-committee,yes,2026-05-06,model,claude-opus-5 (1M context),2026-09-08
KB-QiAFS55Q,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-05-06,model,claude-opus-5 (1M context),2026-09-08
-lVXiy8aW5M,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-05-06,model,claude-opus-5 (1M context),2026-09-08
KkmAQOb3gUQ,select-board,Select Board,Select Board,select-board,yes,2026-05-05,model,claude-opus-5 (1M context),2026-09-08
hOtGSCdR_Rs,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2026-05-04,model,claude-opus-5 (1M context),2026-09-08
90PSXCml4tU,capital-planning-committee,Capital Planning Committee,Capital Planning Committee,capital-planning-committee,yes,2026-04-30,model,claude-opus-5 (1M context),2026-09-08
XPu6b2OxSAE,town-meeting,Town Meeting,Lunenburg Annual Town Meeting (audio edited),,NO,2026-05-02,model,claude-opus-5 (1M context),2026-09-08
F0viGd2yFSU,town-meeting,Town Meeting,Annual Town Meeting,,NO,2026-05-02,model,claude-opus-5 (1M context),2026-09-08
Qxau0aMYpVk,select-board,Select Board,Select Board,select-board,yes,2026-04-30,model,claude-opus-5 (1M context),2026-09-08
rjCqM1XMcwk,green-community-task-force,Green Community Task Force,Green Communities Task Force,,NO,2026-04-27,model,claude-opus-5 (1M context),2026-09-08
0hk_UcqgRoQ,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-04-28,model,claude-opus-5 (1M context),2026-09-08
-HoRiRY7JzE,lunenburg-municipal-building-design-committee,Lunenburg Municipal Building Design Committee,Municipal Building Design Committee,lunenburg-municipal-building-design-committee,yes,2026-04-27,model,claude-opus-5 (1M context),2026-09-08
5TtFDiodgeQ,planning-board,Planning Board,Planning Board,planning-board,yes,2026-04-27,model,claude-opus-5 (1M context),2026-09-08
e0-d3oo_cAI,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2026-04-23,model,claude-opus-5 (1M context),2026-09-08
rj663wEGQt4,trust-fund-commission,Trust Fund Commission,Trust Funds Commission,trust-fund-commission,yes,2026-04-23,model,claude-opus-5 (1M context),2026-09-08
szimFHvo_cU,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2026-04-22,model,claude-opus-5 (1M context),2026-09-08
Fmn9j9fXsso,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-04-22,model,claude-opus-5 (1M context),2026-09-08
hWLWclCjbx8,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2026-04-22,model,claude-opus-5 (1M context),2026-09-08
_JDMK4iDFTc,select-board,Select Board,Select Board,select-board,yes,2026-04-21,model,claude-opus-5 (1M context),2026-09-08
u8GqHtL09c8,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-04-15,model,claude-opus-5 (1M context),2026-09-08
HCOfv6vm1J0,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2026-04-16,model,claude-opus-5 (1M context),2026-09-08
3qvTFo6yU_s,school-committee,School Committee,School Committee,school-committee,yes,2026-04-15,model,claude-opus-5 (1M context),2026-09-08
cjRQCwRWJdU,council-on-aging,Council on Aging,Council on Aging,council-on-aging,yes,2026-04-14,model,claude-opus-5 (1M context),2026-09-08
iyPSp6D0fck,economic-development-committee,Economic Development Committee,Economic Development Committee,economic-development-committee,yes,2026-04-14,model,claude-opus-5 (1M context),2026-09-08
Vz1CQZ97SQo,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-04-14,model,claude-opus-5 (1M context),2026-09-08
sF7yvu2C25w,select-board,Select Board,Select Board,select-board,yes,2026-04-14,model,claude-opus-5 (1M context),2026-09-08
_Hswnum9XPs,planning-board,Planning Board,Planning Board,planning-board,yes,2026-04-13,model,claude-opus-5 (1M context),2026-09-08
nm0KqHcL6wk,trust-fund-commission,Trust Fund Commission,Trust Funds Commission,trust-fund-commission,yes,2026-04-09,model,claude-opus-5 (1M context),2026-09-08
oAX_AeG8ang,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-04-08,model,claude-opus-5 (1M context),2026-09-08
qhcoE_wDqt8,board-of-assessors,Board of Assessors,Board of Assessors,board-of-assessors,yes,2026-04-08,model,claude-opus-5 (1M context),2026-09-08
rPW2ew89EDs,select-board,Select Board,Select Board,select-board,yes,2026-04-07,model,claude-opus-5 (1M context),2026-09-08
8usm4uHzje8,public-access-cable-committee-pacc,Public Access Cable Committee (PACC),PACC,public-access-cable-committee-pacc,yes,2026-04-06,model,claude-opus-5 (1M context),2026-09-08
nyauVYl3zd0,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2026-04-06,model,claude-opus-5 (1M context),2026-09-08
6e1qqy-V_rk,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-04-01,model,claude-opus-5 (1M context),2026-09-08
j2TFZHcskZ0,stormwater-task-force,Stormwater Task Force,Stormwater Task Force,stormwater-task-force,yes,2026-03-25,model,claude-opus-5 (1M context),2026-09-08
erUXTd1phSg,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2026-04-02,model,claude-opus-5 (1M context),2026-09-08
4ef6KsOweWs,school-committee,School Committee,School Committee,school-committee,yes,2026-04-01,model,claude-opus-5 (1M context),2026-09-08
3v5DIekiG2A,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-03-31,model,claude-opus-5 (1M context),2026-09-08
ACXm07GcviI,select-board,Select Board,Select Board,select-board,yes,2026-03-31,model,claude-opus-5 (1M context),2026-09-08
mLQwvNBhEdU,lunenburg-water-district,Lunenburg Water District,Water District Annual Meeting,,NO,2026-03-28,model,claude-opus-5 (1M context),2026-09-08
0wWgYdt2FI8,cemetery-commission,Cemetery Commission,Cemetery Commission,cemetery-commission,yes,2026-03-26,model,claude-opus-5 (1M context),2026-09-08
tZv6KVIYb9w,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2026-03-26,model,claude-opus-5 (1M context),2026-09-08
IyTc8GPySz0,trust-fund-commission,Trust Fund Commission,Trust Fund Commission,trust-fund-commission,yes,2026-03-26,model,claude-opus-5 (1M context),2026-09-08
7Vr3PHnsnIY,parks-commission,Parks Commission,Parks Commission,parks-commission,yes,2026-03-25,model,claude-opus-5 (1M context),2026-09-08
BoAeWbis_dM,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-03-25,model,claude-opus-5 (1M context),2026-09-08
lq1UgU1vxNg,select-board,Select Board,TriBoard,select-board,yes,2026-03-24,model,claude-opus-5 (1M context),2026-09-08
lq1UgU1vxNg,finance-committee,Finance Committee,TriBoard,finance-committee,yes,2026-03-24,model,claude-opus-5 (1M context),2026-09-08
lq1UgU1vxNg,school-committee,School Committee,TriBoard,school-committee,yes,2026-03-24,model,claude-opus-5 (1M context),2026-09-08
_2iNJ6SvsCs,select-board,Select Board,Select Board Workshop,select-board,yes,2026-03-23,model,claude-opus-5 (1M context),2026-09-08
3e32DKaEsMo,town-meeting,Town Meeting,Town Meeting - Part 2,,NO,2016-05-07,model,claude-opus-5 (1M context),2026-09-08
u8HHLQKOfug,town-meeting,Town Meeting,Town Meeting - Part 1,,NO,2016-05-07,model,claude-opus-5 (1M context),2026-09-08
rfgkwHS9-54,school-committee,School Committee,School Committee,school-committee,yes,2026-03-23,model,claude-opus-5 (1M context),2026-09-08
5_eJFBNX9JY,planning-board,Planning Board,Planning Board,planning-board,yes,2026-03-23,model,claude-opus-5 (1M context),2026-09-08
d8UUVRoCwoY,school-committee,School Committee,School Committee,school-committee,yes,2026-03-18,model,claude-opus-5 (1M context),2026-09-08
ZOabmf1VKjg,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2026-03-19,model,claude-opus-5 (1M context),2026-09-08
qRjZFlAZx6M,conservation-commission,Conservation Commission,Conservation Commission,conservation-commission,yes,2026-03-18,model,claude-opus-5 (1M context),2026-09-08
S3K-268mDJs,select-board,Select Board,Select Board,select-board,yes,2026-03-17,model,claude-opus-5 (1M context),2026-09-08
QkqNg9jDIEM,select-board,Select Board,Select Board Workshop,select-board,yes,2026-03-16,model,claude-opus-5 (1M context),2026-09-08
QzbeZsuL9KI,architectural-preservation-district-commission,Architectural Preservation District Commission,Architectural Preservation District Commission,architectural-preservation-district-commission,yes,2026-03-12,model,claude-opus-5 (1M context),2026-09-08
bbyuOZrwZiU,planning-board,Planning Board,Planning Board,planning-board,yes,2026-03-16,model,claude-opus-5 (1M context),2026-09-08
bwTkjEJBMFc,finance-committee,Finance Committee,Finance Committee,finance-committee,yes,2026-03-12,model,claude-opus-5 (1M context),2026-09-08
K5SV7asqOUY,trust-fund-commission,Trust Fund Commission,Trust Funds Commission,trust-fund-commission,yes,2026-03-12,model,claude-opus-5 (1M context),2026-09-08
L6BHM4GABqE,lunenburg-water-district,Lunenburg Water District,Water District,,NO,2026-03-11,model,claude-opus-5 (1M context),2026-09-08
KDFCZ2cRJaA,zoning-board-of-appeals,Zoning Board of Appeals,Zoning Board of Appeals,zoning-board-of-appeals,yes,2026-03-11,model,claude-opus-5 (1M context),2026-09-08
AibsbE20srM,open-space-committee,Open Space Committee,Open Space Committee,open-space-committee,yes,2026-03-11,model,claude-opus-5 (1M context),2026-09-08
Uth37yyihBA,sewer-commission,Sewer Commission,Sewer Commission,sewer-commission,yes,2026-03-10,model,claude-opus-5 (1M context),2026-09-08
J2xuwwj9eJo,select-board,Select Board,TriBoard Meeting,select-board,yes,2026-03-10,model,claude-opus-5 (1M context),2026-09-08
J2xuwwj9eJo,finance-committee,Finance Committee,TriBoard Meeting,finance-committee,yes,2026-03-10,model,claude-opus-5 (1M context),2026-09-08
J2xuwwj9eJo,school-committee,School Committee,TriBoard Meeting,school-committee,yes,2026-03-10,model,claude-opus-5 (1M context),2026-09-08
7TS97IU0kuA,select-board,Select Board,Select Board,select-board,yes,2026-03-10,model,claude-opus-5 (1M context),2026-09-08
drYl3vy4k8c,council-on-aging,Council on Aging,Council on Aging,council-on-aging,yes,2026-03-10,model,claude-opus-5 (1M context),2026-09-08
