fy,school_year,level,item,amount,unit,set_on,source,source_file,source_ref,verified
2025,2024-25,MS,full_pay,200.00,per student per sport per season,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,1st student=$200.00,quoted in source
2024,2023-24,MS,second_child,150.00,per student per sport per season,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,2nd student=$150.00,quoted in source
2025,2024-25,MS,second_child,150.00,per student per sport per season,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,2nd student=$150.00,quoted in source
2024,2023-24,ANY,unified_track,100.00,per student per sport per season,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,Unified Track =$100.00,quoted in source
2025,2024-25,ANY,unified_track,100.00,per student per sport per season,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,Unified Track =$100.00,quoted in source
2026,2025-26,HS,full_pay,325.00,per student per sport per season,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,"up 
to $325",quoted in source
2026,2025-26,HS,full_pay_confirm,325.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!G3,Spring!G3
2026,2025-26,MS,full_pay,275.00,per student per sport per season,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,$275 for Middle School,quoted in source
2026,2025-26,HS,sibling_discount_pct,25.00,per student per sport per season,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,A 25% discount for siblings,quoted in source
2026,2025-26,HS,reduced_fee,50.00,per student per sport per season,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,Reduced fee for high school to $50,quoted in source
2026,2025-26,HS,reduced_fee_confirm,50.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!S3,Spring!S3
2026,2025-26,MS,reduced_fee,40.00,per student per sport per season,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,$40 for middle school,quoted in source
2026,2025-26,MS,reduced_fee_confirm,40.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!V3,Spring!V3
2026,2025-26,ANY,family_cap,1500.00,per student per sport per season,2025-02-26,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,family cap of $1500,quoted in source
2027,2026-27,HS,full_pay,400.00,per student per sport per season,2026-08,"Superintendent's email to families, August 2026",,,source not held
2027,2026-27,HS,second_child,300.00,per student per sport per season,2026-08,"Superintendent's email to families, August 2026",,,source not held
2027,2026-27,HS,third_child,225.00,per student per sport per season,2026-08,"Superintendent's email to families, August 2026",,,source not held
2027,2026-27,ANY,family_cap,1500.00,per student per sport per season,2026-08,"Superintendent's email to families, August 2026",,,source not held
