title_stem,kind,boards,category,note
American Flag Retirement Ceremony,not_a_meeting,,ceremony,
An Interview with James DiGiacomo,not_a_meeting,,programming,
"Ancestry Presentation with Thomas Laford, Lunenburg Library",not_a_meeting,,library_program,
Annual High Tea - Lunenburg Adult Activity Center,not_a_meeting,,senior_center,
Annual Holiday Tree Lighting,not_a_meeting,,community_event,
Annual Poetry Reading Event - Lunenburg Library,not_a_meeting,,library_program,
Annual Police/Fire Memorial Ceremony,not_a_meeting,,ceremony,
Annual Town Meeting,meeting,town-meeting,annual,
APDC,meeting,architectural-preservation-district-commission,regular,the channel's abbreviation
APDC (ZOOM),meeting,architectural-preservation-district-commission,regular,
Architectual Preservation District Commission,meeting,architectural-preservation-district-commission,regular,misspelling
Architectural Preservation District Commission,meeting,architectural-preservation-district-commission,regular,
Architectural Preservation District Committee,meeting,architectural-preservation-district-commission,regular,
Architectural Presevation District Commission,meeting,architectural-preservation-district-commission,regular,misspelling
Architecture Preservation District Commission,meeting,architectural-preservation-district-commission,regular,misspelling
Are You Okay Program at The Eagle House,not_a_meeting,,senior_center,
Are You Smarter Than a 6th Grader - Lunenburg Boys and Girls Club Fund Raiser,not_a_meeting,,community_event,
Are You Smarter Than a Sixth Grader - Boys and Girls Club,not_a_meeting,,community_event,
Are You Smarter than a Sixth Grader?,not_a_meeting,,community_event,
Are You Smarter than Our 6th Graders,not_a_meeting,,community_event,
Are You Smarter Than Our 6th Graders,not_a_meeting,,community_event,
Are You Smarter Than Our 6th Graders - 2018,not_a_meeting,,community_event,
Are You Smarter Than Our Sixth Graders,not_a_meeting,,community_event,Boys and Girls Club fundraiser
Art For Life - Episode2,not_a_meeting,,programming,
Art For Life with Bob Cole,not_a_meeting,,programming,
Athletic Advisory Committee,meeting,athletic-advisory-council,regular,the town lists one athletic advisory body; the channel calls it a Committee
Author Talk: Harry P Haldt III,not_a_meeting,,library_program,
Avoiding Frauds and Scams 5 8 2023,not_a_meeting,,senior_center,the date is inside the title and did not parse
B&G Club News & Events Broadcast - May/June 2016,not_a_meeting,,community_event,
Baccalaureate,not_a_meeting,,school_event,
Baccalaureate 2025,not_a_meeting,,school_event,
Band Concert,not_a_meeting,,school_event,
"Band Concert ""Sneak Peek"" Video Clip",not_a_meeting,,psa,
BandConcert,not_a_meeting,,school_event,
BandConcert_YouTube.mov,not_a_meeting,,school_event,
"Be a Better Listener Communicating Through Dementia 02.10,26",not_a_meeting,,senior_center,
Bea Adams - Post WWII Germany,not_a_meeting,,community_event,
Beatrice Adams - Growing Up In Hitler's Backyard,not_a_meeting,,community_event,
Beecology,not_a_meeting,,library_program,
Beekeeping with John Hedly,not_a_meeting,,library_program,
Before Brooklyn The Unsung Heroes Who Helped Break Baseball's Color Barrier,not_a_meeting,,library_program,
Best Podcast on Turf - Ep. 9,not_a_meeting,,programming,
Best Podcast on Turf - Ep.10,not_a_meeting,,programming,
Best Podcast on Turf - Episode 1,not_a_meeting,,programming,
Best Podcast on Turf - Episode 2,not_a_meeting,,programming,
Best Podcast on Turf - Episode 3,not_a_meeting,,programming,
Best Podcast on Turf - Episode4,not_a_meeting,,programming,
Best Podcast on Turf Ep 8,not_a_meeting,,programming,
Best Podcast on Turf Episode 7,not_a_meeting,,programming,
Best Podcast on Turf: Episode 6,not_a_meeting,,programming,
Big Head Fred's Sugar House,not_a_meeting,,community_event,
Birds Birthing - Part 1,not_a_meeting,,library_program,
Birds Birthing - Part 2,not_a_meeting,,library_program,
Blues Guitar with Arthur James - Lunenburg Library,not_a_meeting,,library_program,
"BOA Program ""How We Can Help"" Presentation",not_a_meeting,,presentation,BOA reads as Board of Assessors: the same series covers tax exemptions
Board of Assessor,meeting,board-of-assessors,regular,
Board of Assessors,meeting,board-of-assessors,regular,
Board Of Assessors,meeting,board-of-assessors,regular,
Board of Assessors - CAMERA and ZOOM,meeting,board-of-assessors,regular,
Board of Assessors - ZOOM ONLY,meeting,board-of-assessors,regular,
Board of Assessors Meeting,meeting,board-of-assessors,regular,
Board of Assessors PARTIAL MEETING (power outage),meeting,board-of-assessors,regular,"the recording is partial, the meeting is not"
Board of Assessors Tax Exemption Presentation,not_a_meeting,,presentation,the Board of Assessors is the presenter; this is not the board convening
Board of Health,meeting,board-of-health,regular,
Board of Selectmen,meeting,select-board,regular,
Board of Selectmen Meeting,meeting,select-board,regular,
Boards Commissions Appreciation,not_a_meeting,,ceremony,
Bone Health Presentation at the Lunenburg Adult Activity Center,not_a_meeting,,senior_center,
"Book Club - ""Small Things Like These"", Season 1 Episode 4",not_a_meeting,,library_program,
"Book Club - ""The Alchemist"" S1 Episode 6",not_a_meeting,,library_program,
Book Club - Season 1 Episode 3,not_a_meeting,,library_program,
"Book Club - Season 1, Episode 1, December 2025",not_a_meeting,,library_program,
"Book Club - Season 1, Episode 7",not_a_meeting,,library_program,
Book Club Season 1 Episode 2,not_a_meeting,,library_program,
Boston Post Cane and Century Club Presentation - Charles Sanderson,not_a_meeting,,ceremony,
Boston Post Cane Ceremony,not_a_meeting,,ceremony,
Boston Post Cane Ceremony - Eagle House,not_a_meeting,,ceremony,
Boston Post Cane Recipient and Ceremony March 2018,not_a_meeting,,ceremony,
Boys & Girls Club Breakfast with Santa,not_a_meeting,,community_event,
"Boys and Girls Club - ""Are You Smarter Than Our 6th Graders""",not_a_meeting,,community_event,
BOYS AND GIRLS CLUB BIRTHDAY EVENT,not_a_meeting,,community_event,
Boys and Girls Club Shrieks and Krieks,not_a_meeting,,community_event,
BOYS LACROSSE,not_a_meeting,,school_sports,
BOYS LAX,not_a_meeting,,school_sports,
Boys Soccer vs Ayer Shirley,not_a_meeting,,school_sports,
Boys Varsity Basketball vs Oakmont,not_a_meeting,,school_sports,
Budget Task Force,meeting,budget-task-force,regular,
"Bullying, Harassment & CyberSafety",not_a_meeting,,presentation,
Cable Advisory Committee,meeting,cable-advisory-committee,regular,
Candlelight Vigil - Stop the Violence,not_a_meeting,,community_event,
Cannabis & You - Lunenburg Adult Activity Center,not_a_meeting,,senior_center,
Capital Planning,meeting,capital-planning-committee,regular,"abbreviated name, overlapping years with the full name"
Capital Planning Committee,meeting,capital-planning-committee,regular,
Capital Planning Meeting,meeting,capital-planning-committee,regular,
Capital Planning ZOOM,meeting,capital-planning-committee,regular,
Card Board Boat Race,not_a_meeting,,community_event,
Cardboard Boat Race,not_a_meeting,,community_event,
Cardboard Boat Race - August 3,not_a_meeting,,community_event,
Cardboard Boat Race - Lunenburg Town Beach,not_a_meeting,,community_event,
Cardboard Boat Race 2017,not_a_meeting,,community_event,
Cardiac Health - Lunenburg Adult Activity Center,not_a_meeting,,senior_center,
Caregivers Resource Connection,not_a_meeting,,senior_center,
Carlos Odria Concert - Lunenburg Library,not_a_meeting,,library_program,
Carlos Odria Duo - Lunenburg Library,not_a_meeting,,library_program,
Celebrating 100 Years - A History of Hickory Hills Lake,not_a_meeting,,community_event,
Celtic Christmas featuring Jeff Snow,not_a_meeting,,community_event,
Cemetary Commission,meeting,cemetery-commission,regular,misspelling
Cemetery Commission,meeting,cemetery-commission,regular,
Cemetery Commission (Audio starts at 5:14),meeting,cemetery-commission,regular,
Census Forum,not_a_meeting,,town_programming,
Central MA Gubernatorial Candidates Forum,not_a_meeting,,election_forum,
Central Mass Shark Tank Business Competition 2026 (Short),not_a_meeting,,community_event,
Century Club - Fran Therrien,not_a_meeting,,ceremony,
Century Club - Fred Cuddy's 100th Birthday,not_a_meeting,,ceremony,
Century Club - Mario Patacchiola's 100th Birthday,not_a_meeting,,ceremony,
Ch9 - Eagle House Announcements for February and March 2013,not_a_meeting,,senior_center,
Ch9 - THMS Podcast,not_a_meeting,,school_programming,
Charter Review,meeting,charter-review-committee,regular,
Charter Review Committee,meeting,charter-review-committee,regular,
Charter Review Committee 2,meeting,charter-review-committee,regular,
Charter Review Committee Hearing,meeting,charter-review-committee,hearing,
Charter Review Committee Meeting,meeting,charter-review-committee,regular,
Chief Sullivan - The Dangers of Illegal Fireworks,not_a_meeting,,psa,
Church of Asphodel Pagan Choir,not_a_meeting,,religious_service,
Citizens Duty to Honor Our Veterans - Flag Staking on Veteran Graves May 16th 12pm at North Cemetery,not_a_meeting,,community_event,
ClockWinders,not_a_meeting,,programming,
Closing Nashoba Valley Medical Center,not_a_meeting,,presentation,
Come to the Eagle House,not_a_meeting,,senior_center,
"Committee Confidential - Open Space Committee, Season 1 Episode 4",not_a_meeting,,programming,"a talk show ABOUT a committee, not that committee meeting"
"Committee Confidential - PACC, Season 1 Episode2",not_a_meeting,,programming,a talk show ABOUT the PACC
Committee Confidential - Season1 Episode 3 Select Board,not_a_meeting,,programming,a talk show ABOUT the Select Board
"Committee Confidential with Lili Marble - Season 1, Episode 1",not_a_meeting,,programming,
Committee Overviews Part 1,not_a_meeting,,programming,"an overview series about the town's committees, not a meeting"
Community Foudation of North Central MA Check Presentation to the Lunenburg Skate Park,not_a_meeting,,community_event,
Community News,not_a_meeting,,programming,the channel's own news show
Community News with Eric Foster,not_a_meeting,,programming,
Conrad's 3rd Annual Cruise Night 0.8.07.15,not_a_meeting,,community_event,
Conserervation Commission,meeting,conservation-commission,regular,misspelling
Conservation Commissiom,meeting,conservation-commission,regular,misspelling
Conservation Commission,meeting,conservation-commission,regular,
Conservation Commission - Partial Meeting,meeting,conservation-commission,regular,"the recording is partial, the meeting is not"
Conservation Commission / LandUse Meeting,meeting,conservation-commission,regular,
Conservation Commission Meeting,meeting,conservation-commission,regular,
Conservation Commission Part 1,meeting,conservation-commission,part,
Conservation Commission PART 1,meeting,conservation-commission,part,
Conservation Commission Part 2,meeting,conservation-commission,part,
Conservation Commission PART 2,meeting,conservation-commission,part,
Conservation Commission Part1,meeting,conservation-commission,part,
Conservation Commission Part2,meeting,conservation-commission,part,
Conservation Commission Small Town Forest Project Walk-Through,meeting,conservation-commission,site_visit,
Conservation Trails 2022,not_a_meeting,,town_programming,
ConservationComm Part1,meeting,conservation-commission,part,
ConservationComm Part2,meeting,conservation-commission,part,
ConservationCommission,meeting,conservation-commission,regular,
ConversationWithHarvey3,not_a_meeting,,programming,
Council on Aging,meeting,council-on-aging,regular,
Council On Aging,meeting,council-on-aging,regular,
Council On Aging (COA),meeting,council-on-aging,regular,
Council on Aging Committee Meeting,meeting,council-on-aging,regular,
CPR Overview with Chief Sullivan,not_a_meeting,,town_programming,
Crowe's Pasture Concert,not_a_meeting,,community_event,
Cruise Night,not_a_meeting,,community_event,
Cruise Night 2018,not_a_meeting,,community_event,
Dan Kerouac at the Eagle House,not_a_meeting,,senior_center,
Dan Kirouac - Lunenburg Adult Activity Center,not_a_meeting,,senior_center,
Dementia Friendly Lunenburg - Eagle House Memory Cafe,not_a_meeting,,senior_center,
Dementia Friendly Lunenburg Kickoff,not_a_meeting,,community_event,
Discovery Center Eagle House,not_a_meeting,,senior_center,
Discovery Center for Civic Engagement - Eagle House Senior Community Center,not_a_meeting,,senior_center,
Don't Miss the LHS Homecoming This Saturday,not_a_meeting,,psa,
Doreen Noble - Stand Up,not_a_meeting,,programming,
Drawbridge Puppet Theater Friday Night Concert Series - Stephanie Beach Magician,not_a_meeting,,community_event,
Drawbridge Puppet Theater Friday Night Concerts Series - Sneak Peek,not_a_meeting,,psa,
Drawbridge Puppet Theater Tour,not_a_meeting,,community_event,
Dueling Pianos with Adam Bergeron & Ethan Stone,not_a_meeting,,community_event,
Eagle House - Davis Bates Storyteller,not_a_meeting,,senior_center,
Eagle House 5th Annual HighTea,not_a_meeting,,senior_center,
Eagle House Announcements,not_a_meeting,,senior_center,
Eagle House Announcements - April / May 2013,not_a_meeting,,senior_center,
Eagle House Announcements - Dec 2014 / Jan 2015,not_a_meeting,,senior_center,
Eagle House Announcements - February 2015,not_a_meeting,,senior_center,
Eagle House Announcements - January/February 2014,not_a_meeting,,senior_center,
Eagle House Announcements - July / August 2014,not_a_meeting,,senior_center,
Eagle House Announcements - March/April 2015,not_a_meeting,,senior_center,
Eagle House Announcements - March/April and beyond,not_a_meeting,,senior_center,
Eagle House Announcements - September/October 2013,not_a_meeting,,senior_center,
Eagle House Announcements Sept/Oct 2014,not_a_meeting,,senior_center,
Eagle House Annual High Tea,not_a_meeting,,senior_center,
Eagle House Behind the Scenes,not_a_meeting,,senior_center,
Eagle House Brown Bag Lunch PickUp,not_a_meeting,,senior_center,
Eagle House Concert - The Sunny Side of Italy with Ruth Harcovitz,not_a_meeting,,senior_center,
"Eagle House December/January Announcements ""Sneak Peek""",not_a_meeting,,psa,
Eagle House Halloween Drive Thru,not_a_meeting,,senior_center,
Eagle House Master Storyteller,not_a_meeting,,senior_center,
Eagle House Promotion 2 - Winter 2016/2017,not_a_meeting,,senior_center,
Eagle House Promotion July 2022,not_a_meeting,,senior_center,
Eagle House Senior Center Announcements - December / January,not_a_meeting,,senior_center,
Eagle House Senior Community Center - 2nd Annual Tea,not_a_meeting,,senior_center,
Eagle House Senior Community Center - There's Always Something to Do,not_a_meeting,,senior_center,
Eagle House Senior Community Ctr. Volunteer Appreciation Day,not_a_meeting,,senior_center,
"EAGLE HOUSE SEPTEMBER 2011 ANNOUNCEMENTS ""SNEAK PEEK""",not_a_meeting,,senior_center,
Eagle House Tea Party,not_a_meeting,,senior_center,
Eagle House Thanksgiving Turkey DriveThru 2020,not_a_meeting,,senior_center,
Eagle House Trivia,not_a_meeting,,senior_center,
Eagle House Volunteer Appreciation and Legislative Breakfast,not_a_meeting,,senior_center,
Eagle House Volunteer Appreciation BBQ - August 2013,not_a_meeting,,senior_center,
Eagle House Volunteer Appreciation Luncheon,not_a_meeting,,senior_center,
Eagle House Volunteer Recognition Breakfast,not_a_meeting,,senior_center,
Earth Day Video 1,not_a_meeting,,school_programming,
Earth Friendly Gardening with New England Botanic Garden at Tower Hill,not_a_meeting,,library_program,
Economic Development Committee,meeting,economic-development-committee,regular,
Edible Wild Plants and Mushrooms In and Around Lunenburg with Russ Cohen,not_a_meeting,,library_program,
Elizabeth James-Perry - Artist in Residence LHS,not_a_meeting,,school_event,
Elsa,undetermined,,,"one word, no body and no subject"
Emergency Announcements/Update,not_a_meeting,,town_programming,
Emergency Selectmen Meeting,meeting,select-board,emergency,
Extended Day Field Trip to Public Access,not_a_meeting,,school_programming,
"Fake News, Alternative Truth, Credible Information - How to Tell?",not_a_meeting,,library_program,
FERC Meeting,meeting,ferc,hearing,"a federal agency proceeding, not a Lunenburg body"
Festival of Trees 11.21.25 and,not_a_meeting,,community_event,
FHS vs Lunenburg Girls Lacrosse 5 14 2024 - Produced by FATV,not_a_meeting,,school_sports,
Fin Com,meeting,finance-committee,regular,
Finance Budget,meeting,finance-committee,regular,
Finance Comittee,meeting,finance-committee,regular,misspelling
Finance Committe,meeting,finance-committee,regular,misspelling
Finance Committee,meeting,finance-committee,regular,
Finance Committee (Partial Meeting),meeting,finance-committee,regular,"the recording is partial, the meeting is not"
Finance Committee - Budget,meeting,finance-committee,regular,
Finance Committee - Budget Hearings,meeting,finance-committee,hearing,
Finance Committee - Budget Review,meeting,finance-committee,regular,
Finance Committee - Zoom Recording,meeting,finance-committee,regular,
Finance Committee 1,meeting,finance-committee,part,
Finance Committee Appointing Committe,meeting,finance-committee-appointing-committee,regular,misspelling
Finance Committee Appointing Committee,meeting,finance-committee-appointing-committee,regular,
Finance Committee Budget Meeting,meeting,finance-committee,regular,
Finance Committee Meeting,meeting,finance-committee,regular,
Finance Committee Meeting - Budget,meeting,finance-committee,regular,
Finance Committee Part1,meeting,finance-committee,part,
Finance Committee Part2,meeting,finance-committee,part,
Fincom,meeting,finance-committee,regular,
fincom,meeting,finance-committee,regular,lower-case title with the date run together
Fire Safety,not_a_meeting,,psa,
Fitness with Wayne - Episode 2,not_a_meeting,,programming,
Fitness with Wayne - Episode 4,not_a_meeting,,programming,
Fitness with Wayne - Episode 5,not_a_meeting,,programming,
Fitness with Wayne - Episode1,not_a_meeting,,programming,
"Fitnessw Wayne - Season 2, Episode 1",not_a_meeting,,programming,
FlickWish Showdown at the Lunenburg Boys and Girls Club,not_a_meeting,,community_event,
Flynn Cohen and Matt Heaton in Concert,not_a_meeting,,community_event,
Fnance Committe Meeting,meeting,finance-committee,regular,misspelling
FootballvsMaynard,not_a_meeting,,school_sports,
FootballvsNorthbrdg,not_a_meeting,,school_sports,
Free Throw Contest,not_a_meeting,,community_event,
Friday Night Concert Series at Drawbridge Puppet Theater - Tom Beaudreau,not_a_meeting,,community_event,
From Gutenburg to Lunenburg - Historical Society Presentation,not_a_meeting,,community_event,
FSU Undergraduate Commencement -Produced by Fitchburg Public Television,not_a_meeting,,school_event,"Fitchburg State University, produced by another channel"
Gaming Buds - Episode 3,not_a_meeting,,programming,
Gaming Buds - Episode 4,not_a_meeting,,programming,
Gaming Buds - Episode 5 Spider Man,not_a_meeting,,programming,
Gaming Buds - Episode 6 Spider Man,not_a_meeting,,programming,
Gaming Buds - Episode1,not_a_meeting,,programming,
Gaming Buds Ep. 7 Star Wars Jedi Power Battles,not_a_meeting,,programming,
Gaming Buds: Lego Batman - Ep. 9,not_a_meeting,,programming,
Gaming Buds: Star Wars Jedi Power Battles Part 2 - Ep. 8,not_a_meeting,,programming,
Gen Nass Beach House Dedication,not_a_meeting,,ceremony,
George Boutwell - Hiding in Plain Sight,not_a_meeting,,community_event,
Girl Scout Media Project - April 2016,not_a_meeting,,community_event,
Girls Lax,not_a_meeting,,school_sports,
Girls Soccer V Bromfield,not_a_meeting,,school_sports,
Girls Soccer V N Middlesex,not_a_meeting,,school_sports,
Girls Soccer vs St Bernards,not_a_meeting,,school_sports,
Girls Varsity Basketball vs Oakmont,not_a_meeting,,school_sports,
GirlsLacrossevsOakmont,not_a_meeting,,school_sports,
Great Cardboard Boat Race,not_a_meeting,,community_event,
Green Communities Task Force,meeting,green-community-task-force,regular,
Green Community Task Force,meeting,green-community-task-force,regular,
Green Leaf Botanicals Community Outreach,not_a_meeting,,applicant_outreach,a licence applicant's community outreach session
Groton Regional Tourism Conference,not_a_meeting,,presentation,
Half Price Stories: A Conversation with Harvey Part1,not_a_meeting,,programming,
"Half Price Stories: A Conversation With Harvey, Part 2",not_a_meeting,,programming,
Happiness at Any Age Seminar with David Guydan,not_a_meeting,,senior_center,
Happy Fall from Lunenburg Public Access,not_a_meeting,,psa,
Health Update Winter 2025,not_a_meeting,,town_programming,
Healthy Lifestyle Choices as We Age,not_a_meeting,,senior_center,
Heritage of Turkey Hills Walking Tour - Third Grade Event,not_a_meeting,,school_event,
Hickory Hills Boat Parade,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2014,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2015,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2017,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2018,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2020,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2021,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2022,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2023,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2024,not_a_meeting,,community_event,
Hickory Hills Boat Parade 2026,not_a_meeting,,community_event,
Hickory Hills BoatParade 2013,not_a_meeting,,community_event,
HickoryHills2012,not_a_meeting,,community_event,
High Tea at the Lunenburg Adult Activity Center,not_a_meeting,,senior_center,
Historic Women of Lunenburg,not_a_meeting,,community_event,
Historical Commission,meeting,historical-commission,regular,
Historical Commission Meeting,meeting,historical-commission,regular,
Historical Commission Visioning Session,meeting,historical-commission,workshop,
Historical Society - Eagle House History,not_a_meeting,,community_event,
Historical Society - The Arnold Litch Family,not_a_meeting,,community_event,
History of Coins,not_a_meeting,,library_program,
History of Devens,not_a_meeting,,community_event,
History of the Historian with Gordon Edes - Eagle House Senior Center,not_a_meeting,,senior_center,
Holidays with the Salvation Army,not_a_meeting,,nonprofit,
"Homecoming 2011 - ""Sneak Peek"" Video",not_a_meeting,,psa,
Homecoming Football Game,not_a_meeting,,school_sports,
Homecoming Football Game vs Littleton,not_a_meeting,,school_sports,
Homecoming Parade 2012 - Sneak Peek,not_a_meeting,,psa,
How Community Media is Funded,not_a_meeting,,psa,
How to De Stress Your Life at Eagle House,not_a_meeting,,senior_center,
Hungrytown Concert,not_a_meeting,,community_event,
Ice Safety Presentation - Eagle House Senior Center - January 2016,not_a_meeting,,senior_center,
Informational Symposium,undetermined,,,the title says nothing about who convened it or what it was about
Interview with Dr. Robin Chandler - Artist and New Member of the Lunenburg Cultural Council,not_a_meeting,,programming,
Intro,undetermined,,,"one word, no body and no subject"
Intro to Libby at LAAC,not_a_meeting,,senior_center,
Irish Step Dancers at Lunenburg Adult Activity Center,not_a_meeting,,senior_center,
Irish Step Dancers at the Lunenburg Adult Activity Center,not_a_meeting,,senior_center,
Jake's Untitled Guitar Show,not_a_meeting,,programming,
Jake's Untitled Guitar Show - Episode 2,not_a_meeting,,programming,
Jane Doyle Playground Dedication - Turkey Hill School,not_a_meeting,,ceremony,
Jazz Band Concert,not_a_meeting,,school_event,
John Hedly - Beekeeping Lunenburg Library,not_a_meeting,,library_program,
Joslin Lesser Associates - Lunenburg360 Interview,not_a_meeting,,programming,
JP and Lynn - A Love Story,not_a_meeting,,programming,
Kate Chadbourne,not_a_meeting,,library_program,
"Kate Chadbourne - ""A November Visit""",not_a_meeting,,library_program,
Kate Chadbourne - Irish Poetry and Song,not_a_meeting,,library_program,
Kate Duffy LIVE!! Sponsored by Lunenburg ROAR,not_a_meeting,,nonprofit,
Kay Previte's 100th Birthday at the AAC (Eagle House),not_a_meeting,,senior_center,
Kayla's Stories - Season 1 Episode 3,not_a_meeting,,programming,
"Kayla's Stories - Season 1, Episode 1",not_a_meeting,,programming,
Kayla's Stories S1 E4,not_a_meeting,,programming,
Kayla's Stories S1 Ep 2,not_a_meeting,,programming,
Keep Safe Keep Warm,not_a_meeting,,psa,
Keep Warm Keep Safe - Lunenburg Fire Department PSA,not_a_meeting,,psa,
Kevin Szocik Golf Challenge - Scholarship Fundraiser,not_a_meeting,,community_event,
Knight's Roundtable S1Ep3 - Preschool and Kindergarten Registration,not_a_meeting,,school_programming,
"Knight's Roundtable Season 1, Episode 2",not_a_meeting,,school_programming,
"Knight's Roundtable Season 1, Episode 5",not_a_meeting,,school_programming,
"Knight's Roundtable with Dr. Kate Burnham - ""Interface"", Season 1 Episode 1",not_a_meeting,,school_programming,
"Knight's Roundtable, Season 2, Episode 1 - Best Buddies",not_a_meeting,,school_programming,
"Knights Roundtable - Extended Day Program, Season 1 Episode 6",not_a_meeting,,school_programming,
"Knights Roundtable - Kindness Rocks, Season 2 Episode 2",not_a_meeting,,school_programming,
"Knights Roundtable - NEASC Accreditation Visit, S2 Episode 4",not_a_meeting,,school_programming,
"Knights Roundtable - Season 2, Episode 3",not_a_meeting,,school_programming,
"Knights Roundtable Season 1, Episode 4 - ESL Services",not_a_meeting,,school_programming,
Knights' Days preview - LHS Music Department,not_a_meeting,,school_programming,
KNIGHTS' DAYS: LHS FOREIGN LANGUAGE PROGRAM,not_a_meeting,,school_programming,
Kushmerek Connection - Lunenburg Police Chief Jeffrey Thibodeau,not_a_meeting,,programming,
"L360 - John Dupre Interview, Part2",not_a_meeting,,programming,
LAAC Holiday Luncheon and Sing-A-Long,not_a_meeting,,senior_center,
Lance May Cemetery Garage Dedication,not_a_meeting,,ceremony,
Lane Property Acquisition Overview - Town Meeting Vote,not_a_meeting,,presentation,
"LaTabella - Caesar Salad, Bow Tie Pasta and Steak",not_a_meeting,,programming,
LaTabella - Chicken Piccata,not_a_meeting,,programming,
LaTabella - Jumbo Meatballs,not_a_meeting,,programming,
LaTabella Cornish Game Hens,not_a_meeting,,programming,
LaTabella Flounder Meuniere,not_a_meeting,,programming,
LaTabella Roast Pork and a Visit to Hollis Hills Farm,not_a_meeting,,programming,
LaTabella Steak Pizziaola,not_a_meeting,,programming,
LaTabella with Mario & Phyllis - Phyllis' Bountiful Garden Episode 4,not_a_meeting,,programming,
LaTabella with Mario & Phyllis Cannelloni,not_a_meeting,,programming,
LaTabella with Mario and Phyllis - Gnocchi: Episode 3,not_a_meeting,,programming,
LaTabella with Mario and Phyllis - Making Pumpkin Ravioli,not_a_meeting,,programming,
LaTabella with Mario and Phyllis - Nona's Sunday Supper,not_a_meeting,,programming,
LaTabella with Mario and Phyllis - Polenta,not_a_meeting,,programming,
LaTabella with Mario and Phyllis - Roasted Sausage,not_a_meeting,,programming,
LaTabella with Mario and Phyllis Andella - Episode 1 Making Fresh Pasta,not_a_meeting,,programming,
"LaTabella with Mario and Phyllis Andella - Making Fresh Pasta ""Sneak Peek""",not_a_meeting,,psa,
