video_id,channel_rank,title,url,title_stem,kind,category,board_count,meeting_date,date_source,date_flag,note,classification_source,classified_by,classified_at
qp-NjUCVwuc,11,Open Space Committee 09.09.26,https://www.youtube.com/watch?v=qp-NjUCVwuc,Open Space Committee,meeting,regular,1,2026-09-09,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
wkIczMuIDqA,12,Water District 09.08.26,https://www.youtube.com/watch?v=wkIczMuIDqA,Water District,meeting,regular,1,2026-09-08,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
BgwomyYoCJk,13,Stormwater Task Force 09.08.26 Part 2,https://www.youtube.com/watch?v=BgwomyYoCJk,Stormwater Task Force Part 2,undetermined,,0,2026-09-08,title (mm.dd.yy),,no decision recorded,no decision recorded,claude-opus-5 (1M context),2026-09-08
rGZsddKMXyM,14,Stormwater Task Force 09.08.26 Part 1,https://www.youtube.com/watch?v=rGZsddKMXyM,Stormwater Task Force Part 1,undetermined,,0,2026-09-08,title (mm.dd.yy),,no decision recorded,no decision recorded,claude-opus-5 (1M context),2026-09-08
VMfaXMyKBII,15,Sewer Commission 09.08.26,https://www.youtube.com/watch?v=VMfaXMyKBII,Sewer Commission,meeting,regular,1,2026-09-08,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
f1AbB5ZEQ5Q,16,PACC 09.08.26,https://www.youtube.com/watch?v=f1AbB5ZEQ5Q,PACC,meeting,regular,1,2026-09-08,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
z6Wp_dJsdtA,17,Council on Aging  09.08.26,https://www.youtube.com/watch?v=z6Wp_dJsdtA,Council on Aging,meeting,regular,1,2026-09-08,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
x4HDKD0Ol7c,18,Personnel Committee 09.03.26,https://www.youtube.com/watch?v=x4HDKD0Ol7c,Personnel Committee,meeting,regular,1,2026-09-03,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
MHKqD8QEBnU,19,"Open for Business - Ruby Donut, Season 1 Episode 4",https://www.youtube.com/watch?v=MHKqD8QEBnU,"Open for Business - Ruby Donut, Season 1 Episode 4",not_a_meeting,programming,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
UgUpJJb4cPw,20,Special Town Meeting 09.03.26,https://www.youtube.com/watch?v=UgUpJJb4cPw,Special Town Meeting,meeting,special,1,2026-09-03,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
9E1d1VRhxCs,21,Conservation Commission 09.02.26,https://www.youtube.com/watch?v=9E1d1VRhxCs,Conservation Commission,meeting,regular,1,2026-09-02,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
9SuAiiwPAC0,22,"Book Club  - Season 1, Episode 7",https://www.youtube.com/watch?v=9SuAiiwPAC0,"Book Club - Season 1, Episode 7",not_a_meeting,library_program,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
kG4KE9VgCdY,23,Select Board 09.01.26,https://www.youtube.com/watch?v=kG4KE9VgCdY,Select Board,meeting,regular,1,2026-09-01,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
DcEdUB3CsCU,24,Personnel Committee 08.31.26,https://www.youtube.com/watch?v=DcEdUB3CsCU,Personnel Committee,meeting,regular,1,2026-08-31,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
N5dSxGy3zZs,25,Stormwater Task Force 08.31.26,https://www.youtube.com/watch?v=N5dSxGy3zZs,Stormwater Task Force,meeting,regular,1,2026-08-31,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
kY5j-uu0MRo,26,Municipal Building Design Committee 08.31.26,https://www.youtube.com/watch?v=kY5j-uu0MRo,Municipal Building Design Committee,meeting,regular,1,2026-08-31,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
dK-gjM3mlsA,27,"Lunenburg Storytime - The Books We Love, Season 7 Episode 1",https://www.youtube.com/watch?v=dK-gjM3mlsA,"Lunenburg Storytime - The Books We Love, Season 7 Episode 1",not_a_meeting,library_program,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
guec8XH_xQc,28,Touch-A-Truck 08.28.26,https://www.youtube.com/watch?v=guec8XH_xQc,Touch-A-Truck,not_a_meeting,community_event,0,2026-08-28,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
LGdwK249dSA,29,Finance Committee 08.27.26,https://www.youtube.com/watch?v=LGdwK249dSA,Finance Committee,meeting,regular,1,2026-08-27,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
gzjEdL1J5N0,30,Water District 08.26.26,https://www.youtube.com/watch?v=gzjEdL1J5N0,Water District,meeting,regular,1,2026-08-26,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
lO_rw3eY5D8,31,Trust Funds Commission 08.27.26,https://www.youtube.com/watch?v=lO_rw3eY5D8,Trust Funds Commission,meeting,regular,1,2026-08-27,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
J_kvfs3s0UE,32,School Committee 08.26.26,https://www.youtube.com/watch?v=J_kvfs3s0UE,School Committee,meeting,regular,1,2026-08-26,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
myQGZh_udNc,33,Parks Commission 08.26.26,https://www.youtube.com/watch?v=myQGZh_udNc,Parks Commission,meeting,regular,1,2026-08-26,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
62qwUKHEBro,34,Zoning Board of Appeals 08.26.26,https://www.youtube.com/watch?v=62qwUKHEBro,Zoning Board of Appeals,meeting,regular,1,2026-08-26,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
Ki8TszCpmCY,35,Sewer Commission 08.25.26,https://www.youtube.com/watch?v=Ki8TszCpmCY,Sewer Commission,meeting,regular,1,2026-08-25,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
c6F0SZVeDMc,36,Kevin Szocik Golf Challenge - Scholarship Fundraiser,https://www.youtube.com/watch?v=c6F0SZVeDMc,Kevin Szocik Golf Challenge - Scholarship Fundraiser,not_a_meeting,community_event,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
vZDJ6B71qqI,37,Planning Board 08.24.26,https://www.youtube.com/watch?v=vZDJ6B71qqI,Planning Board,meeting,regular,1,2026-08-24,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
eGwEV-6mPI0,38,Touch-A-Truck 2026 Promo,https://www.youtube.com/watch?v=eGwEV-6mPI0,Touch-A-Truck 2026 Promo,not_a_meeting,psa,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
9B8uWI7kA7w,39,Cemetery Commission 08.19.26,https://www.youtube.com/watch?v=9B8uWI7kA7w,Cemetery Commission,meeting,regular,1,2026-08-19,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
cNWQtYXh2fQ,40,Conservation Commission 08.19.26,https://www.youtube.com/watch?v=cNWQtYXh2fQ,Conservation Commission,meeting,regular,1,2026-08-19,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
revUfCcR4IU,41,Select Board Public Hearing  -  Dog Complaint  08.18.26,https://www.youtube.com/watch?v=revUfCcR4IU,Select Board Public Hearing - Dog Complaint,meeting,hearing,1,2026-08-18,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
YnQcT2BMWS4,42,Select Board 08.18.26,https://www.youtube.com/watch?v=YnQcT2BMWS4,Select Board,meeting,regular,1,2026-08-18,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
149hE7ox_cY,43,Municipal Building Design Committee 08.17.26,https://www.youtube.com/watch?v=149hE7ox_cY,Municipal Building Design Committee,meeting,regular,1,2026-08-17,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
v4qvpgKlYRg,44,Finance Committee 08.13.26,https://www.youtube.com/watch?v=v4qvpgKlYRg,Finance Committee,meeting,regular,1,2026-08-13,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
ezUwmNgj3w8,45,Water District 08.12.26,https://www.youtube.com/watch?v=ezUwmNgj3w8,Water District,meeting,regular,1,2026-08-12,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
gIzjXrZwjYA,46,Cable Advisory Committee 08.13.26,https://www.youtube.com/watch?v=gIzjXrZwjYA,Cable Advisory Committee,meeting,regular,1,2026-08-13,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
C7njxgJv88A,47,Stormwater Task Force 08.12.26,https://www.youtube.com/watch?v=C7njxgJv88A,Stormwater Task Force,meeting,regular,1,2026-08-12,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
uNUrTAXxIF8,48,Zoning Board of Appeals 08.12.26,https://www.youtube.com/watch?v=uNUrTAXxIF8,Zoning Board of Appeals,meeting,regular,1,2026-08-12,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
mOg7SLPGUMU,49,Gen Nass Beach House Dedication 08.11.26,https://www.youtube.com/watch?v=mOg7SLPGUMU,Gen Nass Beach House Dedication,not_a_meeting,ceremony,0,2026-08-11,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
oZBmdfw0PB4,50,Jazz Band Concert 08.10.26,https://www.youtube.com/watch?v=oZBmdfw0PB4,Jazz Band Concert,not_a_meeting,school_event,0,2026-08-10,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
a8-FjUsW9iw,51,Council on Aging 08.11.26,https://www.youtube.com/watch?v=a8-FjUsW9iw,Council on Aging,meeting,regular,1,2026-08-11,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
7CbIQ2xhEw4,52,Select Board Meeting  - Site Visit to Brooks House and TCP 08.11.26,https://www.youtube.com/watch?v=7CbIQ2xhEw4,Select Board Meeting - Site Visit to Brooks House and TCP,meeting,site_visit,1,2026-08-11,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
ESm5-N4Curs,53,Sewer Commission 08.11.26,https://www.youtube.com/watch?v=ESm5-N4Curs,Sewer Commission,meeting,regular,1,2026-08-11,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
UTAi2_3RDYU,54,Select Board 08.10.26,https://www.youtube.com/watch?v=UTAi2_3RDYU,Select Board,meeting,regular,1,2026-08-10,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
KZf5AVu8sjQ,55,Planning Board 08.10.26,https://www.youtube.com/watch?v=KZf5AVu8sjQ,Planning Board,meeting,regular,1,2026-08-10,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
RdQnC7CM-Dg,56,Senior Real Estate Tax Exemption Means Testing Presentation 08.10.26,https://www.youtube.com/watch?v=RdQnC7CM-Dg,Senior Real Estate Tax Exemption Means Testing Presentation,not_a_meeting,presentation,0,2026-08-10,title (mm.dd.yy),,no body named as convening,model,claude-opus-5 (1M context),2026-09-08
GZqWkWkz8IY,57,Conservation Commission 08.05.26,https://www.youtube.com/watch?v=GZqWkWkz8IY,Conservation Commission,meeting,regular,1,2026-08-05,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
N_IaHAJniy0,58,Board of Assessors 08.05.26,https://www.youtube.com/watch?v=N_IaHAJniy0,Board of Assessors,meeting,regular,1,2026-08-05,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
yz0b6T1GdWA,59,Select Board 08.04.26,https://www.youtube.com/watch?v=yz0b6T1GdWA,Select Board,meeting,regular,1,2026-08-04,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
QDMwtSUlVDY,60,Personnel Committee 08.03.26,https://www.youtube.com/watch?v=QDMwtSUlVDY,Personnel Committee,meeting,regular,1,2026-08-03,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
YJ8CLX_0gLA,61,Municipal Building Design Committee 08.03.26,https://www.youtube.com/watch?v=YJ8CLX_0gLA,Municipal Building Design Committee,meeting,regular,1,2026-08-03,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
gc8unwrEL3k,62,Cemetery Commission 07.30.26,https://www.youtube.com/watch?v=gc8unwrEL3k,Cemetery Commission,meeting,regular,1,2026-07-30,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
wR4gBkOqIaE,63,School Committee 07.29.26,https://www.youtube.com/watch?v=wR4gBkOqIaE,School Committee,meeting,regular,1,2026-07-29,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
QBqOdsKYHlA,64,Celebrating 100 Years  - A History of Hickory Hills Lake  07.25.26,https://www.youtube.com/watch?v=QBqOdsKYHlA,Celebrating 100 Years - A History of Hickory Hills Lake,not_a_meeting,community_event,0,2026-07-25,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
88WCAj-HMbk,65,Sewer Commission 07.28.26,https://www.youtube.com/watch?v=88WCAj-HMbk,Sewer Commission,meeting,regular,1,2026-07-28,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
1fNLbfV7UT4,66,Select Board 07.28.26,https://www.youtube.com/watch?v=1fNLbfV7UT4,Select Board,meeting,regular,1,2026-07-28,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
ax-r_7JAUZU,67,"Lunenburg Storytime - The Books We Love, Season 6 Episode 12",https://www.youtube.com/watch?v=ax-r_7JAUZU,"Lunenburg Storytime - The Books We Love, Season 6 Episode 12",not_a_meeting,library_program,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
5v_3VPZyn6U,68,Select Board 07.27.26,https://www.youtube.com/watch?v=5v_3VPZyn6U,Select Board,meeting,regular,1,2026-07-27,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
2GIMJnxvJyg,69,Planning Board 07.27.26,https://www.youtube.com/watch?v=2GIMJnxvJyg,Planning Board,meeting,regular,1,2026-07-27,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
UvO292Q4t1E,70,Trust Funds Commission 07.24.26,https://www.youtube.com/watch?v=UvO292Q4t1E,Trust Funds Commission,meeting,regular,1,2026-07-24,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
bVxYojcK0bY,71,"Book Club - ""The Alchemist"" S1 Episode 6",https://www.youtube.com/watch?v=bVxYojcK0bY,"Book Club - ""The Alchemist"" S1 Episode 6",not_a_meeting,library_program,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
wKriZio5rGo,72,Water District 07.22.26,https://www.youtube.com/watch?v=wKriZio5rGo,Water District,meeting,regular,1,2026-07-22,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
cUYXjTh0Jq8,73,Cable Advisory Committee 07.23.26,https://www.youtube.com/watch?v=cUYXjTh0Jq8,Cable Advisory Committee,meeting,regular,1,2026-07-23,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
KZQrOju5CWo,74,Finance Comittee 07.23.26,https://www.youtube.com/watch?v=KZQrOju5CWo,Finance Comittee,meeting,regular,1,2026-07-23,title (mm.dd.yy),,misspelling,model,claude-opus-5 (1M context),2026-09-08
QhMt1oE8eZo,75,Parks Commission 07.22.26,https://www.youtube.com/watch?v=QhMt1oE8eZo,Parks Commission,meeting,regular,1,2026-07-22,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
COzfPKYMWPA,76,Select Board 07.21.26,https://www.youtube.com/watch?v=COzfPKYMWPA,Select Board,meeting,regular,1,2026-07-21,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
Sw4V96eWV0w,77,Lunenburg Band Concert 07.20.26,https://www.youtube.com/watch?v=Sw4V96eWV0w,Lunenburg Band Concert,not_a_meeting,school_event,0,2026-07-20,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
FvJj-S-iEug,78,Planning Board 07.20.26,https://www.youtube.com/watch?v=FvJj-S-iEug,Planning Board,meeting,regular,1,2026-07-20,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
uLFRcL_1gRs,79,Water District 07.15.26,https://www.youtube.com/watch?v=uLFRcL_1gRs,Water District,meeting,regular,1,2026-07-15,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
Dvp2YlTJOXo,80,School Committee 07.15.26,https://www.youtube.com/watch?v=Dvp2YlTJOXo,School Committee,meeting,regular,1,2026-07-15,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
tlJWseLMwCE,81,Select Board 07.14.26,https://www.youtube.com/watch?v=tlJWseLMwCE,Select Board,meeting,regular,1,2026-07-14,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
AKgxsYGcX0s,82,Sewer Commission 07.14.26,https://www.youtube.com/watch?v=AKgxsYGcX0s,Sewer Commission,meeting,regular,1,2026-07-14,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
qz_uoeyPznQ,83,UMass Health Alliance - Home Health and Hospice 07.14.26,https://www.youtube.com/watch?v=qz_uoeyPznQ,UMass Health Alliance - Home Health and Hospice,not_a_meeting,presentation,0,2026-07-14,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
R5R3xadnDc4,84,Council on Aging 07.14.26,https://www.youtube.com/watch?v=R5R3xadnDc4,Council on Aging,meeting,regular,1,2026-07-14,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
W7mdR4klO4U,85,Liberty Bones Band  07.13.26,https://www.youtube.com/watch?v=W7mdR4klO4U,Liberty Bones Band,not_a_meeting,community_event,0,2026-07-13,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
vl9pZDQHImo,86,Planning Board 07.13.26,https://www.youtube.com/watch?v=vl9pZDQHImo,Planning Board,meeting,regular,1,2026-07-13,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
WVuUsWyBmqA,87,Zoning Board of Appeals 07.08.26,https://www.youtube.com/watch?v=WVuUsWyBmqA,Zoning Board of Appeals,meeting,regular,1,2026-07-08,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
eqCVy5g-wWE,88,Select Board 07.07.26,https://www.youtube.com/watch?v=eqCVy5g-wWE,Select Board,meeting,regular,1,2026-07-07,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
uMBz-Ttctic,89,Hickory Hills Boat Parade 2026,https://www.youtube.com/watch?v=uMBz-Ttctic,Hickory Hills Boat Parade 2026,not_a_meeting,community_event,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
KVzRSrdc5pc,90,Personnel Committee 07.06.26,https://www.youtube.com/watch?v=KVzRSrdc5pc,Personnel Committee,meeting,regular,1,2026-07-06,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
CqrerhpDpWk,91,Finance Committee Appointing Committe 07.06.26,https://www.youtube.com/watch?v=CqrerhpDpWk,Finance Committee Appointing Committe,meeting,regular,1,2026-07-06,title (mm.dd.yy),,misspelling,model,claude-opus-5 (1M context),2026-09-08
socACxBYufE,92,Welcome to Lunenburg by Victoria Leger  - Lunenburg Library  July 2026,https://www.youtube.com/watch?v=socACxBYufE,Welcome to Lunenburg by Victoria Leger - Lunenburg Library July 2026,not_a_meeting,library_program,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
un0bhVKAzGs,93,Conservation Commission 07.01.26,https://www.youtube.com/watch?v=un0bhVKAzGs,Conservation Commission,meeting,regular,1,2026-07-01,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
ZHueTsTeRmU,94,Board of Assessors 07.01.26,https://www.youtube.com/watch?v=ZHueTsTeRmU,Board of Assessors,meeting,regular,1,2026-07-01,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
pKH3IAwM5h8,95,"Lunenburg Storytime - The Books We Love, Season 6 Episode 11",https://www.youtube.com/watch?v=pKH3IAwM5h8,"Lunenburg Storytime - The Books We Love, Season 6 Episode 11",not_a_meeting,library_program,0,,unknown,,,model,claude-opus-5 (1M context),2026-09-08
TRmRLJKYE-U,96,Sewer Commission 06.30.26,https://www.youtube.com/watch?v=TRmRLJKYE-U,Sewer Commission,meeting,regular,1,2026-06-30,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
O1ypL39O-TM,97,Select Board 06.30.26,https://www.youtube.com/watch?v=O1ypL39O-TM,Select Board,meeting,regular,1,2026-06-30,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
A3O6NwydHCs,98,Municipal Building Design Committee 06.29.26,https://www.youtube.com/watch?v=A3O6NwydHCs,Municipal Building Design Committee,meeting,regular,1,2026-06-29,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
jUunqV11dU4,99,Cemetery Commission 06.25.26,https://www.youtube.com/watch?v=jUunqV11dU4,Cemetery Commission,meeting,regular,1,2026-06-25,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
Os3tXraX6hA,100,Water District 06.24.26,https://www.youtube.com/watch?v=Os3tXraX6hA,Water District,meeting,regular,1,2026-06-24,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
ZS-tW_drdqE,101,School Committee 06.24.26,https://www.youtube.com/watch?v=ZS-tW_drdqE,School Committee,meeting,regular,1,2026-06-24,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
46iJXIejnrw,102,Stormwater Task Force 06.24.26,https://www.youtube.com/watch?v=46iJXIejnrw,Stormwater Task Force,meeting,regular,1,2026-06-24,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
sYBbdYKeNe4,103,Parks Commission 06.24.26,https://www.youtube.com/watch?v=sYBbdYKeNe4,Parks Commission,meeting,regular,1,2026-06-24,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
SkWt4MhuLnA,104,Zoning Board of Appeals 06.24.26,https://www.youtube.com/watch?v=SkWt4MhuLnA,Zoning Board of Appeals,meeting,regular,1,2026-06-24,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
ZpNGqXJUFec,105,Planning Board 06.22.26,https://www.youtube.com/watch?v=ZpNGqXJUFec,Planning Board,meeting,regular,1,2026-06-22,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
rDm3pV3tJNs,106,Conservation Commission 06.17.26,https://www.youtube.com/watch?v=rDm3pV3tJNs,Conservation Commission,meeting,regular,1,2026-06-17,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
dJfFYbktFzs,107,Select Board 06.16.26,https://www.youtube.com/watch?v=dJfFYbktFzs,Select Board,meeting,regular,1,2026-06-16,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
5gIok_72gyE,108,Municipal Building Design Committee 06.15.26,https://www.youtube.com/watch?v=5gIok_72gyE,Municipal Building Design Committee,meeting,regular,1,2026-06-15,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
7k6khgLOCY8,109,Select Board 06.15.26,https://www.youtube.com/watch?v=7k6khgLOCY8,Select Board,meeting,regular,1,2026-06-15,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
1VEth1wrPUY,110,American Flag Retirement Ceremony 06.14.26,https://www.youtube.com/watch?v=1VEth1wrPUY,American Flag Retirement Ceremony,not_a_meeting,ceremony,0,2026-06-14,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
mEbZWVdEnQU,111,Police/Fire Memorial 06.14.26,https://www.youtube.com/watch?v=mEbZWVdEnQU,Police/Fire Memorial,not_a_meeting,ceremony,0,2026-06-14,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
saZ3-xhIGw4,112,Architectural Preservation District Commission 06.11.26,https://www.youtube.com/watch?v=saZ3-xhIGw4,Architectural Preservation District Commission,meeting,regular,1,2026-06-11,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
UQXjJNVXTC8,113,Finance Committee 06.11.26,https://www.youtube.com/watch?v=UQXjJNVXTC8,Finance Committee,meeting,regular,1,2026-06-11,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
LNEq_Bcx4ac,114,Open Space 05.13.26,https://www.youtube.com/watch?v=LNEq_Bcx4ac,Open Space,meeting,regular,1,2026-05-13,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
4xhT6FUJXCE,115,Water District 06.10.26,https://www.youtube.com/watch?v=4xhT6FUJXCE,Water District,meeting,regular,1,2026-06-10,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
4GrzmgQrIew,116,Zoning Board of Appeals 06.10.26,https://www.youtube.com/watch?v=4GrzmgQrIew,Zoning Board of Appeals,meeting,regular,1,2026-06-10,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
