block,item,scope,status,figure,fte,date,who,why,evidence,note
cuts,Middle/high school — assistant principal,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,"added back into the Town Manager’s budget 5 Mar, per the list"
cuts,Middle/high school — secretary,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,Middle/high school — athletic secretary,school,decided,,0.5,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,High school — athletics assistant coach,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,High school — math teacher,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,High school — science teacher,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,High school — physical education teacher,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,"High school — special education teacher, Bridge program",school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,"High school — music teacher, reduced",school,decided,,0.4,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,High school — paraprofessional,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,High school — paraprofessional (second),school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,High school — paraprofessional (third),school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,High school — paraprofessional (fourth),school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,ACE — paraprofessional,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,ACE — paraprofessional (second),school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,District — BCBA,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,District — maintenance,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,District — part-time custodian,school,decided,,0.5,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,District — summer student custodian,school,decided,,0.1,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,"District — IT tech assistant, reduced",school,decided,,0.5,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,District — MTSS instructional specialist/coach,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,District — Director of Finance & Administration restructured,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,Ski programme (a co-op),school,came_off,,,2025-03-12,School Committee vote,"tabled, then kept on the condition the athletic director finds a fairer cost-sharing arrangement with participants",school-committee/2025-03-12@4271,
cuts,"Band transportation, middle and high school",school,decided,"$3,000 (as heard)",,2025-03-12,the superintendent,,school-committee/2025-03-12@2233,
cuts,"Athletic transportation, reduced",school,decided,,,2025-03-12,the superintendent,,school-committee/2025-03-12@2256,
cuts,No town cut list was published for FY26,town,note,,,2025-05-03,the town,the town’s FY26 budget carried no published list of reductions; the Finance Committee’s post-Town-Meeting notes call the three large money articles “overwhelming”,doc:sources/meetings/text/finance-committee/2025-04-03-minutes-7134.txt,internal: nothing found in town-budget/ for FY26 beyond goals and the forecast
override,A citizens’ petition puts an override on the warrant — Article 11,both,step,"$2,099,337",,2025-04-03,"residents, by petition","a Proposition 2½ override for the schools, by petition rather than by the Select Board",doc:sources/meetings/text/finance-committee/2025-04-03-minutes-7134.txt,
override,Finance Committee recommends disapproval,both,step,"$2,099,337",,2025-04-03,Finance Committee vote,"6–0, by roll call",doc:sources/meetings/text/finance-committee/2025-04-03-minutes-7134.txt,
override,"Town Meeting approves Article 11, contingent on a ballot vote",both,step,"$2,099,337",,2025-05-03,Annual Town Meeting,“that citizen petition held the day on Saturday” — an appropriation with no revenue behind it until voters approve the override,doc:sources/meetings/text/school-committee/2025-05-07-minutes-7207.txt,as recounted by a School Committee member at the 7 May meeting; the town’s Town Meeting record is not in our archive
override,The Select Board does not call a special election,both,step,,,2025-05-06,Select Board,"“the select board has met and decided they will not be putting the override on for a special election” — a two-thirds vote is needed to place it, and none was taken",doc:sources/meetings/text/school-committee/2025-05-07-minutes-7207.txt,"the School Committee’s minutes of 7 May, item b, Override Ballot Impact"
override,No question reaches the ballot,both,step,,,2025-05-17,Annual Town Election,the appropriation Town Meeting voted lapses; residents at the 7 May meeting say they will petition again for FY27,doc:sources/meetings/text/school-committee/2025-05-07-minutes-7207.txt,
late,"Article 12 — $500,000 of certified free cash to the schools for FY26",school,move,"$500,000",,2025-04-16,School Committee vote,the committee accepted the superintendent’s spending proposal contingent on the free cash passing; the Finance Committee had recommended deferral on 3 April,doc:sources/meetings/text/school-committee/2025-04-16-minutes-7171.txt,its outcome at Town Meeting is not in our record
late,New student bus fee,school,move,"$180 one child, $270 two or more, $50 reduced",,2025-03-12,School Committee vote,passed 4–1 — Lunenburg’s first student transportation fee,school-committee/2025-03-12@5938,
late,Athletic fees raised,school,move,"$325 high school, $275 middle school for the first student",,2025-02-26,School Committee vote,5–0,school-committee/2025-02-26@4391,
late,Student activity fee raised,school,move,$55 → $70,,2025-05-07,School Committee vote,passed unanimously,school-committee/2025-05-07@6963,
final,School budget adopted,school,appropriated,"$25,787,474",,2025-05-03,Annual Town Meeting,"the School Committee’s approved budget, 3.63% over FY25, carried in the omnibus",doc:sources/district-budget/docs/final-fy26-sc-approved-budget-3-12-25-with-level-service-budget.pdf,the omnibus vote itself is not in our archive; the figure is the district’s
final,No override question on the ballot,both,ballot,,,2025-05-17,Annual Town Election,"Town Meeting approved a $2,099,337 override by petition; the Select Board did not put it to voters",doc:sources/meetings/text/school-committee/2025-05-07-minutes-7207.txt,
final,The approved cut list stood,school,took_effect,"39 positions on the list, whole and part",,2025-05-17,the district,"with no ballot question, the budget of 12 March is the budget",doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,FTE only where the list prints it — 4.85 FTE in fractions across 12 part positions; the other 27 are printed as whole positions
