label,upstream,local,text,bytes,sha256,read,page,school_year,meeting_date
REVISED Meeting Agenda 3-19-25,https://drive.google.com/file/d/1XTN5K_K0k8xh_GhWsuPBD8Cqv4pejGGG/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2025-03-19-revised-meeting-agenda-3-19-25.pdf,sources/district-budget/text/sc-meetings/2025-03-19-revised-meeting-agenda-3-19-25.txt,179150,8ea293422ac29efdbc6f7fe6f153e61c62236712b9c653ccf722d05a5aa2d9ad,pdf text layer,sc-meetings,2024-2025,2025-03-19
DRAFT FY26 School Calendar,https://drive.google.com/file/d/1BwWCOM7uFjEc3iVGs6qNfVBphsvCS51F/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-draft-fy26-school-calendar.pdf,sources/district-budget/text/sc-meetings/2024-2025-draft-fy26-school-calendar.txt,84449,3a99c0f934abfea50cc667935d34abe2df92e5d7829268a732e687e25a65cdd6,pdf text layer,sc-meetings,2024-2025,
DRAFT Extended Day Handbook 2025-2026,https://drive.google.com/file/d/1iqmHABIdqevVlEvAc-DgXBHk-6Hyzs0u/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-draft-extended-day-handbook-2025-2026.pdf,sources/district-budget/text/sc-meetings/2024-2025-draft-extended-day-handbook-2025-2026.txt,461453,175fb5b8dc69bd0891bc59fea5f99ca440f4bedd82fab1be7ce1c7f4fb252e10,pdf text layer,sc-meetings,2024-2025,
DRAFT Early Learning Center Handbook 2025-2026,https://drive.google.com/file/d/1TsSUZn7bVVOlmxUniLqfWS8XvPu2oNDw/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-draft-early-learning-center-handbook-2025-2026.pdf,sources/district-budget/text/sc-meetings/2024-2025-draft-early-learning-center-handbook-2025-2026.txt,335230,758b26cb2b8df7d51d9cd67c53efc952246278e6fd4b566a7fd6869a7ee40618,pdf text layer,sc-meetings,2024-2025,
Quarterly Budget Report,https://drive.google.com/file/d/1mpQD1RvI7NVGIP5ryLuHbR5qYgzL_Mda/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-quarterly-budget-report.pdf,sources/district-budget/text/sc-meetings/2024-2025-quarterly-budget-report.txt,672756,501357e46f1f1d5f42dc97c05ae5e6303af6d69700722cefb064fdfe53252e47,pdf text layer,sc-meetings,2024-2025,
FINAL FY26 Town Manager's Target Budget Approved 3-12-25,https://drive.google.com/file/d/1k3lVEH5JyWoJS971qHnq28bIUhj1eIRA/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2025-03-12-final-fy26-town-manager-s-target-budget-approved-3-12-25.pdf,sources/district-budget/text/sc-meetings/2025-03-12-final-fy26-town-manager-s-target-budget-approved-3-12-25.txt,180192,61fabed551667707b33bb190700d0c78b4aabaf311957af1214cbc82d63d9c7b,pdf text layer,sc-meetings,2024-2025,2025-03-12
STEM Grant Memo,https://drive.google.com/file/d/1W6FD7EnNkmgV_tusgnGKV5qdDqjdBX5g/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-stem-grant-memo.pdf,sources/district-budget/text/sc-meetings/2024-2025-stem-grant-memo.txt,113489,96351faa5058e1a33450cf20cbb12fa701ec83a38fce5afa4530bd6a4bfec2b7,pdf text layer,sc-meetings,2024-2025,
School Committee Delegation Letter,https://drive.google.com/file/d/1egMXiZIrZQag4tbwtc2fEk6tXik4dfZC/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-school-committee-delegation-letter.pdf,sources/district-budget/text/sc-meetings/2024-2025-school-committee-delegation-letter.txt,127332,7944a494f2893371339a6341196577884c5d7c00a16c7912c8459bb200bfebed,pdf text layer,sc-meetings,2024-2025,
REVISED Special Meeting Agenda 3-12-25,https://drive.google.com/file/d/16kjS7o1aLnmiU2-pUTZLiy5oDWlHXKd0/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2025-03-12-revised-special-meeting-agenda-3-12-25.pdf,sources/district-budget/text/sc-meetings/2025-03-12-revised-special-meeting-agenda-3-12-25.txt,173376,9218714f71672d2ea3809f2499d8ea5e40585538ccc4e5930ca639cee94edabf,pdf text layer,sc-meetings,2024-2025,2025-03-12
School Committee Revised Agenda 3-5-25,https://drive.google.com/file/d/1u9B9YWoDvMa-b--G14UzZkozlyJfX7DT/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2025-03-05-school-committee-revised-agenda-3-5-25.pdf,sources/district-budget/text/sc-meetings/2025-03-05-school-committee-revised-agenda-3-5-25.txt,178206,627d0b912ee6ae1660a7b211fa36f42d535f1c745d81e266296f443eb3096f15,pdf text layer,sc-meetings,2024-2025,2025-03-05
Initial Approval Greece Trip,https://drive.google.com/file/d/1HU1U2Y4q0y2AjO1wW7arWP2FiK91K2jU/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-initial-approval-greece-trip.pdf,sources/district-budget/text/sc-meetings/2024-2025-initial-approval-greece-trip.txt,828130,dc5f42b75c4a6bf84641ba9ca259e6f1ffe593b9d49bc9683d413a97bae312fd,pdf text layer,sc-meetings,2024-2025,
Final Approval Spain Trip,https://drive.google.com/file/d/1tmyXzK0yXjgGbxLvxRx3IE3g0GZ4xY-h/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-final-approval-spain-trip.pdf,sources/district-budget/text/sc-meetings/2024-2025-final-approval-spain-trip.txt,6614805,58952aa896c760ad5297300c6318cfdf0e975472735be33c7ced840e7814bb54,ocr,sc-meetings,2024-2025,
School Committee Revised Agenda 2-26-25,https://drive.google.com/file/d/1WAFL9NLX5rvyygBEX3YUZK7YjZXONSNU/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2025-02-26-school-committee-revised-agenda-2-26-25.pdf,sources/district-budget/text/sc-meetings/2025-02-26-school-committee-revised-agenda-2-26-25.txt,178821,49585e37bc7dbd2954329d309abdfb65c2b905d63f664e7992c3ab066dd8eff3,pdf text layer,sc-meetings,2024-2025,2025-02-26
FY26 Superintendent's Proposed Budget 2-26-25,https://drive.google.com/file/d/1xJDJ5hr6R2X9o8AJXKV4jRdo3ZzCorcu/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2025-02-26-fy26-superintendent-s-proposed-budget-2-26-25.pdf,sources/district-budget/text/sc-meetings/2025-02-26-fy26-superintendent-s-proposed-budget-2-26-25.txt,2764863,82f25838d464bf686618f236c4ae5f25ec66b9b5402c057fb465442e4f131ae9,pdf text layer,sc-meetings,2024-2025,2025-02-26
Lunenburg Athletics User Fee Proposal,https://drive.google.com/file/d/1lcQ_oBiot-6cV_vGjwNQwbtkhnF3LgEF/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-lunenburg-athletics-user-fee-proposal.pdf,sources/district-budget/text/sc-meetings/2024-2025-lunenburg-athletics-user-fee-proposal.txt,496340,e56902cd868f63b940251892baea8d5cd10f8627d9d7eea5d6bc4a8422b09dcf,pdf text layer,sc-meetings,2024-2025,
Transportation Fee Proposal,https://drive.google.com/file/d/1i7xQrEFGqOTEZP8nd0ykWv7ffPIEzNH6/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-transportation-fee-proposal.pdf,sources/district-budget/text/sc-meetings/2024-2025-transportation-fee-proposal.txt,289347,034a6ddd92ef1b8056e435bf90643ff90bfc153da6cbc2b4f7a2621f64992060,pdf text layer,sc-meetings,2024-2025,
Student Activity Fee Restructure Proposal,https://drive.google.com/file/d/1HRyTUzXmoq2Pg4slRgxDpTyrqZO9Lz53/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-student-activity-fee-restructure-proposal.pdf,sources/district-budget/text/sc-meetings/2024-2025-student-activity-fee-restructure-proposal.txt,103035,87eab0feea0ee959a3ddbb63825c145a2e2eb9b2e41be9686c39a1862d752cc1,pdf text layer,sc-meetings,2024-2025,
Facility Rate Fee Proposal,https://drive.google.com/file/d/1VnLl-YJsk0NkNVwYX2uDCoABTYXcuKW0/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-facility-rate-fee-proposal.pdf,sources/district-budget/text/sc-meetings/2024-2025-facility-rate-fee-proposal.txt,159094,a2ed8aa92cdf11ffbe5473bfe61ff83acdcbe25768630500207efe7bf6028ba7,pdf text layer,sc-meetings,2024-2025,
School Committee Revised Agenda 2-5-25,https://drive.google.com/file/d/13isSYovdGxYILXEfpJLErZajwXCI7QEe/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2025-02-05-school-committee-revised-agenda-2-5-25.pdf,sources/district-budget/text/sc-meetings/2025-02-05-school-committee-revised-agenda-2-5-25.txt,178306,f23ec44b26b7b31bec64e2ac2fd397e314ef7390656c2bdf2a309797ed4b39e6,pdf text layer,sc-meetings,2024-2025,2025-02-05
FY26 Town Manager's Target Budget Presentation,https://drive.google.com/file/d/12mfjYs67nuv-q3besFpWCM_rSv4hwY7W/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-fy26-town-manager-s-target-budget-presentation.pdf,sources/district-budget/text/sc-meetings/2024-2025-fy26-town-manager-s-target-budget-presentation.txt,217836,f96177a0fe50c33c701b3e435d76c5fca436251e32be405513b291e98b0c4dab,pdf text layer,sc-meetings,2024-2025,
Mid Year Assessment Report,https://drive.google.com/file/d/1F0JcO228H7ZzbLezYMrehE7pK0wmKcCB/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-mid-year-assessment-report.pdf,sources/district-budget/text/sc-meetings/2024-2025-mid-year-assessment-report.txt,1059711,a07b27d47d882d82465c90c0efccd298c53a94d0d1713f3ef49683f97538290c,pdf text layer,sc-meetings,2024-2025,
Lunenburg Public Schools Resolutions 2-5-25,https://drive.google.com/file/d/1Mv28RhluIzfldKsQhjJ2HgLnx2P9Lq0r/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2025-02-05-lunenburg-public-schools-resolutions-2-5-25.pdf,sources/district-budget/text/sc-meetings/2025-02-05-lunenburg-public-schools-resolutions-2-5-25.txt,60982,2e354aaf6c4a0a49583b60877c8b21b499e8b6e26d43bcc9aa61f9a62cb730f5,pdf text layer,sc-meetings,2024-2025,2025-02-05
Legislation Letter,https://drive.google.com/file/d/1SMFJX2ISBT-XYTixBlM_kzoZKk7kQFSZ/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-legislation-letter.pdf,sources/district-budget/text/sc-meetings/2024-2025-legislation-letter.txt,80437,511d57b73a8fa69ba41707ff90c2a65ebe7dbda06266f1eeeb97cd9deed043f7,pdf text layer,sc-meetings,2024-2025,
LHS Program of Studies,https://drive.google.com/file/d/1AuVfJbZsKDrOqiKBTX8MpA6bcCPXPfSd/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-lhs-program-of-studies.pdf,sources/district-budget/text/sc-meetings/2024-2025-lhs-program-of-studies.txt,1066497,a3f994d065c4b740160446c5e0f5de8e1368801056d2f877441e63ad79861980,pdf text layer,sc-meetings,2024-2025,
Competency Determination,https://drive.google.com/file/d/17Oel1RxKOQ1sWVNOTwnpDpSalYY6Zlpc/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-competency-determination.pdf,sources/district-budget/text/sc-meetings/2024-2025-competency-determination.txt,51196,36bfa46a187d9ab3f0d4c298b734d1746f8cd3b3cc07ea640b0b5eacdf93393b,pdf text layer,sc-meetings,2024-2025,
School Committee Revised Agenda 1/8/235,https://drive.google.com/file/d/19WCoRKVb2BeTivzaP3uYufP1pfpbERki/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-school-committee-revised-agenda-1-8-235.pdf,sources/district-budget/text/sc-meetings/2024-2025-school-committee-revised-agenda-1-8-235.txt,180751,d56bc379a17f623ae08bead72db82abcf50f8d3353fe2f0a162d4dcb7b8694cb,pdf text layer,sc-meetings,2024-2025,
Restructered Fee Proposals,https://drive.google.com/file/d/1OwMK61ZXeZ1kUznKrtgLd1WTXuG3kqyY/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-restructered-fee-proposals.pdf,sources/district-budget/text/sc-meetings/2024-2025-restructered-fee-proposals.txt,485836,6b27958c37393580ce1e84f08c773cda8ba8c099e8e23e797567cfbd370f6a76,pdf text layer,sc-meetings,2024-2025,
Revolving Accts.-School Choice & Facilities,https://drive.google.com/file/d/11Cf0Ig_70BVUMHgez_4xpsBlcrJqz3hq/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-revolving-accts-school-choice-facilities.pdf,sources/district-budget/text/sc-meetings/2024-2025-revolving-accts-school-choice-facilities.txt,419147,718248740a15c10f471f63a829af33caf49ab9bb295c0aed211562280fc58a49,pdf text layer,sc-meetings,2024-2025,
Cell Phone Use,https://drive.google.com/file/d/11MSapFS3Jwr9FKadRxe4LTbQpm1WwPHY/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-cell-phone-use.pdf,sources/district-budget/text/sc-meetings/2024-2025-cell-phone-use.txt,409461,1f4adece55ed2ae2df840ab5fd1357cdc06e04240df5bbd3cb194184caf10897,pdf text layer,sc-meetings,2024-2025,
2025-2026 DRAFT School Calendar,https://drive.google.com/file/d/1pFkLoizZ-o09f7P4LczRRcvQ20tEumHa/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-2025-2026-draft-school-calendar.pdf,sources/district-budget/text/sc-meetings/2024-2025-2025-2026-draft-school-calendar.txt,76111,59fbed5cfb3e99c255e6d9edbc55625c02a170e1e4484b1c852c22100b6078f6,pdf text layer,sc-meetings,2024-2025,
School Committee Agenda 11-20-24,https://drive.google.com/file/d/1hZfyD6z0TA3pK415d5_Uh4eYppLP0UTU/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-11-20-school-committee-agenda-11-20-24.pdf,sources/district-budget/text/sc-meetings/2024-11-20-school-committee-agenda-11-20-24.txt,203757,69069ce0f91934c1547913da6bff9cefd7e87630ca3a7b008cd72c4ffc6881ca,pdf text layer,sc-meetings,2024-2025,2024-11-20
Draft Discussion 2025-2026 School Calendar,https://drive.google.com/file/d/1BQdGVS8N52YIUtlz7xMxX87d7tcluQsO/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-draft-discussion-2025-2026-school-calendar.pdf,sources/district-budget/text/sc-meetings/2024-2025-draft-discussion-2025-2026-school-calendar.txt,26783,1122f7131584f63586bf2ca52f393810f29ff6fed5ee6ed5f8879f97fd6192ac,pdf text layer,sc-meetings,2024-2025,
School Committee Agenda 11-6-24,https://drive.google.com/file/d/1JZpBNO6QyjR1vOxUQ0-5GWzauuuMLhAT/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-11-06-school-committee-agenda-11-6-24.pdf,sources/district-budget/text/sc-meetings/2024-11-06-school-committee-agenda-11-6-24.txt,132323,6b68cd95a08ac494d39b934cd426580cd779cb12ab7380f87d88f48b18a63589,pdf text layer,sc-meetings,2024-2025,2024-11-06
FY26-FY35 Capital Plan,https://drive.google.com/file/d/1BPdibxVJXO9qi8_JStm6J-sZl12PCMdZ/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-fy26-fy35-capital-plan.pdf,sources/district-budget/text/sc-meetings/2024-2025-fy26-fy35-capital-plan.txt,4885285,a41fa77a1f5b4dde86a8a761b2c5c296924b4f3d7bece7c4e75eb137b31791d5,pdf text layer,sc-meetings,2024-2025,
Capital Plan Descriptions,https://drive.google.com/file/d/1JgPcoX3preSgIsVf2JI1o7naROD7CTJg/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-capital-plan-descriptions.pdf,sources/district-budget/text/sc-meetings/2024-2025-capital-plan-descriptions.txt,12822781,236d76b99c390bfa43e6782c4a92ec9cf5617e0cc69829aa6fac50b5297cf63c,pdf text layer,sc-meetings,2024-2025,
Superintendent's Goals,https://drive.google.com/file/d/1JEt-zqr9SZH7Rr4UOj17zTLEECrroT8O/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-superintendent-s-goals.pdf,sources/district-budget/text/sc-meetings/2024-2025-superintendent-s-goals.txt,216085,5c5ab9447c8956b8a19611f028d7592a9d87bed39ffe4b1052d5643a3318a487,pdf text layer,sc-meetings,2024-2025,
School Committee Goals,https://drive.google.com/file/d/1nNeKjbiHYSFUs39MM247Lh2XAlCTjtgs/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-school-committee-goals.pdf,sources/district-budget/text/sc-meetings/2024-2025-school-committee-goals.txt,361329,ba266df01616e7c4eeb3ed9cc81205665f41fdf4dded8ad4c1c13bf555b62e4c,pdf text layer,sc-meetings,2024-2025,
Strategy Action Plan CC & C 1 2024-2025,https://drive.google.com/file/d/1CnOslH0vgQFXn_W9qkSE4VOKDWU39kgv/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-strategy-action-plan-cc-c-1-2024-2025.pdf,sources/district-budget/text/sc-meetings/2024-2025-strategy-action-plan-cc-c-1-2024-2025.txt,120720,93c24c66691abf6442926c4ef24d8fbd3fe65526f42adf689b079fad65e07762,pdf text layer,sc-meetings,2024-2025,
Strategy Action Plan CC & C 2 2024-2025,https://drive.google.com/file/d/1igAsNWvR9d_lX5YsRSuqP4enbE4B8QIu/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-strategy-action-plan-cc-c-2-2024-2025.pdf,sources/district-budget/text/sc-meetings/2024-2025-strategy-action-plan-cc-c-2-2024-2025.txt,105161,cfe7e72c294caaa2491763ddbc1a8f93fb9c863b80b1225e1ec531cddc296091,pdf text layer,sc-meetings,2024-2025,
Strategy Action Plan Cc & C 3 2024-2025,https://drive.google.com/file/d/1QBEHlpEfNE_qQUXRlkD44C2oOoCWkOFJ/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-strategy-action-plan-cc-c-3-2024-2025.pdf,sources/district-budget/text/sc-meetings/2024-2025-strategy-action-plan-cc-c-3-2024-2025.txt,107015,7c120d0ade38ee0aa0707017454e2f03a272314211f2825e70214eca4b7d346f,pdf text layer,sc-meetings,2024-2025,
PTO Statement-LEAF,https://drive.google.com/file/d/1jcydmBs4xBDejG4oIFeTaYpzAQLEUrlA/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-pto-statement-leaf.pdf,sources/district-budget/text/sc-meetings/2024-2025-pto-statement-leaf.txt,109007,c0f84015124eb2c2e9522b6f3f93208b6dca80d9f1dd94c4eded8a8230cf4e96,pdf text layer,sc-meetings,2024-2025,
School Committee agenda 10-16-24,https://drive.google.com/file/d/1y_gBgLgiLtD2z10SK4R-LgxEEGUh0iu_/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-10-16-school-committee-agenda-10-16-24.pdf,sources/district-budget/text/sc-meetings/2024-10-16-school-committee-agenda-10-16-24.txt,131910,932d67a3883685773f0d9c95f1ccf1b7c346ba164ecf98fe4c050b33ccff8627,pdf text layer,sc-meetings,2024-2025,2024-10-16
2024 Fall Assessment Report,https://docs.google.com/presentation/d/1oCRzU2WoJxt4WGwsC_GvSfsqikAj0QzA/edit?usp=drive_link&amp;ouid=115866774118931112779&amp;rtpof=true&amp;sd=true,sources/district-budget/docs/sc-meetings/2024-2025-2024-fall-assessment-report.pdf,sources/district-budget/text/sc-meetings/2024-2025-2024-fall-assessment-report.txt,409479,91599f6f931feb8b34ad047c38c6d9676b916098027b28ff8f26378926b68959,pdf text layer,sc-meetings,2024-2025,
Update New IEP & PowerSchool,https://drive.google.com/file/d/1617EXRpXJsxAwUJsGkHbGaNKeZHy4rvx/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-update-new-iep-powerschool.pdf,sources/district-budget/text/sc-meetings/2024-2025-update-new-iep-powerschool.txt,33827,6224792e3b37ff2dae57d721086ff2eedea5a18ac835bde227db606048d1c129,pdf text layer,sc-meetings,2024-2025,
Strategy CC & C.1,https://drive.google.com/file/d/1mtbaaYZddTvshwtLzeZLb2zlvwXVSTsM/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-strategy-cc-c-1.pdf,sources/district-budget/text/sc-meetings/2024-2025-strategy-cc-c-1.txt,120720,93c24c66691abf6442926c4ef24d8fbd3fe65526f42adf689b079fad65e07762,pdf text layer,sc-meetings,2024-2025,
Strategy CC & C.2,https://drive.google.com/file/d/1gEcdxnmLUslwaMhaIhMVfx8XU0k4pl8K/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-strategy-cc-c-2.pdf,sources/district-budget/text/sc-meetings/2024-2025-strategy-cc-c-2.txt,105161,cfe7e72c294caaa2491763ddbc1a8f93fb9c863b80b1225e1ec531cddc296091,pdf text layer,sc-meetings,2024-2025,
Strategy CC & C.3,https://drive.google.com/file/d/1KUQwcqpEwIkTRd5hJk8WeKI7V6R2sBgn/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-strategy-cc-c-3.pdf,sources/district-budget/text/sc-meetings/2024-2025-strategy-cc-c-3.txt,107015,7c120d0ade38ee0aa0707017454e2f03a272314211f2825e70214eca4b7d346f,pdf text layer,sc-meetings,2024-2025,
School Committee Agenda,https://drive.google.com/file/d/13yZ8mDdplsh5HYujuF3A1_VjQ82HF7vP/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-school-committee-agenda.pdf,sources/district-budget/text/sc-meetings/2024-2025-school-committee-agenda.txt,179662,b58c2fc6623dfbe9b2e13c603b2ff39088d6401dd5d02546aba7dfc11fc89919,pdf text layer,sc-meetings,2024-2025,
Revised School Committee Agenda,https://drive.google.com/file/d/1qj33Llp9Q_KeBPf-CtLPRNgumPZKFMhz/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-revised-school-committee-agenda.pdf,sources/district-budget/text/sc-meetings/2024-2025-revised-school-committee-agenda.txt,194227,bc7b92aaef9823e1fb683f8c7169d53990fe495c4e06a5cc84e1b3f469111b7c,pdf text layer,sc-meetings,2024-2025,
PRISM Grant,https://drive.google.com/file/d/1Trl-pu9m8NuzGF8oyitG4ZR6Z-lyIwmW/view?usp=drive_link,,,942934,d2f484b2cfed05917f3c98073cdeb2c7631caffa0b4e7f87931b8d9738cc1f9e,"skipped: unknown format, 942934 bytes",sc-meetings,2024-2025,
SC Goals Draft,https://drive.google.com/file/d/106qUrA29Cv_feYGTgzwofMO55e8Jl74x/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-sc-goals-draft.pdf,sources/district-budget/text/sc-meetings/2024-2025-sc-goals-draft.txt,241018,250bad2e9d782b07dcdd62a7a7e15fed744cb5f740073d55a3d5e4c3352c1082,pdf text layer,sc-meetings,2024-2025,
Fall Athletics Report,https://drive.google.com/file/d/1Ib_Y-bHqZZgycfK7geXO8HVT09KmQz7j/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-fall-athletics-report.pdf,sources/district-budget/text/sc-meetings/2024-2025-fall-athletics-report.txt,47684,f74cbb2c2a3846fee3c5ad8dcb4efe7d37e0a34fcc3b9f6098c413b5c239f31c,pdf text layer,sc-meetings,2024-2025,
Keystone Collaborative Update,https://drive.google.com/file/d/1a_XBGVrAwEnpBI6L5WIa2Z0tFt1v4dbi/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-keystone-collaborative-update.pdf,sources/district-budget/text/sc-meetings/2024-2025-keystone-collaborative-update.txt,101279,11af1c0228c36eabad0d5caf038584808a6f85fe794ab37c5dad9898113c7363,pdf text layer,sc-meetings,2024-2025,
3501 BUILDING MANAGEMENT,https://drive.google.com/file/d/12KGvvm7YCQzKBahgMnYhjJevLtlAZkpk/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-3501-building-management.pdf,sources/district-budget/text/sc-meetings/2024-2025-3501-building-management.txt,5132,940c07a715f38df31bd753316fab6abf5c1299468eed69feee9f1c90135283b5,pdf text layer,sc-meetings,2024-2025,
3501.01 ENVIRONMENTALLY SUSTAINABLE PRACTICES,https://drive.google.com/file/d/1YaT39PY5etmWcbRobDq2gkaUNtRHWIIG/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-3501-01-environmentally-sustainable-practices.pdf,sources/district-budget/text/sc-meetings/2024-2025-3501-01-environmentally-sustainable-practices.txt,114505,f324a4807cf729d3d7d65cf6afde377423d20bf3d8e318113c0bd1691170de4c,pdf text layer,sc-meetings,2024-2025,
3503 SECURITY,https://drive.google.com/file/d/1VPQ7xk6GyjEfTh2DPMCNT_ijPwYhsddv/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-3503-security.pdf,sources/district-budget/text/sc-meetings/2024-2025-3503-security.txt,63345,fc3fe5f1170edbc4c5adc67642ed7ae8438813d7f815c8b49db69e718866175d,pdf text layer,sc-meetings,2024-2025,
3503.02 KEY ACCES CARD AND ALARM CODE,https://drive.google.com/file/d/1qynRyqt_i9GNpFkkzj7_PYNofzZ4SElH/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-3503-02-key-acces-card-and-alarm-code.pdf,sources/district-budget/text/sc-meetings/2024-2025-3503-02-key-acces-card-and-alarm-code.txt,6148,6d159de9b017b825e09e65c50db647f213081c7a41b2d36926aed6045c3ffcbf,pdf text layer,sc-meetings,2024-2025,
3506 VISITORS TO SCHOOL BUILDINGS,https://drive.google.com/file/d/1qVxsC9IrwM8-mrpVHKTXzy1e2XPVOgHj/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-3506-visitors-to-school-buildings.pdf,sources/district-budget/text/sc-meetings/2024-2025-3506-visitors-to-school-buildings.txt,5329,e6b8294e31527852daa379309a604ef4d3b4e82284f1b86991ccf0b509995143,pdf text layer,sc-meetings,2024-2025,
NEW POLICY-766 APPROVAL,https://drive.google.com/file/d/1P6apL7JiWBQ3DsT5MZvJtYGQuJk6cXk_/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-new-policy-766-approval.pdf,sources/district-budget/text/sc-meetings/2024-2025-new-policy-766-approval.txt,105987,7f7e41ba92f80be20b94f0c552cfe40ad20b08cf4ebc3b04b2a926e8aab42fb7,pdf text layer,sc-meetings,2024-2025,
5717 CONCUSSION POLICY,https://drive.google.com/file/d/1mKNH-jioUqKwVePbAX7o2eZYFFOhJdZ4/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-5717-concussion-policy.pdf,sources/district-budget/text/sc-meetings/2024-2025-5717-concussion-policy.txt,122669,322eaeba325cc78a46d06375e0bbf70768d34c899c8314becfd1b23b6405d7e0,pdf text layer,sc-meetings,2024-2025,
School Committee Agenda 9-4-24,https://drive.google.com/file/d/1u4Kb9o5iy87piHKAJjlUrtcU5nH3hE7W/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-09-04-school-committee-agenda-9-4-24.pdf,sources/district-budget/text/sc-meetings/2024-09-04-school-committee-agenda-9-4-24.txt,132158,eb26dfe4806dd713647be59e763c716b5b4b0f70f2593d99b556457fcaaa627f,pdf text layer,sc-meetings,2024-2025,2024-09-04
Back to School Updates,https://drive.google.com/file/d/1DNAzFyXSYQ52Br8LWcnf3T8CpC-B0WEB/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-back-to-school-updates.pdf,sources/district-budget/text/sc-meetings/2024-2025-back-to-school-updates.txt,58855,9e3111d0e6eb546744966f195805d64c025136d0c76170bb8ac8c8929dcca8a9,pdf text layer,sc-meetings,2024-2025,
FY26 Budget Timeline,https://drive.google.com/file/d/1-LdF_nxwvD-yxR0L60E017yeu_BoHExW/view?usp=drive_link,sources/district-budget/docs/sc-meetings/2024-2025-fy26-budget-timeline.pdf,sources/district-budget/text/sc-meetings/2024-2025-fy26-budget-timeline.txt,10987,9d92c4f3cce4289cfd6cffc5b4f40fccecfc316681ab938382c01d22becdd319,pdf text layer,sc-meetings,2024-2025,
