cert_number,business_name,owner,address,category,is_franchise,source,expires_iso,expires_year,status
2754,Asian Imperial,Kim Chen,5 Electric Avenue,food_beverage,False,master,2028-09-11,2028,active
2755,Ataxia Balance Crutches LLC,Jay Biery & Mary Ellen McKenna,26 Cushing Lane,other_uncategorized,False,master,2028-09-13,2028,active
2736,Aurora Material Solutions,"Aurora Plastics, LLC",140 Leominster-Shirley Road,technology_consulting,True,master,2028-05-21,2028,active
2629,Averli Farm,Matt & Hannah Straight,279 West Street,agriculture,False,master,2027-03-22,2027,active
2200,Autumn Compositions,Autumn Burrell,62 Pleasant Street,arts_creative,False,master,2022-11-21,2022,expired
2760,A Welcoming Space,Meredith Kate Morgan,65 Fairview Road,health_wellness,False,master,2028-09-19,2028,active
2735,Ayer Shirley Tracker,Pamela Porter,114 Chestnut Street,other_uncategorized,False,master,2028-01-22,2028,active
2557,A-Z Quality Vending C./Citco LLC,Peter DiPaoli,5 Summer Street #5 & # 7,food_beverage,False,master,2026-09-11,2026,active
2136,B & B Bartending,Barbara Turkington,110 Royal Fern Road,personal_services,False,master,2026-06-04,2026,expiring_soon
2843,B & B Excavation,Madeleine Biron,274 Cross Road,construction_trades,False,master,2028-09-04,2028,active
2615,B & R Enterprises,Robert Poirier,724 Mass Avenue,construction_trades,False,master,,,unknown
2649,Bacanas Restaurant,Marlon Mei,5 Summer Street,food_beverage,False,master,2027-06-06,2027,active
2874,Bad Larry's Bar and Grill,Alan Wernick,325 Sunnyhill Road,food_beverage,False,master,2028-10-20,2028,active
2806,Baker's Towing,Carol/Henry Baker,421 Electric Avenue,automotive_transport,False,master,2028-12-23,2028,active
2789,Bamboo Spa One,Liging Quhan,5 Summer Street unit 9,health_wellness,False,master,2028-12-23,2028,active
2512,Barrington's Autumn,Winston B. Burrell Jr.,62 Pleasant Street,other_uncategorized,False,master,2026-04-09,2026,expired
2910,Bathtubguys Refinishing,Paul DiCarlo,16 Pearl Street,construction_trades,False,master,2030-03-02,2030,active
2598,"Bedrock Builders, LLC",S Marsden & W Gogfrey,475 Mulpus Road,construction_trades,False,master,2026-12-15,2026,active
2489,Better Days Real Estate,Lisa Asselin,124 Arbor Street,real_estate_property,False,master,2026-01-06,2026,expired
2651,Beyond Basics Drafting & Design,Alan J. Maki,312 Burrage Street,arts_creative,False,master,2027-05-21,2027,active
2852,B H Painting,Tan Hung Le,2 Butterfly Lane,construction_trades,False,master,2029-10-08,2029,active
2909,Big Head Freds Maple Syrup,Fred Lake,417 Flat Hill Rd,food_beverage,False,master,2030-02-22,2030,active
2720,Bilmar Construction,Marc Nagel,235 Whalom Road,construction_trades,False,master,2028-04-01,2028,active
2593,Bircch,Julliann Lamy,24 Stonefence Road,other_uncategorized,False,master,2026-12-07,2026,active
2827,Bitariho LLC,Baraka Bitariho,420 Mass Ave,other_uncategorized,False,master,2029-06-15,2029,active
2030,Black Birch Interactive,Christopher Caswell,847 Chase Road,technology_consulting,False,master,2025-04-27,2025,expired
2428,Black Iris Floral Design,Rachel Ham,42 Pearl Brook Road,arts_creative,False,master,2025-05-22,2025,expired
2659,Bliss Canabis,Priyanka Patel,43 Summer Street,food_beverage,False,master,2027-07-31,2027,active
2583,Bowser Electric/Baron D. Bowser,Baron D. Bowser,512 West Townsend Road,construction_trades,False,master,2026-11-05,2026,active
2655,Brian Waldon,Brian Waldon,73 Sunnyhill Road,other_uncategorized,False,master,2027-07-11,2027,active
2768,Brie @ Simply YouNeek Beauty Salon,Brianne Cadieux,383 Whalom Road,health_wellness,False,master,2028-10-28,2028,active
2371,Brighter Smiles Bookkeeping,Jacqueline Kelly,45 Cortland Circle,health_wellness,False,master,2024-09-23,2024,expired
2451,"Brittivia Homes & Construction, Inc",John Harrison,913 Northfield Road,construction_trades,False,master,2025-08-24,2025,expired
2567,Broda Solutions,Kathleen Broderick Davis,90 Arbor Street,technology_consulting,False,master,2026-09-22,2026,active
2592,Montouri Landscaping,Tyler Montouri,58 Whiting Street,construction_trades,False,master,2026-07-16,2026,expiring_soon
2868,Burns Electric,Patrick Burns Jr.,634 West Street,construction_trades,False,master,2029-10-27,2029,active
2431,357 Cattle Company LLC,Craig Powell & Maryrae Holman,357 Goodrich Street,agriculture,False,master,2025-06-16,2025,expired
2850,Cabel Salon,Donna Guilfoil,91 Summer Street,health_wellness,False,master,2029-09-05,2029,active
2478,Cabel Salon,Jacqueline Rosa,91 Summer Street,health_wellness,False,master,2025-09-01,2025,expired
2586,Cabel Salon,Kelly Basilio,91 Summer Street,health_wellness,False,master,2026-11-22,2026,active
2610,Cabel Salon,Summer Dickhaut,91 Summer Street,health_wellness,False,master,2026-11-22,2026,active
2585,Cabel Salon,Deborah Champagne,91 Summer Street,health_wellness,False,master,2026-11-22,2026,active
2280,Caras Jewerly,Cara Castaner,180 Island Road,automotive_transport,False,master,2023-07-22,2023,expired
2915,CarXP,Rouseane Santos & Elder Peixoto,36 Summer Street,automotive_transport,False,master,2030-03-25,2030,active
2617,Cary Candle Company,Ashley Caey,1 Rogers Way #205,automotive_transport,False,master,2027-02-16,2027,active
2412,Carol's Creations,Carol Ferrebee,38 Sunnyhill Road,automotive_transport,False,master,2025-02-07,2025,expired
2635,Cassie Carlee Publishing,Debbie Consalvo,102 Horizon Island Road,food_beverage,False,master,2027-04-12,2027,active
2898,Central Mass Gardens,Michael Hebert,621 Chase Road,agriculture,False,master,2030-02-02,2030,active
2745,Central Mass Goat Rental,Tammy Hebert,48 W Acres Dr,real_estate_property,False,master,2028-07-23,2028,active
2856,Central Mass Powersports,Ralph Cerundolo,19 Massachusetts Avenue,automotive_transport,False,master,2029-09-27,2029,active
2698,Change Chemistry,Joel Tickner,844B chase Road,technology_consulting,False,master,2028-01-31,2028,active
2869,"Chapdelaine Truck center, Inc",Mark Chapdelaine,199 Mass Ave,automotive_transport,False,master,2029-11-17,2029,active
2774,C H Solutions,Pablo Benavides,757 Lancaster Avenue,technology_consulting,False,master,2028-11-12,2028,active
2101,Central Mass Networking,David Dorren,7 Tri Town Drive Unit 207,technology_consulting,False,master,2022-01-18,2022,expired
2594,Cherry Hill Farm,Raymond D. MacMillan,598 Leominster Road,agriculture,False,master,2025-10-23,2025,expired
2621,Chris Kostecki,Christopher Kostecki,123 Rolling Acres Road,other_uncategorized,False,master,2026-11-13,2026,active
2576,"Christen Drouin, LICSW",Christen Drouin,24 Mass Ave,health_wellness,False,master,2026-10-04,2026,active
2391,Cityline Smoke Shop LLC,Smit Patel,6 Massachusetts Avenue,retail,False,master,2024-05-26,2024,expired
2867,Classic Appliance Repair Essential Serv,Timothy Brown,190 Hollis Road,construction_trades,False,master,2029-11-19,2029,active
2425,Clover Hill Nature Program,Katelyn Maki,406 Northfield Road,other_uncategorized,False,master,2025-05-06,2025,expired
2561,C M Fortier Design / Build,Chester Fortier,757 Lancaster Ave,arts_creative,False,master,2026-09-17,2026,active
2611,CoCo Michel Creations,Colleen Michel,183 South Row Road,arts_creative,False,master,2027-01-19,2027,active
2339,Coin Cloud,Cash Cloud,5 Summer Street,technology_consulting,False,master,2024-06-09,2024,expired
2688,Coldwell BankerRealty,Lynn Walsh,3 Lancaster Road,real_estate_property,True,master,2023-11-14,2023,expired
4809,Colonial Imports/North End Mazda,Lawrence M. Gordon,757 Chase Road,automotive_transport,True,master,2029-07-18,2029,active
4810,Colonial Imports/North End Subaru,Lawrence M. Gordon,747 Chase Road,automotive_transport,True,master,2029-03-15,2029,active
2816,Comfort Plus Homcare,d Tamukedde & S. Ssebatta,11 Cortland Circle,other_uncategorized,False,master,2029-05-20,2029,active
1688,Concierge Real Estate,Beth Ann Burns,65 Pratt Street,real_estate_property,False,master,2021-03-30,2021,expired
2513,Conrad's Drive In,Dennis Conrad,835 Mass Ave,food_beverage,False,master,2026-04-04,2026,expired
2183,Cordon Cleaning,Jennifer M. Cordon,1299 Lancaster Avenue,home_services,False,master,2022-05-27,2022,expired
2228,Cost Cutters/Regis Corp.,John Kontis,329 Massachusetts Ave.,other_uncategorized,True,master,2023-02-06,2023,expired
2001,Crerative Carpentry,Richard Roop,856 Mass Avenue,automotive_transport,False,master,2021-01-24,2021,expired
2589,Concrete Forms Corp,Seven Arsenault,273 Arbor Street,construction_trades,False,master,2026-12-03,2026,active
2238,Cross Stone Inc.,Joe Livergood,102 Pleasant Street,other_uncategorized,False,master,2023-02-06,2023,expired
2275,Cross Transportation,Evans Danquah,4 Robbs Hill Road,automotive_transport,False,master,2023-06-25,2023,expired
1908,Cutting Edge Lawn Care,Michael Oakes,112 South Row Road,automotive_transport,False,master,2020-03-09,2020,expired
2114,Custom Sporteez Ink,Scott Mabon,120 Island Road,other_uncategorized,False,master,2022-03-20,2022,expired
2218,"Cydonia, LLC",Richard Lutter Jr.,130 Royal Fern Drive,other_uncategorized,False,master,2023-01-28,2023,expired
2896,Daisem LLC,Philip Colometa,524 New West Townsend Road,other_uncategorized,False,master,2029-11-13,2029,active
2817,Dale Rimbach Carpentry,Dale Rimbach,102 White Street,automotive_transport,False,master,2007-09-17,2007,expired
2878,Damon McQuaid Architect,Damon McQuaid,49 Brook View Terrace,construction_trades,False,master,2030-01-02,2030,active
2553,Dan Diprima HVAC Inc,Daniel Diprima,164 West Street,construction_trades,False,master,2026-05-22,2026,expiring_soon
2208,David Queen Co.,David Queen,120 Peninsula Drive,other_uncategorized,False,master,2026-12-06,2026,active
2627,DC Consulting,David Scofield,870 Mass Ave,technology_consulting,False,master,2027-03-13,2027,active
2764,DC LaserTech,Dennis C. Hurd,726 Lancaster Avenue,technology_consulting,False,master,2028-10-24,2028,active
2539,D.D. Enterprises,Richard Delaney Jr,205 Houghtons Mill Road,construction_trades,False,master,2026-04-20,2026,expired
2895,Deal Appeal,Majed Najjar,2 N W Townsend Road,professional_services,False,master,2030-01-22,2030,active
2630,Decent Dance,K & M Guglietti,128 Woodland Drive,other_uncategorized,False,master,2027-03-23,2027,active
2066,Deming Investigations,"Charles P. Deming, Jr.",181 W.Townsend Road,finance_accounting,False,master,2025-10-08,2025,expired
2663,De Leon Landscaping,Denenah De Leon,87 Electric Avenue,construction_trades,False,master,2027-08-17,2027,active
2536,Denise Coaching,Denise Permatteo,98 Highland Street,health_wellness,False,master,2026-06-27,2026,expiring_soon
2579,Dennis' Garage,Dennis Aube,383 Whalom Road,automotive_transport,False,master,2026-10-31,2026,active
2547,DLC Concrete,Dennis Leblanc,4 Sequoia Drive,construction_trades,False,master,2026-07-28,2026,expiring_soon
2776,Design & Print Image,Tomas Rast,136 Lancaster Ave.,personal_services,False,master,2028-11-17,2028,active
2767,Diane Chenard,Diane Chenard,383 Whalom Road,other_uncategorized,False,master,2028-10-28,2028,active
2661,D J Fors Hauling,David John Fors,287 Highland Street,automotive_transport,False,master,2027-08-15,2027,active
2713,D J M Stoneworks,Daniel Morse,111 Sunnyhill Road,construction_trades,False,master,2028-03-05,2028,active
2825,Doran HVAC,Gregory Doran,491 Flat Hill road,construction_trades,False,master,2029-08-08,2029,active
2728,Dr. Auto Sales & Service,Donald E. Goodine,541 Chase Road,automotive_transport,False,master,2028-01-25,2028,active
1917,D's Cleaning Co.,Jorge DeLeon,"1 Tri Town Drive, Apt. 109",home_services,False,master,2020-03-24,2020,expired
2672,Dunkin Donuts,Steven Catalano,134 Leominster Shirley Road,food_beverage,True,master,2027-05-29,2027,active
2730,Duval Sign Contractors,Kenneth J Duval,298 Mulpus Road,construction_trades,False,master,2027-08-13,2027,active
2772,D W Aguilar Trucking,Walter Aguilar,39 Great Pond Road,automotive_transport,False,master,2028-09-28,2028,active
2521,360 Enterprises,Rich Archer,321 Mass Avenue,construction_trades,False,master,2026-04-26,2026,expired
2855,E A Lunenburg,N Gallagher & S Qureshi,308 Mass Ave,other_uncategorized,False,master,2000-01-10,2000,expired
2602,Eagle Contracting,Richard Cohan,50 Seaver Road,construction_trades,False,master,2027-01-03,2027,active
2597,E C Accounting,Emily Marsden,475 Mulpus Road,finance_accounting,False,master,2026-07-30,2026,active
2823,"Elaine Sherwood, LICSW",Elaine Sherwood,90 Rolling Acres Road,health_wellness,False,master,2025-06-26,2025,expired
2624,Elite Tree Inc,Richard Blanchflower,5 Chestnut Street,other_uncategorized,False,master,2027-03-09,2027,active
2352,Embers Lounge & Restaurant LLC,Margot Xarras,84 Lakefront Street,food_beverage,False,master,2024-07-30,2024,expired
2709,"Energy Air, LLC",Kyle Higgins,370 West Townsend Road,utility_energy,False,master,2028-02-14,2028,active
2798,Epach Plumbing,Jacob Whitcraft,66 John Street,construction_trades,False,master,2028-11-03,2028,active
2634,Eric Short Prof. Painting,Eric Short,502 Holman Street,construction_trades,False,master,2026-06-28,2026,expiring_soon
2134,Ewen Sleepy Hollow Sugar House,Mark Ewen,70 Elmwood Rd.,other_uncategorized,False,master,2022-05-31,2022,expired
2652,Mahant bakers Variety Inc,Raj Patel,423 Electric Avenue,other_uncategorized,False,master,2027-06-13,2027,active
2360,"Fairlane Mobile Home Park & Sales, Inc",Rene LaFleur,2005 Massachusetts Avenue,retail,False,master,2028-03-27,2028,active
2319,276 Fairmount Street LLC,Wadson Espinola,24208 Carousel Lane,other_uncategorized,False,master,2024-01-20,2024,expired
2822,Fallon Animal Clinic,"BRM MA MGMT, LLC",79 Mass Ave,other_uncategorized,True,master,2029-07-20,2029,active
2794,Famous Barbershop,Larry Calderon,431 Electric Avenue,health_wellness,False,master,2029-02-03,2029,active
2747,Favsco,James Favreau,91 Robbs Hill Road,other_uncategorized,False,master,2028-06-14,2028,active
2707,Fiandaca Refrigeration,Stephen Fiandaca,148 Fire Road 15,other_uncategorized,False,master,2028-03-21,2028,active
2466,"Financially Fit, Inc.",Cindy Testa,508 West Townsend Road,finance_accounting,False,master,2025-01-26,2025,expired
2432,Finer Floors & Carpentry,Paul Gosselin,21 Brookview Terrace,automotive_transport,False,master,2029-06-13,2029,active
2820,Fitchburg Gas & Electric Light Co/Unitil,Sandra Whitney,357 Electric Avenue,construction_trades,True,master,2029-06-10,2029,active
2734,Fitchburg Marine,Vincent Deluca,27 Massachusetts Ave,other_uncategorized,True,master,2028-05-15,2028,active
2344,Fitt Female,Ashley Harvey,150 Holman Street,other_uncategorized,False,master,2024-07-02,2024,expired
2631,Fitchburg Sunday Morning AA,Bill Berthoud,439 Hollis Road,other_uncategorized,True,master,,,unknown
2574,Flat Hill Orchards,"B Kimball, t Ricci, D Locker",321 Elmwood Road,agriculture,False,master,2026-08-28,2026,active
2566,Flat Stone Farm,John McCauley,932 Lancaster Avenue,agriculture,False,master,2026-09-18,2026,active
2223,Flowers From Paradise,Maria Fernandes,40 Pierce Ave,other_uncategorized,False,master,2023-01-30,2023,expired
2757,Forefront Protection,Raymond Hernandez,233 New West Townsend Road,other_uncategorized,False,master,2028-09-16,2028,active
2565,Flying High Farm INC,Christine Randle,611 Leominster Road,agriculture,False,master,2026-08-27,2026,active
2646,Forest Wonders Pets,Giovanni Vargas,10 Massachusetts Ave,pet_services,False,master,2027-03-13,2027,active
2533,Foster Media,Timothy Eric Foster,191 Elmwood Road,arts_creative,False,master,2026-06-06,2026,expiring_soon
2456,Frans Design Shop,Francine Majovski,2 Gabe's Place,arts_creative,False,master,2025-09-07,2025,expired
2064,Frequency Sales Reps,Souvanna Sommala,22 Cove Road,retail,False,master,2025-10-02,2025,expired
2409,Ganga Bhawani Inc / Eyebrow Station,Rakshya Katwal,5 Summer Street,other_uncategorized,False,master,2025-03-23,2025,expired
2270,Garagesmith Garage Storage Solutions,David Samuelson,136 Lancaster Avenue #2,automotive_transport,False,master,2023-05-29,2023,expired
2792,Gemini Lion,Christopher Butterworth,164 Leominster Road,other_uncategorized,False,master,2029-01-16,2029,active
2353,G.M. Consulting,Gregory A. Menafo,35 Boucher Road,technology_consulting,False,master,2024-07-30,2024,expired
2333,Get It There Couriers,Michael Campbell,"555B Chase Road, Suite B2",automotive_transport,False,master,2024-05-20,2024,expired
2865,Ginia's Claws & Paws,Virginia Brannan,125 Robbs Hill Road,pet_services,False,master,2029-04-04,2029,active
2375,Glam City,Annette Moscol,5 Summer Street,other_uncategorized,False,master,2024-10-28,2024,expired
2729,Global Business Systems LLC,William/Gretchen Reynolds,826 Flat Hill Road,other_uncategorized,False,master,2028-05-21,2028,active
2420,Goguen Construction,Paul Goguen,675 Reservoir Road,construction_trades,False,master,2025-04-20,2025,expired
1870,Gold Star Express LLC,Kyle James Higgins,442 Howard Street,other_uncategorized,False,master,2019-09-09,2019,expired
2535,Goodway Studios,104 Pleasant Street,M Garcia & I Sousa,arts_creative,False,master,2026-06-13,2026,expiring_soon
2662,Granite and Tile Concepts,Stuart Reid,744 Reservoir Road,construction_trades,False,master,2027-02-06,2027,active
2240,Grey Stone Parking Lot Cleaning,William Henry Ravellette III,180 Whalom Road,home_services,False,master,2023-03-12,2023,expired
2556,GVC Construction,Geselle Valenti,305 Leominster-Shirley Road,construction_trades,False,master,2026-08-29,2026,active
2684,G W Mechaninal,Gary Williams,34 Round Road,other_uncategorized,False,master,2027-10-25,2027,active
2570,G.W. Stillman & Sons Rentals,Griffin Stillman,991 Lancaster Avenue,real_estate_property,False,master,2026-08-14,2026,active
2257,Guerrero Auto Repair,Manuel Guerrero,381 Mass Avenue,automotive_transport,False,master,2023-04-16,2023,expired
2690,"Guiding Connections, LLC",Kimberly Flint,31 Prospect Street,other_uncategorized,False,master,2027-12-05,2027,active
2780,Gypsy Sky Treasures,Meagan Deyo & Kristen Nunez,1335 Mass Ave,other_uncategorized,False,master,2028-11-27,2028,active
2295,H2Services,Douglas Hudson,26 Pine Acres Road,other_uncategorized,False,master,2027-06-08,2027,active
2591,Hannaford Supermarket & Pharmacy #8388,"Victory Distributors, LLC",333 Massachusetts Ave,other_uncategorized,False,master,2026-11-20,2026,active
2605,Happy Squirrel Reiki,Melanie Gazdzik,321 A Electric Ave,other_uncategorized,False,master,2027-01-05,2027,active
2887,Heidi Ash/ The hair Loft,Heidi Ash,24 Mass Ave,health_wellness,False,master,2029-12-28,2029,active
2803,Herget safety,Alan Herget,79 Beachview Road,other_uncategorized,False,master,2029-01-12,2029,active
2410,Hidden Gem Salon,Victoria Gulliver,383 Whalom Road,health_wellness,False,master,2025-03-25,2025,expired
2380,Hidden Gem Salon Spa #2,Luz Martinez,383 Whalom Road,health_wellness,False,master,2024-11-12,2024,expired
2573,Highland Farm,Jonathan Dupuis,173 Highland Street,agriculture,False,master,2026-06-27,2026,expiring_soon
2009,Highmeadow Farm,Karen Miller,264 West Street,agriculture,False,master,2025-02-12,2025,expired
2815,High Ridge Guide Service,Bruce Bosworth,554 Townsend Harbor Road,other_uncategorized,False,master,2025-05-06,2025,expired
2913,HillTop Farms,Tejalben Patel,1 Main Street,agriculture,False,master,2029-12-28,2029,active
2332,Homeworks,Peter Nelson,177 Highland Street,pet_services,False,master,2024-03-05,2024,expired
2448,Honey Farms # 3829,Global Montello Group,134 Leominster-Shirley Road,food_beverage,True,master,2021-09-05,2021,expired
2224,Hudson Belting,Ravinder Sahore,100 Pleasant street,other_uncategorized,False,master,2025-09-05,2025,expired
2156,Scott A. Hudson,Scott A. Hudson,10 Hickory Lane,other_uncategorized,False,master,2022-07-26,2022,expired
2660,Ice Goddess Boutique,Melissa Smith,33 Sandy Cove Road,retail,False,master,2027-08-09,2027,active
2438,I Fix and Repair,Sarkhan White,301 Mass Avenue,other_uncategorized,False,master,2025-07-19,2025,expired
2327,Ilforno Restaurant Inc,Mohamed Mohamed,494 Electric Avenue,food_beverage,False,master,2028-02-26,2028,active
2733,Iglesia Cristiana Siloe',Joseu' A. Ramos Robles,65 Massachusetts Avenue,nonprofit_civic,False,master,2028-05-05,2028,active
2320,In Home Hearing Solutions,Michael A. Mandella,615 Reservoir Road,technology_consulting,False,master,2024-01-22,2024,expired
2724,In the Meadow Farm,Gerard A./Jacqueline M. Chabot,40 Page Street,agriculture,False,master,2028-04-26,2028,active
2901,Inside-out Customs LLC,John Richard LeBlanc,321 Whalom Rd,other_uncategorized,False,master,2030-02-05,2030,active
2340,J B Turf,Joshua Brianar,1255 Massachusetts Avenue,other_uncategorized,False,master,2028-02-23,2028,active
2370,JEM Drywall Estimating,Joseph McAllister,20 Round Road,construction_trades,False,master,2024-09-16,2024,expired
2679,J & E Auto Sales,Jaques Nassif,383 Whalom Road,automotive_transport,False,master,2027-01-02,2027,active
2882,J F C Consulting,James Cote,431 Mulpus Road,technology_consulting,False,master,2029-10-26,2029,active
2263,J.F. Proctor Transport,John Proctor,141 Gilchrest Street,automotive_transport,False,master,2023-05-01,2023,expired
2897,J.P. Doherty Construction,James Doherty,556 Flat Hill Road,construction_trades,False,master,2029-03-09,2029,active
2902,JRL Investments LLC,John Richard LeBlanc,321 Whalom Road,finance_accounting,False,master,2030-02-05,2030,active
2595,Jack's Garage,Jacques Nassif,383 Whalom Road,automotive_transport,False,master,2026-12-07,2026,active
2613,Jacobs Landscaping,Richard M. Jacobs,1399 Massachusetts Avenue,construction_trades,False,master,2026-12-05,2026,active
2548,Jacobsons Farm,Arthur & Donna Jacobson,189 Howard Street,agriculture,False,master,2026-05-17,2026,expiring_soon
2479,Jamie Toale Supportive Business Alternatives,James Toale,147 Peninsula Drive,other_uncategorized,False,master,2025-11-30,2025,expired
2286,Jason A. Wood LLC,Jason A. Wood,15 Watt Street,other_uncategorized,False,master,2023-07-16,2023,expired
2875,Jaxx Country Variety,Alan Wernick,1353 Massachusetts Avenue,other_uncategorized,False,master,2029-12-08,2029,active
2644,Mix Advertising & Marketing,Joyce Pierce,18 Carouusel Lane,retail,False,master,2027-05-13,2027,active
2092,Jeep Graveyard,Joshua Beaumont,43 Sunnyhill Road,other_uncategorized,False,master,2025-12-17,2025,expired
2198,Jeffrey's Antique Co-op Mall,Gail Peterson,62 Chase Road,pet_services,False,master,2026-11-19,2026,active
2554,Jeffreys Property Management,Michael Ray Jeffreys,1170 Massachusetts Avenue,real_estate_property,False,master,2026-04-09,2026,expired
2784,Jenns Pet Services,Jennifer Powell,1168 Mass Ave,pet_services,False,master,2028-02-18,2028,active
2765,Jessica Perkins,Jessica Perkins,383 Whalom Road,other_uncategorized,False,master,2028-10-24,2028,active
2695,"Jewell Logistics, LLC",H Kubetz & G Burton,125 Howard Street,other_uncategorized,False,master,2028-01-18,2028,active
2549,Joe Isaacs Plumbing & Heating,Joseph Isaacs,217 Summer Street,construction_trades,False,master,2026-04-05,2026,expired
2255,Jibarito's Auto Repair,Efrain J Rios Perez,381 Massachusetts Avenue,automotive_transport,False,master,2023-04-16,2023,expired
2153,John Dovale,John Dovale,22 Oak Ridge Road,other_uncategorized,False,master,2022-07-23,2022,expired
2192,Julie Ervin LMT,Julie Ervin,65 Arbor Road,other_uncategorized,False,master,2026-10-31,2026,active
2622,Jordan Trucking Enterprises,Joseph Jordan,59 Goodrich Street,automotive_transport,False,master,2027-03-08,2027,active
2590,Johns Watch & Jewelry,John P. Lynch,436 Mass Avenue,arts_creative,False,master,2026-10-29,2026,active
2618,Joseph's Barber Styling,Joseph R. Blaquiere,88 Massachusetts Avenue,other_uncategorized,False,master,2027-02-11,2027,active
1963,Joshua R. Leclair,Joshua R. Leclair,284 Whalom Road,other_uncategorized,False,master,2019-08-24,2019,expired
2194,Juliets Hairstyling,Juliet Ouellette,24 Mass Ave,other_uncategorized,False,master,2022-11-07,2022,expired
2014,JRM Consulting,Jack Meagher,77 Autumn Road,technology_consulting,False,master,2021-03-13,2021,expired
2669,JuneBug Quilting,June Hudson,9 Pine Acres Road,other_uncategorized,False,master,2027-08-24,2027,active
2258,Junior Auto Repair,Efrain Rodriquez,381 Massachusetts Avenue,automotive_transport,False,master,2023-04-16,2023,expired
2769,Karen Plumey,Karen Plumey,383 Whalom Road,other_uncategorized,False,master,2028-10-28,2028,active
2813,"Karin Anderson Real Estate, LLc",Karin Anderson,31 The Lane,real_estate_property,False,master,2029-05-01,2029,active
2888,KAS Property Services,552 Mass Avenue,Richard Kascus,construction_trades,False,master,2026-01-05,2026,expired
2721,K B Cars,K B Agyeman,555 Chase Road,automotive_transport,False,master,2027-01-14,2027,active
2396,KMC Donuts,Joseph Cadette,451 Mass Ave,food_beverage,False,master,2024-12-09,2024,expired
